"doc_id","section_name","content"
"2142646","articletitle","Osmotic stress and abscisic acid induce expression of the wheat Em genes."
"2142646","abstracttext","The early-methionine-labelled (Em) polypeptide is the single most abundant cytosolic protein of dry wheat embryos. It is encoded by messenger RNA which accumulates during the later (maturation) stages of embryogenesis. The accumulation of Em mRNA can be induced in isolated developing embryos, in culture, by the application of the plant growth regulator, abscisic acid, which prevents precocious germination. Precocious germination is also inhibited by the culture of embryos under conditions of osmotic stress when accumulation of Em mRNA is induced. This induction occurs in the absence of any significant increase in the endogenous levels of embryonic abscisic acid although there is a requirement for the continued presence of the growth regulator. Additionally, expression of Em genes can be repeated during early germination, if imbibing embryos are subjected to osmotic stress. Induction of Em-gene expression by osmotic stress is consistent with the proposed role of the Em polypeptide in mediating the remarkable tolerance of cereal embryos to the programmed desiccation undergone during their maturation."
"1726783","articletitle","RNA editing of wheat mitochondrial ATP synthase subunit 9: direct protein and cDNA sequencing."
"1726783","abstracttext","RNA editing of subunit 9 of the wheat mitochondrial ATP synthase has been studied by cDNA and protein sequence analysis. Most of the cDNA clones sequenced (95%) showed that editing by C-to-U transitions occurred at eight positions in the coding region. Consequently, 5 amino acids were changed in the protein when compared with the sequence predicted from the gene. Two edited codons gave no changes (silent editing). One of the C-to-U transitions generated a stop codon by modifying the arginine codon CGA to UGA. Thus, the protein produced is 6 amino acids shorter than that deduced from the genomic sequence. Minor forms of cDNA with partial or overedited sequences were also found. Protein sequence and amino acid composition analyses confirmed the results obtained by cDNA sequencing and showed that the major form of edited atp9 mRNA is translated."
"1953783","articletitle","The lectin wheat germ agglutinin stimulates a protein-tyrosine kinase activity of p72syk in porcine splenocytes."
"1953783","abstracttext","We previously reported a molecular cloning of porcine gene syk encoding a non-receptor type 72-kDa protein-tyrosine kinase and a generation of anti-CPTK40 antibodies which could immunoprecipitate the activity of p72syk (Taniguchi et al. (1991) J. Biol. Chem. 266, 15790-15796). In this study, we have demonstrated that wheat germ agglutinin caused an increase in the autophosphorylation activity of p72syk which preceded an increase of protein-tyrosine phosphorylation observed at the same time in porcine splenocyte. The increase of p72syk activity was dose dependent and was inhibited by the coexistence of N-acetyl-D-glucosamine. Upon stimulation by the combination of 4 beta-phorbol 12-myristate 13-acetate and ionophore A23187, we could not detect the increase of activity of p72syk suggesting that the activation of p72syk was independent of protein kinase C and calcium ions."
"1692513","articletitle","Synchronized endocytosis studied in the oocyte of a temperature-sensitive mutant of Drosophila melanogaster."
"1692513","abstracttext","This study demonstrates that endocytosis in the oocyte of Drosophila melanogaster is reversibly blocked at the stage of pit formation by the temperature-sensitive, single-gene mutant, shibirts1. Uptake of horeradish peroxidase conjugated with wheat-germ agglutinin was observed to be normal in mutant oocytes at 19 degrees C, but was blocked at 29 degrees C. After 10 min at 29 degrees C, there was a build-up of coated pits along invaginations of the plasma membrane. Also, the endosomal compartment consisting of tubules, bulbs, and small yolk spheres, disappeared. Lowering the temperature to 19 degrees C after 10 min at 29 degrees C released a synchronized wave of endocytosis into a cytoplasm cleared of uptake-related organelles. By observing this synchronized wave after exposure to 19 degrees C for varying durations, we determined that endocytosis proceeds as follows: coated pits/vesicles----tubules----small yolk spheres----mature yolk spheres. The observations suggest that these organelles transform one into another within this sequence."
"1617739","articletitle","Co-transcription of orf25 and coxIII in rice mitochondria."
"1617739","abstracttext","Southern hybridization analysis using homologous maize probes indicated that orf25 and coxIII are closely linked in the mitochondrial genome of rice (Oryza sativa) cultivar IR36. The two coding regions were found on the same 5.1 kb BamHI fragment, and this fragment was cloned, mapped and partially sequenced. Using probes for each gene derived from the rice clone, a 2.4 kb dicistronic mRNA transcript was found containing both orf25 and coxIII coding regions. Multiple 5' ends were identified by primer extension analysis and a double stem/loop structure was mapped to the 3' end. The orf25 coding region shares greater than 85% identity with orf25 sequences from maize, tobacco and wheat, suggesting that orf25 may code for a conserved protein product."
