,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L11,L13,W11,W13,Check
0,WD1036,3350777,Deb12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD1036,,2.0,15.0,"REPLICATE>BLOCK>PLOT:WD1036,REPLICATE>BLOCK:6,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2154.9148760033,309.6281176471,"69,553958451","72,4142076817",6.6722223675,210,260,115,"-2,86024923070",2012,,,,,,,,,,,,,,,,,
1,WD3230,3351577,Deb12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD3230,,49.0,20.0,"REPLICATE>BLOCK>PLOT:WD3230,REPLICATE>BLOCK:33,REPLICATE:3",rainfed,1536.878759101,276.8357647059,"73,3721410878","73,3721410878",4.2546300654,202,245,102,"0,00000000000",2012,,,,,,,,,,,,,,,,,
2,WD2214,3351270,Deb12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD2214,,31.0,4.0,"REPLICATE>BLOCK>PLOT:WD2214,REPLICATE>BLOCK:31,REPLICATE:2",rainfed,1980.1573980829,296.1865882353,"72,4142076817","73,3721410878",5.8649606391,225,272,110,"-0,95793340610",2012,,,,,,,,,,,,,,,,,
3,WW2101,3350563,Deb12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW2101,,23.0,17.0,"REPLICATE>BLOCK>PLOT:WW2101,REPLICATE>BLOCK:15,REPLICATE:2",watered,2223.2744107744,316.4272941176,"69,553958451","71,0427983458",7.0350470588,241,282,121,"-1,48883989480",2012,,,,,,,,,,,,,,,,,
4,WW1032,3350195,Deb12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW1032,,2.0,11.0,"REPLICATE>BLOCK>PLOT:WW1032,REPLICATE>BLOCK:5,REPLICATE:1",watered,1268.6591864429,328.5910588235,"71,0427983458","68,1215767585",4.1687006536,238,292,128,"2,92122158730",2012,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3336363,Deb12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,watered,359.8317112443,70.4770799834,69.7170843421,238.3253037882,1737.6823558886,286.0377779633,124.6909662896,,,2012,20.6817422225,18.5476114501,17.4875134291,203.308,153.621,1004.961,-20.2456140351,-40.3645833333,36.1373843799,32.1864892089,30.4779473287,,,,,,
6,3039water_regimerainfed,3336117,Deb12,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,Syngenta Debrecen 2012,VIRTUAL_TRIAL,,,,,,,,rainfed,325.6670640457,71.6039258545,72.6691974324,209.5991524531,1928.6980916215,258.4432873366,108.2519314066,,,2012,20.6817422225,18.6955831038,17.3915736655,203.308,173.808,967.751,-55.5079365079,-131.5502645503,36.1373843799,32.3178858524,30.2827512949,,,,,,
7,WW2058,3350514,Deb12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WW2058,,21.0,16.0,"REPLICATE>BLOCK>PLOT:WW2058,REPLICATE>BLOCK:9,REPLICATE:1,REPLICATE:2,REPLICATE:3",watered,1860.9129006683,290.6068235294,"65,7698661507","65,7698661507",5.4079398693,239,294,142,"0,00000000000",2012,,,,,,,,,,,,,,,,,
8,WD1042,3350784,Deb12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD1042,,2.0,21.0,"REPLICATE>BLOCK>PLOT:WD1042,REPLICATE>BLOCK:6,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,2063.7303970637,272.2851764706,"66,8932531126","71,0427983458",5.6192319535,215,265,125,"-4,14954523320",2012,,,,,,,,,,,,,,,,,
9,WD3170,3351509,Deb12,127474,https://doi.org/10.15454/GF4RQE,EP55_H,Syngenta Debrecen 2012,REPLICATE>BLOCK>PLOT,,,WD3170,,47.0,2.0,"REPLICATE>BLOCK>PLOT:WD3170,REPLICATE>BLOCK:25,REPLICATE:3",rainfed,1173.2326806637,282.9324705882,"71,0427983458","73,3721410878",3.3194562092,190,240,113,"-2,32934274200",2012,,,,,,,,,,,,,,,,,
