,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,water_regime,GN,KW,MFLW_D20deg,FFLW_D20deg,GY_Adj_tha,plant_height,tassel_height,ear_height,ASI_D20deg,season,Tnight_Early,Tnight_Flo,Tnight_Fill,Ri_Early,Ri_Flo,Ri_Fill,Psi_Flo,Psi_Fill,Tmax_Early,Tmax_Flo,Tmax_Fill,TnbL,L8,L10,L12,W8,W10,W12,Check,L9,L11,L13,W9,W11,W13,L14,W14,L15,W15
0,401070,3361400,Mur13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,401070.0,,23.0,8.0,"REPLICATE>BLOCK>PLOT:401070,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",watered,3522.7535227535,247.2271596639,"67,7330179755","67,7330179755",8.7092034763,288,NA,163,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,402711,3360701,Mur13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402711.0,,23.0,17.0,"REPLICATE>BLOCK>PLOT:402711,REPLICATE>BLOCK:23,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,3254.0081559689,261.1821513944,"64,8642032369","66,243252045",8.4988885083,280,NA,143,"-1,37904880810",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,402432,3360391,Mur13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402432.0,,13.0,8.0,"REPLICATE>BLOCK>PLOT:402432,REPLICATE>BLOCK:13,REPLICATE:1,REPLICATE:2,REPLICATE:3,REPLICATE:1",rainfed,3089.4441722467,268.5328,"63,401277574","66,243252045",8.2961709402,258,NA,123,"-2,84197447100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,400847,3361133,Mur13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400847.0,,12.0,6.0,"REPLICATE>BLOCK>PLOT:400847,REPLICATE>BLOCK:12,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",watered,3962.4580763821,263.1019135365,"67,7330179755","67,7330179755",10.425303022,288,NA,145,"0,00000000000",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,402123,3360048,Mur13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402123.0,,1.0,23.0,"REPLICATE>BLOCK>PLOT:402123,REPLICATE>BLOCK:1,REPLICATE:1,REPLICATE:2,REPLICATE:2,REPLICATE:3",rainfed,3129.3079680177,265.1880463029,"64,8642032369","66,243252045",8.2985506632,280,NA,153,"-1,37904880810",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,3039water_regimewatered,3340117,Mur13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Murony 2013,VIRTUAL_TRIAL,,,,,,,,watered,314.9941497227,67.9145386494,67.811778327,285.7943442758,3622.7873341476,,158.4693872251,,,2013,17.1804055556,21.0217973856,14.8741229298,355.118,201.978,834.405,-37.1470588235,-18.2055555556,32.6212428414,35.786229015,28.0360877059,,,,,,,,,,,,,,,,,,
6,3039water_regimerainfed,3339871,Mur13,127438,https://doi.org/10.15454/CCDUCG,PHG39_H,KWS Murony 2013,VIRTUAL_TRIAL,,,,,,,,rainfed,314.4175914543,64.4277536981,66.5072044716,268.3706632244,3191.4509147587,,140.6342970588,,,2013,17.1804055556,20.9590972222,14.4089829019,355.118,247.429,869.835,-121.25,-157.6739130435,32.6212428414,35.6830315725,27.5322239669,,,,,,,,,,,,,,,,,,
7,401028,3361352,Mur13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,401028.0,,21.0,8.0,"REPLICATE>BLOCK>PLOT:401028,REPLICATE>BLOCK:21,REPLICATE:2",watered,2922.1985743725,211.3124033613,"63,401277574","66,243252045",6.1749680385,260,NA,123,"-2,84197447100",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,400626,3360907,Mur13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,400626.0,,2.0,17.0,"REPLICATE>BLOCK>PLOT:400626,REPLICATE>BLOCK:26,REPLICATE:1",watered,2439.5988962918,211.4806520198,"60,5685845381","64,8642032369",5.1592796525,255,NA,143,"-4,29561869880",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,402456,3360418,Mur13,127474,https://doi.org/10.15454/GF4RQE,EP55_H,KWS Murony 2013,REPLICATE>BLOCK>PLOT,,,402456.0,,14.0,23.0,"REPLICATE>BLOCK>PLOT:402456,REPLICATE>BLOCK:14,REPLICATE:3",rainfed,2144.6368309837,231.8256791873,"60,5685845381","66,243252045",4.9718188995,248,NA,138,"-5,67466750690",2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
