,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,experimental_factors
0,Ressor,2784520,BTH_Le_Moulon_2002_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
1,DI02008,2784519,BTH_Le_Moulon_2002_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
2,CF99005,2784525,BTH_Le_Moulon_2002_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
3,Koreli,2784501,BTH_Le_Moulon_2002_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
4,RE01092,2784500,BTH_Le_Moulon_2002_TECH,26098,https://doi.org/10.15454/AX4FXK,RE01092,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
5,CF00193,2784537,BTH_Le_Moulon_2002_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
6,RE01015,2784524,BTH_Le_Moulon_2002_TECH,26095,https://doi.org/10.15454/RSFKAG,RE01015,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
7,CF99105,2784538,BTH_Le_Moulon_2002_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
8,EM01352,2784510,BTH_Le_Moulon_2002_TECH,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
9,EM01216,2784514,BTH_Le_Moulon_2002_TECH,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
10,DI02006,2784493,BTH_Le_Moulon_2002_TECH,49032,gnpis_pui:holding-921_taxon-4898_accession-49032,DI02006,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
11,EM01150,2784539,BTH_Le_Moulon_2002_TECH,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
12,EM01288,2784541,BTH_Le_Moulon_2002_TECH,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
13,DI01022,2784496,BTH_Le_Moulon_2002_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
14,CF01184,2784532,BTH_Le_Moulon_2002_TECH,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
15,RE01086,2784523,BTH_Le_Moulon_2002_TECH,48512,gnpis_pui:holding-921_taxon-4898_accession-48512,RE01086,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
16,EM00264,2784531,BTH_Le_Moulon_2002_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
17,CF01043,2784533,BTH_Le_Moulon_2002_TECH,48822,gnpis_pui:holding-921_taxon-4898_accession-48822,CF01043,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
18,EM01063,2784504,BTH_Le_Moulon_2002_TECH,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
19,DI02028,2784522,BTH_Le_Moulon_2002_TECH,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
20,Apache,2784509,BTH_Le_Moulon_2002_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
21,CF01196,2784497,BTH_Le_Moulon_2002_TECH,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
22,EM01062,2784503,BTH_Le_Moulon_2002_TECH,48872,gnpis_pui:holding-921_taxon-4898_accession-48872,EM01062,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
23,EM01214,2784489,BTH_Le_Moulon_2002_TECH,26408,https://doi.org/10.15454/41FB67,EM01214,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
24,EM01271,2784505,BTH_Le_Moulon_2002_TECH,26409,https://doi.org/10.15454/LLKGUD,EM01271,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
25,Skerzzo,2784536,BTH_Le_Moulon_2002_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
26,CF99351,2784506,BTH_Le_Moulon_2002_TECH,25899,https://doi.org/10.15454/QG5OJU,CF99351,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
27,EM00018,2784526,BTH_Le_Moulon_2002_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
28,EM01324,2784508,BTH_Le_Moulon_2002_TECH,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
29,DI00010,2784487,BTH_Le_Moulon_2002_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
30,CF00116,2784517,BTH_Le_Moulon_2002_TECH,26105,https://doi.org/10.15454/XCQCZQ,CF00116,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
31,EM00072,2784528,BTH_Le_Moulon_2002_TECH,26102,https://doi.org/10.15454/WNKZ9X,EM00072,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
32,EM00002,2784490,BTH_Le_Moulon_2002_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
33,DI00024,2784491,BTH_Le_Moulon_2002_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
34,RE01002,2784529,BTH_Le_Moulon_2002_TECH,26110,https://doi.org/10.15454/PY1VVU,RE01002,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
35,CF00108,2784488,BTH_Le_Moulon_2002_TECH,26103,https://doi.org/10.15454/VUCZZU,CF00108,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
36,EM01023,2784521,BTH_Le_Moulon_2002_TECH,26407,https://doi.org/10.15454/3VKOE9,EM01023,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
37,Rytmic,2784513,BTH_Le_Moulon_2002_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
38,CF01085,2784518,BTH_Le_Moulon_2002_TECH,48643,https://doi.org/10.15454/2AB2GR,CF01085,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
39,EM99017,2784542,BTH_Le_Moulon_2002_TECH,28764,https://doi.org/10.15454/QT2EUR,EM99017,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
40,DI02001,2784515,BTH_Le_Moulon_2002_TECH,26984,https://doi.org/10.15454/GR0LP3,DI02001,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
41,DI02032,2784492,BTH_Le_Moulon_2002_TECH,48751,gnpis_pui:holding-921_taxon-4898_accession-48751,DI02032,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
42,Soissons,2784540,BTH_Le_Moulon_2002_TECH,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
43,Isengrain,2784535,BTH_Le_Moulon_2002_TECH,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
44,RE01037,2784494,BTH_Le_Moulon_2002_TECH,26096,https://doi.org/10.15454/9ZI12M,RE01037,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
45,RE02101,2784499,BTH_Le_Moulon_2002_TECH,26099,https://doi.org/10.15454/SIGZUF,RE02101,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
46,CF00060,2784495,BTH_Le_Moulon_2002_TECH,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
47,EM01325,2784507,BTH_Le_Moulon_2002_TECH,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
48,EM99006,2784512,BTH_Le_Moulon_2002_TECH,28759,https://doi.org/10.15454/1BMHCN,EM99006,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
49,CF01216,2784498,BTH_Le_Moulon_2002_TECH,49614,gnpis_pui:holding-921_taxon-4898_accession-49614,CF01216,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
50,EM01328,2784534,BTH_Le_Moulon_2002_TECH,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
51,EM00074,2784530,BTH_Le_Moulon_2002_TECH,48639,gnpis_pui:holding-921_taxon-4898_accession-48639,EM00074,BTH_Le_Moulon_2002_TECH,VIRTUAL_TRIAL,,,,,,,,[]
