,observationunitname,observationunitdbid,studydbid,germplasmdbid,germplasmpui,germplasmname,studyname,observationlevel,replicate,replicate.1,plot,plant,x,y,observationlevels,itk
0,DI07019itkt,2826700,BTH_Clermont-Ferrand_2007_TECH,61759,https://doi.org/10.15454/SFPRAV,DI07019,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
1,DI06007itkt,2826729,BTH_Clermont-Ferrand_2007_TECH,26977,https://doi.org/10.15454/RGT6YF,DI06007,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
2,Barokitkt,2826664,BTH_Clermont-Ferrand_2007_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
3,RE06061itkt,2826721,BTH_Clermont-Ferrand_2007_TECH,27831,https://doi.org/10.15454/BPSJCE,RE06061,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
4,RE06055itkt,2826691,BTH_Clermont-Ferrand_2007_TECH,27829,https://doi.org/10.15454/NLT35T,RE06055,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
5,RE06023itkt,2826701,BTH_Clermont-Ferrand_2007_TECH,27827,https://doi.org/10.15454/B5PA3I,RE06023,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
6,RE06050itkt,2826699,BTH_Clermont-Ferrand_2007_TECH,27828,https://doi.org/10.15454/PRTXZC,RE06050,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
7,RE06140itkt,2826703,BTH_Clermont-Ferrand_2007_TECH,27834,https://doi.org/10.15454/YQFE3M,RE06140,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
8,AO07803itkt,2826678,BTH_Clermont-Ferrand_2007_TECH,27764,https://doi.org/10.15454/NMXDOZ,AO07803,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
9,DI07016itkt,2826694,BTH_Clermont-Ferrand_2007_TECH,27804,https://doi.org/10.15454/0DEDAU,DI07016,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
10,AO07218itkt,2826715,BTH_Clermont-Ferrand_2007_TECH,27758,https://doi.org/10.15454/HQFX9Y,AO07218,BTH_Clermont-Ferrand_2007_TECH,VIRTUAL_TRIAL,,,,,,,,treated
