observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,plant_height(MIPO:0000006),plant_height(MIPO:0000006).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3014water_regimerainfed,3338862,Kar13,KWS Karlsruhe 2013,127413,https://doi.org/10.15454/JBBAWF,EP52_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,263.1840151813,,323.1890663275,,3590.6334462901,,67.4070241848,,67.0628019341,,-42.3291102538,,-53.9682012432,,225.479,,861.695,,179.445,,28.8007976077,,24.3224365922,,33.5669395893,,16.1883738426,,13.6689890957,,19.2816161616,,,,139.6716894327,
3067water_regimerainfed,3338914,Kar13,KWS Karlsruhe 2013,127466,https://doi.org/10.15454/U4PWL3,AS5707_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,280.7258342658,,293.4941894041,,5331.0765869783,,70.7562790546,,70.7965545035,,-40.7849065724,,-75.218844697,,410.738,,834.106,,171.659,,29.0943774817,,24.0738734306,,33.8531586781,,16.2664415709,,13.5127978392,,19.7677083333,,,,141.4623543632,
3143water_regimerainfed,3338984,Kar13,KWS Karlsruhe 2013,127537,https://doi.org/10.15454/QPSSQO,F7058_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,240.7747140259,,307.6645704497,,3140.3232853694,,65.160595266,,64.7285667522,,-43.6030433242,,-54.1541904084,,272.76,,913.005,,161.968,,28.6521443012,,24.6573411782,,33.3872214411,,15.8891166667,,13.8460947884,,19.4704938272,,,,125.3478472461,
3079water_regimewatered,3339169,Kar13,KWS Karlsruhe 2013,127475,https://doi.org/10.15454/T3WOSC,B98_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,263.5797380676,,280.4833723233,,4166.3131005711,,67.885104321,,70.2703947204,,-30.2974239688,,-99.5573313492,,323.431,,834.106,,213.353,,28.920346035,,23.982900819,,33.8265622962,,15.9810751029,,13.5292484397,,19.7691111111,,303.0315847337,,138.4433948162,
3066water_regimewatered,3339159,Kar13,KWS Karlsruhe 2013,127465,https://doi.org/10.15454/U7YFIU,B106_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,242.727472222,,295.8893378607,,3358.5370355097,,68.9785233087,,70.7521271967,,-30.2974239688,,-99.8322200176,,367.668,,834.106,,192.603,,28.9193044534,,23.982900819,,33.8315593895,,15.9742113095,,13.5292484397,,19.8309259259,,294.9617502372,,134.1129291188,
3030water_regimewatered,3339124,Kar13,KWS Karlsruhe 2013,127429,https://doi.org/10.15454/LFK19C,B89_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,235.2790660721,,305.9757668299,,2750.0749807526,,64.1314202786,,63.256242822,,-34.6314553953,,-93.9134259259,,183.738,,937.045,,170.933,,28.9886174874,,24.6838976548,,33.2287169397,,16.4651331019,,13.8728590854,,18.9701587302,,287.9541686355,,125.6323004533,
3140water_regimerainfed,3338981,Kar13,KWS Karlsruhe 2013,127534,https://doi.org/10.15454/AIXVTG,F608_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,270.9503514818,,283.8602973369,,4375.658561214,,66.8461313135,,66.4223190993,,-42.9952906401,,-56.0618645974,,274.683,,887.19,,166.435,,28.9982460275,,24.5000944134,,33.5650172634,,16.1959775641,,13.7732157885,,19.4698245614,,,,132.9046304433,
3080water_regimewatered,3339170,Kar13,KWS Karlsruhe 2013,127476,https://doi.org/10.15454/KOKHG9,ML606_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,237.5773133897,,306.8431517479,,2942.9940138944,,64.3086863427,,65.0350792818,,-34.2456751582,,-98.4103064374,,272.76,,913.005,,161.968,,28.6521443012,,24.6573411782,,33.3872214411,,15.8891166667,,13.8460947884,,19.4704938272,,277.8975257686,,130.1786694493,
3153water_regimerainfed,3338994,Kar13,KWS Karlsruhe 2013,127547,https://doi.org/10.15454/KVWABC,F252_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,245.3207874692,,278.6911623646,,2410.7337837264,,63.0783575489,,59.293849812,,-46.4338005744,,-38.0810422602,,183.738,,962.127,,127.827,,28.9886174874,,25.0581122937,,33.7856104246,,16.4651331019,,14.157994006,,18.9040123457,,,,125.1186149255,
3154water_regimewatered,3339241,Kar13,KWS Karlsruhe 2013,127548,https://doi.org/10.15454/AYJM3H,F354_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,227.2254487731,,264.5604785746,,3101.7851753309,,66.348063871,,66.5466800145,,-33.4179140117,,-98.2571324144,,274.683,,887.19,,166.435,,28.9982460275,,24.5000944134,,33.5650172634,,16.1959775641,,13.7732157885,,19.4698245614,,269.2556620122,,136.2103654456,
3157water_regimerainfed,3338998,Kar13,KWS Karlsruhe 2013,127551,https://doi.org/10.15454/A6PR22,HMV5343_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,242.8036095298,,317.4597271508,,3401.8466935755,,64.5823314296,,63.5250935603,,-44.1460427758,,-56.1739173789,,321.036,,930.726,,144.247,,28.545282607,,24.7131255897,,33.8239960559,,15.725090812,,13.8884789613,,19.9342222222,,,,126.8956385436,
3081water_regimewatered,3339171,Kar13,KWS Karlsruhe 2013,127477,https://doi.org/10.15454/WMRRM7,DKFBHJ_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,260.8636272914,,312.4096732902,,2893.4950446102,,64.8286115492,,64.9016858521,,-33.8279689061,,-99.4491479925,,298.483,,919.324,,161.968,,28.8116350051,,24.6284494012,,33.4218284315,,15.9879540598,,13.8308137011,,19.53,,283.5431611536,,144.3793850768,
3158water_regimerainfed,3338999,Kar13,KWS Karlsruhe 2013,127552,https://doi.org/10.15454/GDWINS,HMV5347_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,246.5055433217,,355.2399820854,,3008.2617992766,,66.8932431679,,64.8381719196,,-43.6030433242,,-54.1541904084,,272.76,,913.005,,140.62,,28.6521443012,,24.6573411782,,33.3872214411,,15.8891166667,,13.8460947884,,19.4704938272,,,,135.7230933791,
3015water_regimewatered,3339109,Kar13,KWS Karlsruhe 2013,127414,https://doi.org/10.15454/X2ENCA,F7028_H,VIRTUAL_TRIAL,,,,,,,,watered,2013,226.8953552575,,256.0040481678,,2825.2227183894,,64.6068382957,,65.499101731,,-33.4179140117,,-99.2297508818,,300.406,,887.19,,187.783,,29.1390110859,,24.5000944134,,33.6075791889,,16.2797890947,,13.7732157885,,19.5259876543,,265.9886328518,,128.2076988527,
3015water_regimerainfed,3338863,Kar13,KWS Karlsruhe 2013,127414,https://doi.org/10.15454/X2ENCA,F7028_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,231.1233929109,,262.7590033136,,3927.6443130023,,65.2167763908,,69.1047213751,,-41.5892559663,,-61.6725971251,,300.406,,844.632,,230.341,,29.1390110859,,24.2076404511,,33.7935330701,,16.2797890947,,13.5818645059,,19.6682777778,,,,125.6286030614,
3165water_regimerainfed,3339004,Kar13,KWS Karlsruhe 2013,127559,https://doi.org/10.15454/VMZUXV,I238_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2013,265.4703557629,,267.4098831919,,4216.0978151929,,69.4634330901,,68.4673496595,,-41.5892559663,,-65.9139968057,,347.579,,844.632,,175.758,,28.7445691495,,24.2076404511,,33.8998782965,,15.7997170782,,13.5818645059,,19.9901851852,,,,137.2762686523,
