observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date
3001water_regimerainfed,3340357,Ner11,Biogemma Nerac 2011,127400,https://doi.org/10.15454/P5UIAJ,B73_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,285.6350590099,,3093.2119099663,,72.9873275225,,73.9715423889,
3001water_regimewatered,3340325,Ner11,Biogemma Nerac 2011,127400,https://doi.org/10.15454/P5UIAJ,B73_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,274.2802787945,,3949.0401381008,,77.4745631727,,78.0399177206,
3028water_regimewatered,3340352,Ner11,Biogemma Nerac 2011,127427,https://doi.org/10.15454/KSZLK9,F838_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,251.3223255736,,3829.4770808858,,78.474233389,,77.48534064,
3024water_regimerainfed,3340380,Ner11,Biogemma Nerac 2011,127423,https://doi.org/10.15454/M33T8W,LH38_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,295.2578299812,,2825.0225682837,,72.4920467372,,72.3029163226,
3009water_regimerainfed,3340365,Ner11,Biogemma Nerac 2011,127408,https://doi.org/10.15454/MN1MDA,B84_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,316.3499136122,,3048.6279678735,,74.9339206323,,76.8009679014,
3009water_regimewatered,3340333,Ner11,Biogemma Nerac 2011,127408,https://doi.org/10.15454/MN1MDA,B84_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,308.7826254645,,3695.4669785326,,79.2993492939,,81.7572344686,
3024water_regimewatered,3340348,Ner11,Biogemma Nerac 2011,127423,https://doi.org/10.15454/M33T8W,LH38_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,287.5511366207,,3168.1531309094,,75.701577576,,76.0609535133,
3016water_regimerainfed,3340372,Ner11,Biogemma Nerac 2011,127415,https://doi.org/10.15454/DPMMOI,F1890_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,293.1946159533,,2832.183012621,,71.5240666919,,72.2159690849,
3016water_regimewatered,3340340,Ner11,Biogemma Nerac 2011,127415,https://doi.org/10.15454/DPMMOI,F1890_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,302.8698103005,,3545.2796008511,,75.3393281496,,74.853613254,
3032water_regimerainfed,3340388,Ner11,Biogemma Nerac 2011,127431,https://doi.org/10.15454/YK08AN,UH_P089_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,292.2060625717,,2635.8838499951,,70.1048597476,,71.7895252376,
3021water_regimerainfed,3340377,Ner11,Biogemma Nerac 2011,127420,https://doi.org/10.15454/GD6TZS,EZ37_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,284.2364090481,,2842.2796009704,,73.8788971932,,74.598070286,
3010water_regimerainfed,3340366,Ner11,Biogemma Nerac 2011,127409,https://doi.org/10.15454/WBSYN7,F894_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,266.7256247938,,3152.7219083501,,74.2447430479,,76.6751792941,
3002water_regimerainfed,3340358,Ner11,Biogemma Nerac 2011,127401,https://doi.org/10.15454/AQWE02,PH207_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,301.592080751,,2606.2675300124,,69.19461277,,70.2924797892,
3002water_regimewatered,3340326,Ner11,Biogemma Nerac 2011,127401,https://doi.org/10.15454/AQWE02,PH207_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,317.6980183042,,2679.4365945245,,70.2361899323,,71.6311577322,
3010water_regimewatered,3340334,Ner11,Biogemma Nerac 2011,127409,https://doi.org/10.15454/WBSYN7,F894_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,275.0799284987,,3775.8401470902,,78.1571279187,,79.5861137023,
3021water_regimewatered,3340345,Ner11,Biogemma Nerac 2011,127420,https://doi.org/10.15454/GD6TZS,EZ37_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,264.5966217404,,3705.371762748,,75.3920841627,,75.6075490665,
3031water_regimerainfed,3340387,Ner11,Biogemma Nerac 2011,127430,https://doi.org/10.15454/TX6MDP,NC290_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2011,326.5901820319,,2760.1704982774,,74.2743624779,,79.6046074825,
3031water_regimewatered,3340355,Ner11,Biogemma Nerac 2011,127430,https://doi.org/10.15454/TX6MDP,NC290_H,VIRTUAL_TRIAL,,,,,,,,watered,2011,304.0872154666,,3427.2394090112,,76.4847864828,,81.7521275284,
