observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,water_regime,season,FFLW_D20deg(MIPO:0000024),FFLW_D20deg(MIPO:0000024).date,GN(MIPO:0000017),GN(MIPO:0000017).date,GY_Adj_tha(MIPO:0000018),GY_Adj_tha(MIPO:0000018).date,KW(MIPO:0000012),KW(MIPO:0000012).date,MFLW_D20deg(MIPO:0000025),MFLW_D20deg(MIPO:0000025).date,Psi_Fill(EIPO:0000003),Psi_Fill(EIPO:0000003).date,Psi_Flo(EIPO:0000003),Psi_Flo(EIPO:0000003).date,Ri_Early(EIPO:0000002),Ri_Early(EIPO:0000002).date,Ri_Fill(EIPO:0000002),Ri_Fill(EIPO:0000002).date,Ri_Flo(EIPO:0000002),Ri_Flo(EIPO:0000002).date,Tmax_Early(EIPO:0000005),Tmax_Early(EIPO:0000005).date,Tmax_Fill(EIPO:0000005),Tmax_Fill(EIPO:0000005).date,Tmax_Flo(EIPO:0000005),Tmax_Flo(EIPO:0000005).date,Tnight_Early(EIPO:0000001),Tnight_Early(EIPO:0000001).date,Tnight_Fill(EIPO:0000001),Tnight_Fill(EIPO:0000001).date,Tnight_Flo(EIPO:0000001),Tnight_Flo(EIPO:0000001).date,tassel_height(MIPO:0000014),tassel_height(MIPO:0000014).date
3181water_regimewatered,3340806,Ner12,Biogemma Nerac 2012,127575,https://doi.org/10.15454/089G4O,Lo1087_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,268.8161791144,,292.1839265555,,4852.9912935745,,76.2197559941,,79.6488826221,,-107.446969697,,-64.8405797101,,289.705,,836.68,,249.78,,34.7743496268,,33.0263454165,,36.9785653279,,17.1782061688,,16.974416644,,18.5857487923,,132.0922332894,
3180water_regimerainfed,3340559,Ner12,Biogemma Nerac 2012,127574,https://doi.org/10.15454/AOK4RM,Lo1063_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,185.0850670113,,262.9131220055,,2595.2282709252,,75.2982356341,,79.8259175487,,-218.5053030303,,-201.52,,252.704,,836.68,,249.78,,34.7777929777,,33.0263454165,,36.7986469869,,17.1688374126,,16.974416644,,18.4828888889,,129.2976962686,
3079water_regimewatered,3340709,Ner12,Biogemma Nerac 2012,127475,https://doi.org/10.15454/T3WOSC,B98_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,259.453157986,,303.2877270986,,3896.4144047901,,69.1672760935,,79.5327372022,,-107.446969697,,-58.757183908,,164.608,,836.68,,363.854,,34.3003378724,,33.0263454165,,36.768112332,,17.3923979377,,16.974416644,,18.022605364,,118.0223113365,
3079water_regimerainfed,3340463,Ner12,Biogemma Nerac 2012,127475,https://doi.org/10.15454/T3WOSC,B98_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,204.9487021619,,272.6911494566,,1278.3760140372,,70.23224878,,84.8582044279,,-217.6233974359,,-191.859375,,164.608,,777.553,,399.532,,34.3003378724,,32.7326317981,,36.8946063135,,17.3923979377,,16.868307814,,18.0967645202,,119.9439945289,
3184water_regimewatered,3340809,Ner12,Biogemma Nerac 2012,127578,https://doi.org/10.15454/CPJZKR,Lo1101_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,247.126654549,,312.3352542355,,4051.0319826334,,69.7483291188,,72.6821583312,,-102.1830601093,,-62.8650793651,,203.175,,979.532,,197.553,,34.2617272061,,33.5483615337,,36.5418631069,,17.082479798,,17.2662773019,,17.9748677249,,118.3662124961,
3009water_regimerainfed,3340397,Ner12,Biogemma Nerac 2012,127408,https://doi.org/10.15454/MN1MDA,B84_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,196.7229638283,,291.1169375875,,2280.2950163177,,71.0011935347,,78.4794546765,,-218.255952381,,-190.5277777778,,180.336,,856.893,,320.192,,34.2394942121,,33.0708841009,,36.9620555377,,17.2047020202,,17.0141592039,,18.1761316872,,136.1519796915,
3080water_regimerainfed,3340464,Ner12,Biogemma Nerac 2012,127476,https://doi.org/10.15454/KOKHG9,ML606_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,196.1190935349,,256.9843295557,,2583.8135475075,,68.6235235393,,80.2940564395,,-218.5053030303,,-180.935483871,,132.755,,836.68,,363.854,,34.3814208033,,33.0263454165,,36.6105746596,,17.6997968819,,16.974416644,,17.9137992832,,126.1673673148,
3031water_regimerainfed,3340419,Ner12,Biogemma Nerac 2012,127430,https://doi.org/10.15454/TX6MDP,NC290_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,186.8148411292,,309.2048842934,,1448.8899555883,,70.79737107,,83.0587427213,,-218.0062893082,,-203.7577160494,,252.704,,790.708,,386.377,,34.7777929777,,32.8029760514,,36.9576830316,,17.1688374126,,16.8442059513,,18.6267489712,,123.0337039889,
3190water_regimewatered,3340814,Ner12,Biogemma Nerac 2012,127584,https://doi.org/10.15454/4YFVBA,Lo1180_H,VIRTUAL_TRIAL,,,,,,,,watered,2012,252.3271072521,,304.9459284783,,3841.0780847812,,68.7486450834,,74.1924005228,,-102.6264124294,,-64.35,,252.704,,945.473,,246.842,,34.7777929777,,33.6015428167,,36.2878015468,,17.1688374126,,17.2190455025,,18.0236111111,,134.555813665,
3192water_regimerainfed,3340570,Ner12,Biogemma Nerac 2012,127586,https://doi.org/10.15454/9UZPXS,Lo1199_H,VIRTUAL_TRIAL,,,,,,,,rainfed,2012,212.5060332263,,262.1056270742,,2394.4811284146,,71.823224576,,79.462587927,,-218.5053030303,,-187.5215517241,,164.608,,836.68,,326.769,,34.3003378724,,33.0263454165,,36.768112332,,17.3923979377,,16.974416644,,18.022605364,,138.2908960151,
