observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pel(CO_321:1000223),pel(CO_321:1000223).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,volC(CO_321:1000235),volC(CO_321:1000235).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
Ressoritkt,2775271,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,4",,84,,150,,71,,221,,47,,"0,55",,150,,23,,324,,102,,"38,95",,"11,9",,79,,51,,1760,,"2,52",,30,
CF99005itkt,2775272,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,3",,75,,168,,79,,247,,74,,"0,98",,226,,32,,396,,194,,"41,05",,"11,7",,79,,58,,1797,,"2,31",,33,
Koreliitkt,2775241,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,8",,64,,136,,77,,213,,95,,"1,48",,240,,40,,388,,179,,"43,2",,"11,2",,"80,5",,53,,1518,,"3,64",,31,
RE99009itkt,2775283,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26000,https://doi.org/10.15454/VOIVEZ,RE99009,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,9",,106,,146,,78,,224,,43,,"0,41",,168,,23,,284,,146,,43,,"12,6",,74,,53,,1688,,"1,87",,30,
RE01004itkt,2775257,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26094,https://doi.org/10.15454/KQXNER,RE01004,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,6",,78,,154,,78,,232,,97,,"1,24",,272,,47,,408,,140,,"44,9",,"12,5",,78,,43,,1807,,"2,38",,31,
CF00193itkt,2775281,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,9",,106,,166,,76,,242,,91,,"0,86",,357,,45,,368,,155,,"40,55",,"14,4",,79,,64,,1908,,"2,79",,38,
CF00189itkt,2775250,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,25896,https://doi.org/10.15454/RWJVRH,CF00189,VIRTUAL_TRIAL,,,,,,,,treated,2001,"24,2",,119,,126,,67,,193,,53,,"0,45",,201,,16,,364,,117,,"46,3",,"13,1",,77,,60,,1530,,"3,59",,35,
CF99105itkt,2775282,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,treated,2001,"25,6",,133,,150,,73,,223,,76,,"0,57",,307,,53,,345,,166,,"43,35",,"14,2",,"80,5",,68,,1692,,"3,59",,46,
RE99102itkt,2775245,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26002,https://doi.org/10.15454/4NCDUP,RE99102,VIRTUAL_TRIAL,,,,,,,,treated,2001,17,,58,,129,,51,,180,,81,,"1,39",,181,,31,,407,,111,,"36,65",,"11,1",,79,,44,,1503,,"3,65",,26,
RE00108itkt,2775264,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26004,https://doi.org/10.15454/6Q72BN,RE00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,"15,8",,50,,136,,73,,209,,126,,"2,49",,265,,41,,443,,200,,"33,4",,"11,7",,79,,41,,1523,,"2,92",,32,
DI9714itkt,2775244,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,25900,https://doi.org/10.15454/FRB0LL,DI9714,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,2",,100,,165,,81,,246,,85,,"0,85",,317,,49,,420,,192,,"37,2",,"12,7",,"76,5",,70,,1760,,"3,56",,41,
RE00149itkt,2775258,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48470,gnpis_pui:holding-921_taxon-4898_accession-48470,RE00149,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,1",,60,,121,,66,,187,,118,,"1,98",,250,,59,,453,,142,,"42,35",,"12,5",,"79,5",,42,,1459,,"3,32",,32,
RE00144itkt,2775289,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48402,gnpis_pui:holding-921_taxon-4898_accession-48402,RE00144,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,9",,72,,144,,61,,205,,69,,"0,95",,167,,8,,420,,48,,"40,7",,"11,7",,"75,5",,39,,1634,,"3,52",,25,
RE00143itkt,2775261,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49057,gnpis_pui:holding-921_taxon-4898_accession-49057,RE00143,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,6",,78,,91,,44,,135,,53,,"0,68",,116,,58,,443,,31,,"36,35",,"11,9",,77,,48,,1140,,"3,08",,23,
DI01022itkt,2775247,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49284,gnpis_pui:holding-921_taxon-4898_accession-49284,DI01022,VIRTUAL_TRIAL,,,,,,,,treated,2001,21,,89,,155,,77,,232,,75,,"0,84",,266,,10,,348,,147,,"45,3",,"12,2",,"79,5",,60,,1691,,"3,31",,33,
RE00165itkt,2775266,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49290,gnpis_pui:holding-921_taxon-4898_accession-49290,RE00165,VIRTUAL_TRIAL,,,,,,,,treated,2001,"17,1",,60,,134,,62,,196,,90,,"1,51",,188,,59,,458,,45,,"34,6",,"12,8",,78,,42,,1559,,"2,91",,29,
EM00264itkt,2775279,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48806,gnpis_pui:holding-921_taxon-4898_accession-48806,EM00264,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,4",,84,,159,,78,,237,,72,,"0,85",,220,,41,,386,,136,,"41,05",,"11,6",,78,,53,,1695,,"2,98",,30,
DI01007itkt,2775240,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48550,gnpis_pui:holding-921_taxon-4898_accession-48550,DI01007,VIRTUAL_TRIAL,,,,,,,,treated,2001,"15,3",,48,,122,,67,,189,,41,,"0,86",,86,,13,,381,,138,,"34,95",,"11,4",,"76,5",,57,,1535,,"2,7",,33,
RE00163itkt,2775253,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,48918,gnpis_pui:holding-921_taxon-4898_accession-48918,RE00163,VIRTUAL_TRIAL,,,,,,,,treated,2001,20,,81,,148,,73,,221,,68,,"0,83",,165,,42,,327,,78,,"47,5",,"13,1",,"77,5",,56,,1560,,"2,7",,26,
Skerzzoitkt,2775280,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,59735,https://doi.org/10.15454/SGAN4B,SKERZZO,VIRTUAL_TRIAL,,,,,,,,treated,2001,"25,5",,132,,163,,77,,240,,74,,"0,56",,315,,47,,421,,167,,"42,4",,"13,1",,"81,5",,69,,1763,,"3,55",,41,
CF99077itkt,2775256,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26047,https://doi.org/10.15454/XORVCY,CF99077,VIRTUAL_TRIAL,,,,,,,,treated,2001,"14,3",,42,,121,,64,,185,,106,,"2,55",,195,,23,,476,,164,,"37,4",,"12,3",,"76,5",,46,,1444,,"3,22",,26,
CF99351itkt,2775260,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,25899,https://doi.org/10.15454/QG5OJU,CF99351,VIRTUAL_TRIAL,,,,,,,,treated,2001,22,,98,,119,,76,,195,,122,,"1,24",,472,,48,,359,,228,,"32,35",,"14,5",,"80,5",,78,,1408,,"3,55",,50,
CF00064itkt,2775238,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,25898,https://doi.org/10.15454/CH5SFE,CF00064,VIRTUAL_TRIAL,,,,,,,,treated,2001,"15,6",,50,,151,,74,,225,,116,,"2,33",,252,,29,,399,,250,,"48,6",,"12,3",,"80,5",,59,,1492,,"3,14",,31,
Voltigeitkt,2775255,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26052,https://doi.org/10.15454/FS69PT,VOLTIGE,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,6",,104,,154,,72,,226,,51,,"0,5",,208,,15,,374,,133,,"36,9",,"12,1",,"78,5",,49,,1710,,"2,15",,32,
EM99012itkt,2775288,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,25901,https://doi.org/10.15454/VOT84X,EM99012,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,6",,104,,137,,69,,206,,77,,"0,74",,326,,36,,320,,142,,"42,1",,"13,9",,"79,5",,59,,1637,,"2,34",,41,
DI00008itkt,2775248,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26858,https://doi.org/10.15454/PRC5QN,DI00008,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,8",,71,,130,,76,,206,,62,,"0,87",,175,,8,,369,,110,,"36,4",,"12,3",,75,,51,,1600,,"3,47",,34,
EM00018itkt,2775273,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26109,https://doi.org/10.15454/S5ERQF,EM00018,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,1",,74,,137,,79,,216,,62,,"0,84",,192,,27,,343,,146,,"39,45",,"12,7",,"79,5",,50,,1532,,"2,41",,33,
RE99017itkt,2775284,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26001,https://doi.org/10.15454/9GS2A7,RE99017,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,6",,86,,140,,75,,215,,54,,"0,63",,187,,19,,372,,130,,"33,9",,"12,8",,78,,51,,1566,,"1,98",,29,
DI00010itkt,2775236,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26106,https://doi.org/10.15454/MAUZZM,DI00010,VIRTUAL_TRIAL,,,,,,,,treated,2001,"18,1",,66,,142,,67,,209,,78,,"1,17",,199,,7,,374,,118,,"38,6",,"11,6",,"79,5",,49,,1547,,"3,82",,31,
CF00116itkt,2775267,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26105,https://doi.org/10.15454/XCQCZQ,CF00116,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,4",,102,,144,,67,,211,,53,,"0,52",,184,,13,,349,,118,,"47,3",,11,,"76,5",,47,,1620,,"3,63",,27,
EM00072itkt,2775276,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26102,https://doi.org/10.15454/WNKZ9X,EM00072,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,1",,90,,131,,66,,197,,49,,"0,54",,155,,29,,353,,84,,"42,05",,"12,1",,74,,46,,1530,,"2,79",,28,
CF00110itkt,2775265,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26048,https://doi.org/10.15454/7WIU47,CF00110,VIRTUAL_TRIAL,,,,,,,,treated,2001,"21,3",,92,,147,,65,,212,,51,,"0,55",,165,,11,,363,,119,,"42,15",,"11,6",,"75,5",,53,,1605,,"4,03",,29,
CF00117itkt,2775268,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26049,https://doi.org/10.15454/NGVK7J,CF00117,VIRTUAL_TRIAL,,,,,,,,treated,2001,"22,3",,101,,144,,69,,213,,50,,"0,49",,172,,10,,377,,113,,"43,1",,"11,6",,76,,55,,1634,,"3,75",,30,
CF00020itkt,2775235,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,49725,https://doi.org/10.15454/PNW0L6,CF00020,VIRTUAL_TRIAL,,,,,,,,treated,2001,"19,5",,77,,128,,63,,191,,72,,"0,93",,206,,15,,363,,92,,"49,85",,"12,3",,78,,49,,1360,,"3,57",,31,
EM00002itkt,2775239,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26108,https://doi.org/10.15454/MTMO4R,EM00002,VIRTUAL_TRIAL,,,,,,,,treated,2001,21,,89,,155,,78,,233,,58,,"0,65",,215,,17,,321,,132,,"39,05",,12,,78,,54,,1720,,"2,23",,33,
DI00024itkt,2775242,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26107,https://doi.org/10.15454/IJHBYL,DI00024,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,9",,116,,134,,72,,206,,55,,"0,48",,196,,13,,331,,106,,"46,25",,"11,4",,77,,51,,1603,,"3,59",,29,
RE01002itkt,2775251,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26110,https://doi.org/10.15454/PY1VVU,RE01002,VIRTUAL_TRIAL,,,,,,,,treated,2001,"20,3",,83,,157,,73,,230,,55,,"0,66",,173,,23,,380,,54,,"37,35",,"11,8",,78,,48,,1690,,"2,36",,27,
CF00108itkt,2775237,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26103,https://doi.org/10.15454/VUCZZU,CF00108,VIRTUAL_TRIAL,,,,,,,,treated,2001,"23,5",,112,,134,,64,,198,,51,,"0,45",,182,,12,,399,,120,,"49,45",,"11,6",,77,,50,,1447,,"3,58",,30,
Rytmicitkt,2775259,BTH_Dijon_2001_TECH,BTH_Dijon_2001_TECH,26892,https://doi.org/10.15454/AVKVIW,RYTMIC,VIRTUAL_TRIAL,,,,,,,,treated,2001,"15,9",,52,,143,,78,,221,,117,,"2,27",,243,,44,,420,,130,,"44,8",,"12,5",,"76,5",,56,,1655,,"3,25",,33,
