observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI02012itkt,2782720,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49673,gnpis_pui:holding-921_taxon-4898_accession-49673,DI02012,VIRTUAL_TRIAL,,,,,,,,treated,2002,"84,7",,"105,5",
DI02022itkt,2782750,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49030,gnpis_pui:holding-921_taxon-4898_accession-49030,DI02022,VIRTUAL_TRIAL,,,,,,,,treated,2002,90,,"112,1",
DI02020itkt,2782748,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49478,gnpis_pui:holding-921_taxon-4898_accession-49478,DI02020,VIRTUAL_TRIAL,,,,,,,,treated,2002,"87,4",,"108,9",
RE01025itkt,2782746,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49682,gnpis_pui:holding-921_taxon-4898_accession-49682,RE01025,VIRTUAL_TRIAL,,,,,,,,treated,2002,"89,2",,"111,2",
EM01216itkt,2782740,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,treated,2002,"95,3",,"118,8",
EM01138itkt,2782758,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49418,gnpis_pui:holding-921_taxon-4898_accession-49418,EM01138,VIRTUAL_TRIAL,,,,,,,,treated,2002,"91,2",,"113,6",
EM01150itkt,2782753,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49276,gnpis_pui:holding-921_taxon-4898_accession-49276,EM01150,VIRTUAL_TRIAL,,,,,,,,treated,2002,"98,3",,"122,4",
EM01288itkt,2782756,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49281,gnpis_pui:holding-921_taxon-4898_accession-49281,EM01288,VIRTUAL_TRIAL,,,,,,,,treated,2002,"93,2",,"116,1",
EM01206itkt,2782730,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48429,gnpis_pui:holding-921_taxon-4898_accession-48429,EM01206,VIRTUAL_TRIAL,,,,,,,,treated,2002,"100,4",,"125,1",
CF01184itkt,2782751,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49268,gnpis_pui:holding-921_taxon-4898_accession-49268,CF01184,VIRTUAL_TRIAL,,,,,,,,treated,2002,"86,4",,"107,6",
RE01027itkt,2782724,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48707,gnpis_pui:holding-921_taxon-4898_accession-48707,RE01027,VIRTUAL_TRIAL,,,,,,,,treated,2002,"95,2",,"118,6",
EM01152itkt,2782755,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48802,gnpis_pui:holding-921_taxon-4898_accession-48802,EM01152,VIRTUAL_TRIAL,,,,,,,,treated,2002,"99,9",,"124,4",
DI02017itkt,2782717,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48804,gnpis_pui:holding-921_taxon-4898_accession-48804,DI02017,VIRTUAL_TRIAL,,,,,,,,treated,2002,"97,4",,"121,4",
RE01032itkt,2782731,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48816,gnpis_pui:holding-921_taxon-4898_accession-48816,RE01032,VIRTUAL_TRIAL,,,,,,,,treated,2002,"84,1",,"104,8",
RE01038itkt,2782727,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48817,gnpis_pui:holding-921_taxon-4898_accession-48817,RE01038,VIRTUAL_TRIAL,,,,,,,,treated,2002,"87,7",,"109,3",
RE01078itkt,2782721,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48557,gnpis_pui:holding-921_taxon-4898_accession-48557,RE01078,VIRTUAL_TRIAL,,,,,,,,treated,2002,79,,"98,4",
RE01073itkt,2782726,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48594,gnpis_pui:holding-921_taxon-4898_accession-48594,RE01073,VIRTUAL_TRIAL,,,,,,,,treated,2002,"84,1",,"104,8",
DI02019itkt,2782722,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48627,gnpis_pui:holding-921_taxon-4898_accession-48627,DI02019,VIRTUAL_TRIAL,,,,,,,,treated,2002,"88,6",,"110,4",
Apacheitkt,2782737,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2002,"103,4",,"128,8",
DI02014itkt,2782716,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49306,gnpis_pui:holding-921_taxon-4898_accession-49306,DI02014,VIRTUAL_TRIAL,,,,,,,,treated,2002,"87,4",,109,
CF01196itkt,2782732,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49532,gnpis_pui:holding-921_taxon-4898_accession-49532,CF01196,VIRTUAL_TRIAL,,,,,,,,treated,2002,"88,8",,"110,6",
DI02018itkt,2782723,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,49736,gnpis_pui:holding-921_taxon-4898_accession-49736,DI02018,VIRTUAL_TRIAL,,,,,,,,treated,2002,"95,1",,"118,5",
CF01120itkt,2782743,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48878,gnpis_pui:holding-921_taxon-4898_accession-48878,CF01120,VIRTUAL_TRIAL,,,,,,,,treated,2002,"92,3",,115,
EM01214itkt,2782741,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,26408,https://doi.org/10.15454/41FB67,EM01214,VIRTUAL_TRIAL,,,,,,,,treated,2002,"98,5",,"122,7",
EM01271itkt,2782736,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,26409,https://doi.org/10.15454/LLKGUD,EM01271,VIRTUAL_TRIAL,,,,,,,,treated,2002,"106,6",,"132,8",
Chargeritkt,2782744,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2002,"97,6",,"121,6",
PR22R28itkt,2782734,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,48973,https://doi.org/10.15454/PFCMDV,PR22R28,VIRTUAL_TRIAL,,,,,,,,treated,2002,96,,"119,6",
Brandoitkt,2782733,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,25734,https://doi.org/10.15454/P0AD4Y,BRANDO,VIRTUAL_TRIAL,,,,,,,,treated,2002,"103,9",,"129,5",
CF00080itkt,2782725,BTH_Rennes_2002_SetB2,BTH_Rennes_2002_SetB2,26050,https://doi.org/10.15454/MPDL1F,CF00080,VIRTUAL_TRIAL,,,,,,,,treated,2002,"91,2",,"113,6",
