observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NpainC(CO_321:1000233),NpainC(CO_321:1000233).date,NpateC(CO_321:1000232),NpateC(CO_321:1000232).date,NtotC(CO_321:1000234),NtotC(CO_321:1000234).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,sds(CO_321:1000224),sds(CO_321:1000224).date,vp(CO_321:1000225),vp(CO_321:1000225).date
Ressor,2784576,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49154,https://doi.org/10.15454/X4XFZS,Ressor,VIRTUAL_TRIAL,,,,,,,,2002,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI02008,2784575,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,2002,"21,4",,93,,146,,76,,222,,68,,"0,73",,223,,64,,370,,10,,"75,1",,54,,"3,2",
CF99005,2784581,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,75767,https://doi.org/10.15454/BZFZDO,CF99005,VIRTUAL_TRIAL,,,,,,,,2002,"20,1",,82,,127,,76,,203,,67,,"0,82",,215,,45,,383,,"10,9",,NA,,48,,"2,13",
Koreli,2784557,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,2002,"20,5",,85,,112,,64,,176,,61,,"0,71",,160,,77,,400,,"10,4",,"84,7",,40,,"2,94",
RE01092,2784556,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,2002,"18,8",,71,,114,,39,,153,,41,,"0,58",,104,,17,,307,,11,,77,,35,,"2,26",
CF00193,2784593,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,25895,https://doi.org/10.15454/WTZMDS,CF00193,VIRTUAL_TRIAL,,,,,,,,2002,"21,5",,94,,156,,80,,236,,79,,"0,83",,257,,72,,357,,"12,7",,"84,3",,55,,"2,51",
RE01015,2784580,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,2002,"17,8",,64,,133,,59,,192,,45,,"0,7",,115,,4,,244,,"10,1",,74,,36,,"1,84",
CF99105,2784594,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,25897,https://doi.org/10.15454/J6YB10,CF99105,VIRTUAL_TRIAL,,,,,,,,2002,"22,1",,99,,116,,66,,182,,53,,"0,54",,153,,57,,357,,"11,1",,"84,9",,43,,"3,41",
EM01352,2784566,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49238,gnpis_pui:holding-921_taxon-4898_accession-49238,EM01352,VIRTUAL_TRIAL,,,,,,,,2002,"22,9",,106,,117,,35,,152,,32,,"0,3",,99,,13,,311,,"11,1",,"74,6",,27,,"2,85",
EM01216,2784570,BTH_Rennes_2002_TECH,BTH_Rennes_2002_TECH,49019,gnpis_pui:holding-921_taxon-4898_accession-49019,EM01216,VIRTUAL_TRIAL,,,,,,,,2002,"19,5",,77,,135,,65,,200,,36,,"0,47",,103,,10,,334,,"10,4",,"77,7",,34,,"2,42",
