observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI02008itknt,2787202,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"118,8",,90,
Soissonsitknt,2787232,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"95,2",,"72,2",
DI02008itkfi,2787201,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"10,6",,"117,8",,"86,2",
EM01063itkfi,2787165,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49119,gnpis_pui:holding-921_taxon-4898_accession-49119,EM01063,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,13,,"100,6",,"73,6",
EM01324itkfi,2787174,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,8",,"108,4",,"79,3",
RE02101itkfi,2787213,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26099,https://doi.org/10.15454/SIGZUF,RE02101,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,5",,"112,3",,"82,2",
DI02028itkt,2787209,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,treated,2003,140,,"12,3",,"100,6",,"85,2",
DI02028itkfi,2787207,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"11,4",,"106,8",,"78,2",
RE01092itkfi,2787156,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,13,,"109,4",,"80,1",
DI02021itkt,2787212,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,treated,2003,146,,"12,5",,"112,5",,"95,4",
EM01324itknt,2787175,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"98,6",,"74,8",
EM01024itkt,2787161,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,treated,2003,142,,"12,8",,"109,7",,"92,9",
Soissonsitkfi,2787231,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,12,,"96,8",,"70,9",
RE01092itkt,2787158,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2003,143,,"13,7",,"101,1",,"85,7",
RE01092itknt,2787157,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"102,3",,"77,6",
EM01024itknt,2787160,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49713,gnpis_pui:holding-921_taxon-4898_accession-49713,EM01024,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,108,,"81,9",
RE01015itkt,2787137,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,144,,"11,8",,"107,7",,"91,3",
DI02028itknt,2787208,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"109,3",,"82,8",
CF00060itkfi,2787147,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,low inputs,2003,,,"12,5",,"94,9",,"69,5",
Soissonsitkt,2787233,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,"136,5",,"12,7",,"95,2",,"80,7",
EM01023itknt,2787205,BTH_Estrées-Mons_2003_SetA2,BTH_Estrées-Mons_2003_SetA2,26407,https://doi.org/10.15454/3VKOE9,EM01023,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,,,"111,3",,"84,4",
