observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI02008itknt,2787723,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,87,,136,,"96,6",,"72,9",,1,
Soissonsitkt,2787744,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2003,89,,125,,"97,7",,"74,6",,1,
EM01325itknt,2787703,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49045,gnpis_pui:holding-921_taxon-4898_accession-49045,EM01325,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,131,,"87,4",,66,,1,
RE01092itkt,2787694,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2003,86,,130,,"98,7",,"75,3",,1,
DI02021itknt,2787729,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,96,,134,,"112,2",,"84,8",,1,
DI02028itkt,2787728,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,treated,2003,94,,129,,"103,7",,"79,2",,1,
CF00060itkt,2787688,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49450,gnpis_pui:holding-921_taxon-4898_accession-49450,CF00060,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,132,,"89,7",,"68,5",,1,
DI02028itknt,2787727,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,94,,130,,"97,8",,"73,8",,1,
RE01092itknt,2787693,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,84,,129,,"95,2",,"71,9",,1,
RE01015itknt,2787679,BTH_Lusignan_2003_SetA2,BTH_Lusignan_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,90,,134,,"101,2",,"76,4",,1,
