observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI02008itkt,2787928,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26800,https://doi.org/10.15454/VY4RPB,DI02008,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,141,,"100,9",,,,"102,6",,,,,
EM01324itknt,2787909,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49472,gnpis_pui:holding-921_taxon-4898_accession-49472,EM01324,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"92,6",,1,,"75,2",,1,,1,
DI02021itkt,2787934,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49148,gnpis_pui:holding-921_taxon-4898_accession-49148,DI02021,VIRTUAL_TRIAL,,,,,,,,treated,2003,100,,,,141,,"102,1",,,,"103,8",,,,,
DI02028itkt,2787932,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,134,,"89,3",,,,"90,8",,,,,
EM01328itkt,2787916,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,146,,"100,2",,,,"101,9",,,,,
RE01092itknt,2787897,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,1,,,,"112,2",,1,,91,,1,,1,
EM01328itknt,2787915,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49205,gnpis_pui:holding-921_taxon-4898_accession-49205,EM01328,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,NA,,,,"114,1",,NA,,"92,6",,NA,,NA,
DI02028itknt,2787931,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,49121,gnpis_pui:holding-921_taxon-4898_accession-49121,DI02028,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2003,,,4,,,,"101,9",,2,,"82,7",,1,,1,
RE01092itkt,2787898,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26098,https://doi.org/10.15454/AX4FXK,RE01092,VIRTUAL_TRIAL,,,,,,,,treated,2003,90,,,,137,,"95,6",,,,"97,2",,,,,
RE01015itkt,2787884,BTH_Orgeval_2003_SetA2,BTH_Orgeval_2003_SetA2,26095,https://doi.org/10.15454/RSFKAG,RE01015,VIRTUAL_TRIAL,,,,,,,,treated,2003,95,,,,138,,"100,2",,,,"101,9",,,,,
