observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI03003itkt,2788400,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,treated,2003,136,,"105,4",,54,
EM02272itkt,2788385,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49167,gnpis_pui:holding-921_taxon-4898_accession-49167,EM02272,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"100,5",,"51,5",
EM02281itkt,2788379,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49177,gnpis_pui:holding-921_taxon-4898_accession-49177,EM02281,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"98,9",,"50,7",
EM02231itkt,2788386,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,26415,https://doi.org/10.15454/J3I5NY,EM02231,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"130,6",,"66,9",
DI03002itkt,2788401,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49320,gnpis_pui:holding-921_taxon-4898_accession-49320,DI03002,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"97,7",,50,
RE02161itkt,2788409,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,48986,gnpis_pui:holding-921_taxon-4898_accession-48986,RE02161,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"86,1",,"44,1",
EM02307itkt,2788405,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49547,gnpis_pui:holding-921_taxon-4898_accession-49547,EM02307,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"85,1",,"43,6",
CF02145itkt,2788413,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,48913,gnpis_pui:holding-921_taxon-4898_accession-48913,CF02145,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"103,1",,"52,8",
CF02146itkt,2788415,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,48907,gnpis_pui:holding-921_taxon-4898_accession-48907,CF02146,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"82,1",,42,
EM02308itkt,2788402,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,48353,gnpis_pui:holding-921_taxon-4898_accession-48353,EM02308,VIRTUAL_TRIAL,,,,,,,,treated,2003,131,,104,,"53,3",
Apacheitkt,2788391,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"99,5",,51,
CF02220itkt,2788382,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49246,gnpis_pui:holding-921_taxon-4898_accession-49246,CF02220,VIRTUAL_TRIAL,,,,,,,,treated,2003,126,,"107,6",,"55,1",
EM02292itkt,2788389,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,48744,gnpis_pui:holding-921_taxon-4898_accession-48744,EM02292,VIRTUAL_TRIAL,,,,,,,,treated,2003,129,,"113,7",,"58,2",
CF02094itkt,2788406,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49518,gnpis_pui:holding-921_taxon-4898_accession-49518,CF02094,VIRTUAL_TRIAL,,,,,,,,treated,2003,133,,"104,1",,"53,3",
RE02134itkt,2788380,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49411,gnpis_pui:holding-921_taxon-4898_accession-49411,RE02134,VIRTUAL_TRIAL,,,,,,,,treated,2003,132,,"94,6",,"48,5",
EM02233itkt,2788387,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,26416,https://doi.org/10.15454/HJAB4N,EM02233,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"111,3",,57,
RE02095itkt,2788404,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,48677,gnpis_pui:holding-921_taxon-4898_accession-48677,RE02095,VIRTUAL_TRIAL,,,,,,,,treated,2003,131,,"98,3",,"50,3",
EM02234itkt,2788388,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,48895,gnpis_pui:holding-921_taxon-4898_accession-48895,EM02234,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"102,2",,"52,3",
CF02093itkt,2788403,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,26417,https://doi.org/10.15454/YM7WOU,CF02093,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"120,5",,"61,7",
DI03001itkt,2788399,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49278,gnpis_pui:holding-921_taxon-4898_accession-49278,DI03001,VIRTUAL_TRIAL,,,,,,,,treated,2003,136,,102,,"52,3",
RE02160itkt,2788410,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,49612,gnpis_pui:holding-921_taxon-4898_accession-49612,RE02160,VIRTUAL_TRIAL,,,,,,,,treated,2003,135,,"95,1",,"48,7",
EM02298itkt,2788376,BTH_Clermont-Ferrand_2003_SetB1,BTH_Clermont-Ferrand_2003_SetB1,48726,gnpis_pui:holding-921_taxon-4898_accession-48726,EM02298,VIRTUAL_TRIAL,,,,,,,,treated,2003,134,,"89,5",,"45,8",
