observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2788939,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,28",,"65,2",
2,2788940,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,3",,"71,87",
1,2788941,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"14,01",,"93,32",
2,2788828,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48430,gnpis_pui:holding-921_taxon-4898_accession-48430,RE02081,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,62",,"70,1",
2,2788942,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"13,09",,"89,26",
2,2788896,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,26426,https://doi.org/10.15454/PIXJ6I,DI03003,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"9,24",,"86,84",
2,2788928,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"8,95",,"73,62",
1,2788829,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48430,gnpis_pui:holding-921_taxon-4898_accession-48430,RE02081,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,64",,"88,29",
1,2788929,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"11,98",,"101,21",
1,2788927,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"8,98",,"74,71",
1,2788827,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48430,gnpis_pui:holding-921_taxon-4898_accession-48430,RE02081,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"11,68",,"66,5",
2,2788930,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,68",,"101,88",
2,2788958,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48907,gnpis_pui:holding-921_taxon-4898_accession-48907,CF02146,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"13,22",,"94,52",
1,2788955,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48907,gnpis_pui:holding-921_taxon-4898_accession-48907,CF02146,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,92",,"79,25",
1,2788957,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48907,gnpis_pui:holding-921_taxon-4898_accession-48907,CF02146,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,54",,"102,06",
1,2788887,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48525,gnpis_pui:holding-921_taxon-4898_accession-48525,DI03006,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"9,86",,"74,54",
2,2788950,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48913,gnpis_pui:holding-921_taxon-4898_accession-48913,CF02145,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,83",,"93,98",
2,2788956,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48907,gnpis_pui:holding-921_taxon-4898_accession-48907,CF02146,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"11,05",,"74,2",
1,2788949,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48913,gnpis_pui:holding-921_taxon-4898_accession-48913,CF02145,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,15",,"96,22",
2,2788890,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48525,gnpis_pui:holding-921_taxon-4898_accession-48525,DI03006,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,25",,"94,24",
1,2788801,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48726,gnpis_pui:holding-921_taxon-4898_accession-48726,EM02298,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,25",,"96,02",
1,2788799,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48726,gnpis_pui:holding-921_taxon-4898_accession-48726,EM02298,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"9,95",,"70,94",
2,2788802,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48726,gnpis_pui:holding-921_taxon-4898_accession-48726,EM02298,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,35",,"93,56",
2,2788800,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48726,gnpis_pui:holding-921_taxon-4898_accession-48726,EM02298,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,47",,"79,89",
2,2788888,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48525,gnpis_pui:holding-921_taxon-4898_accession-48525,DI03006,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"9,51",,"76,21",
1,2788889,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48525,gnpis_pui:holding-921_taxon-4898_accession-48525,DI03006,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,64",,"94,86",
1,2788865,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48836,gnpis_pui:holding-921_taxon-4898_accession-48836,EM02286,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,65",,"96,3",
1,2788863,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48836,gnpis_pui:holding-921_taxon-4898_accession-48836,EM02286,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,8",,"72,53",
2,2788866,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48836,gnpis_pui:holding-921_taxon-4898_accession-48836,EM02286,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,72",,"93,98",
2,2788864,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48836,gnpis_pui:holding-921_taxon-4898_accession-48836,EM02286,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,66",,"80,58",
2,2788808,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49102,gnpis_pui:holding-921_taxon-4898_accession-49102,EM02278,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,35",,"71,27",
1,2788947,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48913,gnpis_pui:holding-921_taxon-4898_accession-48913,CF02145,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,36",,"78,32",
2,2788810,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49102,gnpis_pui:holding-921_taxon-4898_accession-49102,EM02278,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,67",,"89,45",
1,2788809,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49102,gnpis_pui:holding-921_taxon-4898_accession-49102,EM02278,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,24",,"87,89",
1,2788855,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48815,gnpis_pui:holding-921_taxon-4898_accession-48815,DI03004,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,47",,"80,49",
1,2788807,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49102,gnpis_pui:holding-921_taxon-4898_accession-49102,EM02278,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"10,49",,"74,95",
1,2788823,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49246,gnpis_pui:holding-921_taxon-4898_accession-49246,CF02220,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"11,25",,"64,94",
2,2788826,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49246,gnpis_pui:holding-921_taxon-4898_accession-49246,CF02220,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"13,44",,"87,62",
2,2788824,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49246,gnpis_pui:holding-921_taxon-4898_accession-49246,CF02220,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,77",,"66,46",
1,2788825,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49246,gnpis_pui:holding-921_taxon-4898_accession-49246,CF02220,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,29",,"83,41",
1,2788857,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48815,gnpis_pui:holding-921_taxon-4898_accession-48815,DI03004,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"13,41",,"98,06",
2,2788856,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48815,gnpis_pui:holding-921_taxon-4898_accession-48815,DI03004,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,36",,"87,7",
2,2788948,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48913,gnpis_pui:holding-921_taxon-4898_accession-48913,CF02145,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"10,61",,"79,09",
2,2788938,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49612,gnpis_pui:holding-921_taxon-4898_accession-49612,RE02160,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"11,94",,"92,16",
1,2788937,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49612,gnpis_pui:holding-921_taxon-4898_accession-49612,RE02160,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,02",,"88,65",
1,2788935,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49612,gnpis_pui:holding-921_taxon-4898_accession-49612,RE02160,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2003,"9,94",,"77,15",
2,2788858,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48815,gnpis_pui:holding-921_taxon-4898_accession-48815,DI03004,REPLICATION,2,,,,,,REPLICATION:2,treated,2003,"12,73",,"93,32",
2,2788936,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,49612,gnpis_pui:holding-921_taxon-4898_accession-49612,RE02160,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2003,"9,71",,"86,36",
1,2788885,BTH_Le_Moulon_2003_SetB1,BTH_Le_Moulon_2003_SetB1,48823,gnpis_pui:holding-921_taxon-4898_accession-48823,DI03007,REPLICATION,1,,,,,,REPLICATION:1,treated,2003,"12,89",,"94,38",
