observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI03012itkt,2796386,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26429,https://doi.org/10.15454/FOQIZY,DI03012,VIRTUAL_TRIAL,,,,,,,,treated,2004,"75,4",,"90,5",,"103,8",,1,
DI03003itkt,2796418,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26426,https://doi.org/10.15454/PIXJ6I,DI03003,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,6",,102,,117,,1,
EM02224itknt,2796445,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"109,3",,"107,9",,3,
EM02224itkt,2796446,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26806,https://doi.org/10.15454/MJW2ZX,EM02224,VIRTUAL_TRIAL,,,,,,,,treated,2004,77,,"98,4",,"112,9",,3,
EM02054itkt,2796404,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,treated,2004,"79,1",,"100,2",,"114,9",,3,
EM02054itknt,2796403,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26805,https://doi.org/10.15454/A80GXX,EM02054,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"105,4",,"104,1",,3,
Apacheitkt,2796410,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2004,"76,8",,"102,9",,118,,1,
Apacheitknt,2796409,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"93,2",,92,,1,
CF01185itknt,2796435,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26425,https://doi.org/10.15454/LCAXP3,CF01185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,,,"93,2",,92,,1,
CF01185itkt,2796436,BTH_Orgeval_2004_SetA2,BTH_Orgeval_2004_SetA2,26425,https://doi.org/10.15454/LCAXP3,CF01185,VIRTUAL_TRIAL,,,,,,,,treated,2004,"73,4",,91,,"104,3",,1,
