observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,oid(CO_321:1000145),oid(CO_321:1000145).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Barokitknt,2798127,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"110,8",,"111,8",,1,
EM01105.1itkt,2798188,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48967,gnpis_pui:holding-921_taxon-4898_accession-48967,EM01105.1,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,85,,"91,7",,1,
Barokitkt,2798128,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"106,7",,"115,1",,1,
EM01105.1itknt,2798187,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48967,gnpis_pui:holding-921_taxon-4898_accession-48967,EM01105.1,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"93,2",,"94,1",,2,
CF03305itkt,2798164,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49537,gnpis_pui:holding-921_taxon-4898_accession-49537,CF03305,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,6",,"109,6",,1,
DI04005itkt,2798204,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48460,gnpis_pui:holding-921_taxon-4898_accession-48460,DI04005,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,91,,"98,1",,1,
CF03201itkt,2798178,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"105,7",,114,,4,
CF03198itknt,2798217,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48845,gnpis_pui:holding-921_taxon-4898_accession-48845,CF03198,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"89,2",,90,,1,
CF03201itknt,2798177,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26975,https://doi.org/10.15454/0TTU1F,CF03201,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,110,,111,,"2,5",
DI04002itknt,2798211,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48882,gnpis_pui:holding-921_taxon-4898_accession-48882,DI04002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"102,3",,"103,2",,"4,5",
CF03198itkt,2798218,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48845,gnpis_pui:holding-921_taxon-4898_accession-48845,CF03198,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"92,5",,"99,8",,1,
EM01343itknt,2798181,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"100,5",,"101,4",,4,
RE03157itknt,2798195,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48600,https://doi.org/10.15454/MYOQSH,RE03157,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,100,,"100,9",,6,
RE03157itkt,2798196,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48600,https://doi.org/10.15454/MYOQSH,RE03157,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"102,7",,"110,8",,4,
EM01343itkt,2798182,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,26804,https://doi.org/10.15454/OU9OPJ,EM01343,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"101,1",,"109,1",,4,
EM01100.2itkt,2798194,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49446,gnpis_pui:holding-921_taxon-4898_accession-49446,EM01100.2,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"102,2",,"110,3",,1,
LM03005itknt,2798141,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"95,7",,"96,6",,1,
CF03450itknt,2798165,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49209,gnpis_pui:holding-921_taxon-4898_accession-49209,CF03450,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,101,,"101,9",,1,
RE03156itkt,2798154,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48668,gnpis_pui:holding-921_taxon-4898_accession-48668,RE03156,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,2",,"108,1",,1,
LM03007itknt,2798131,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49055,gnpis_pui:holding-921_taxon-4898_accession-49055,LM03007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"89,9",,"90,7",,1,
LM03007itkt,2798132,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49055,gnpis_pui:holding-921_taxon-4898_accession-49055,LM03007,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"95,2",,"102,7",,1,
EM01100.2itknt,2798193,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49446,gnpis_pui:holding-921_taxon-4898_accession-49446,EM01100.2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"95,7",,"96,6",,3,
LM03005itkt,2798142,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49046,gnpis_pui:holding-921_taxon-4898_accession-49046,LM03005,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"100,8",,"108,7",,1,
RE03119itkt,2798168,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49242,gnpis_pui:holding-921_taxon-4898_accession-49242,RE03119,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"99,6",,"107,4",,1,
RE03119itknt,2798167,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49242,gnpis_pui:holding-921_taxon-4898_accession-49242,RE03119,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"99,1",,100,,1,
RE03156itknt,2798153,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48668,gnpis_pui:holding-921_taxon-4898_accession-48668,RE03156,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"92,4",,"93,3",,"2,5",
Chargeritkt,2798180,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"98,4",,"106,2",,1,
Farandoleitkt,2798172,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"106,1",,"114,4",,1,
Chargeritknt,2798179,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"102,9",,"103,9",,1,
CF03450itkt,2798166,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49209,gnpis_pui:holding-921_taxon-4898_accession-49209,CF03450,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"103,2",,"111,3",,1,
CF03305itknt,2798163,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49537,gnpis_pui:holding-921_taxon-4898_accession-49537,CF03305,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,110,,111,,1,
CF03157itkt,2798146,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48979,gnpis_pui:holding-921_taxon-4898_accession-48979,CF03157,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"105,6",,"113,9",,1,
CF03157itknt,2798145,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,48979,gnpis_pui:holding-921_taxon-4898_accession-48979,CF03157,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,3,,"106,7",,"107,7",,2,
Isengrainitknt,2798213,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,25585,https://doi.org/10.15454/YZZGYB,ISENGRAIN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,2,,"103,4",,"104,4",,1,
CF03228itkt,2798176,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49099,gnpis_pui:holding-921_taxon-4898_accession-49099,CF03228,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,95,,"102,5",,1,
CF03120itkt,2798138,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49695,gnpis_pui:holding-921_taxon-4898_accession-49695,CF03120,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"105,9",,"114,2",,1,
LM03002itkt,2798140,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49261,gnpis_pui:holding-921_taxon-4898_accession-49261,LM03002,VIRTUAL_TRIAL,,,,,,,,treated,2004,,,"97,9",,"105,6",,1,
CF03228itknt,2798175,BTH_Orgeval_2004_SetB1,BTH_Orgeval_2004_SetB1,49099,gnpis_pui:holding-921_taxon-4898_accession-49099,CF03228,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2004,1,,"97,1",,98,,1,
