observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI05014itkt,2807621,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2005,77,,146,,"96,7",,"76,9",
CF03058itkt,2807614,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48359,gnpis_pui:holding-921_taxon-4898_accession-48359,CF03058,VIRTUAL_TRIAL,,,,,,,,treated,2005,75,,144,,108,,86,
Hendrixitkt,2807605,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,146,,"90,4",,72,
CF04012itkt,2807613,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48480,gnpis_pui:holding-921_taxon-4898_accession-48480,CF04012,VIRTUAL_TRIAL,,,,,,,,treated,2005,79,,146,,105,,"83,6",
AO05001itkt,2807639,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48798,https://doi.org/10.15454/YUL8X7,AO05001,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,137,,"102,9",,"81,9",
RE04022itkt,2807612,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,78,,146,,"106,5",,"84,8",
EM04294itkt,2807607,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,48735,gnpis_pui:holding-921_taxon-4898_accession-48735,EM04294,VIRTUAL_TRIAL,,,,,,,,treated,2005,72,,146,,"109,6",,"87,2",
DI05019itkt,2807618,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49356,gnpis_pui:holding-921_taxon-4898_accession-49356,DI05019,VIRTUAL_TRIAL,,,,,,,,treated,2005,74,,140,,"89,9",,"71,6",
DI05020itkt,2807642,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2005,71,,141,,"104,2",,83,
EM04329itkt,2807637,BTH_Clermont-Ferrand_2005_SetB2,BTH_Clermont-Ferrand_2005_SetB2,49271,gnpis_pui:holding-921_taxon-4898_accession-49271,EM04329,VIRTUAL_TRIAL,,,,,,,,treated,2005,66,,149,,"88,7",,"70,6",
