observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date
DI05013itkt,2807855,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48379,gnpis_pui:holding-921_taxon-4898_accession-48379,DI05013,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,"143,5",,77,
DI05020itkt,2807870,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,141,,"75,9",
DI05014itkt,2807849,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,treated,2005,87,,146,,"74,5",
Hendrixitkt,2807833,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,treated,2005,"93,5",,"144,5",,"77,4",
RE04022itkt,2807840,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,treated,2005,87,,146,,"73,8",
CF04184itkt,2807869,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,treated,2005,"81,5",,141,,"76,6",
DI05018itkt,2807845,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48575,gnpis_pui:holding-921_taxon-4898_accession-48575,DI05018,VIRTUAL_TRIAL,,,,,,,,treated,2005,"79,5",,141,,"74,9",
EM04343itkt,2807857,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48611,gnpis_pui:holding-921_taxon-4898_accession-48611,EM04343,VIRTUAL_TRIAL,,,,,,,,treated,2005,82,,146,,"72,8",
DI05012itkt,2807854,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48954,gnpis_pui:holding-921_taxon-4898_accession-48954,DI05012,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,144,,"76,4",
EM04334itkt,2807837,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49302,gnpis_pui:holding-921_taxon-4898_accession-49302,EM04334,VIRTUAL_TRIAL,,,,,,,,treated,2005,87,,149,,"74,9",
DI05015itkt,2807850,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49357,gnpis_pui:holding-921_taxon-4898_accession-49357,DI05015,VIRTUAL_TRIAL,,,,,,,,treated,2005,81,,143,,"76,6",
RE04020itkt,2807839,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49413,gnpis_pui:holding-921_taxon-4898_accession-49413,RE04020,VIRTUAL_TRIAL,,,,,,,,treated,2005,84,,147,,"66,2",
RE04071itkt,2807862,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49565,gnpis_pui:holding-921_taxon-4898_accession-49565,RE04071,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,147,,73,
DI05017itkt,2807852,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49658,gnpis_pui:holding-921_taxon-4898_accession-49658,DI05017,VIRTUAL_TRIAL,,,,,,,,treated,2005,"80,5",,"146,5",,"74,8",
AO05003itkt,2807848,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49730,gnpis_pui:holding-921_taxon-4898_accession-49730,AO05003,VIRTUAL_TRIAL,,,,,,,,treated,2005,"77,5",,141,,"76,7",
CF03058itkt,2807842,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48359,gnpis_pui:holding-921_taxon-4898_accession-48359,CF03058,VIRTUAL_TRIAL,,,,,,,,treated,2005,87,,"143,5",,"72,6",
DI05019itkt,2807846,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49356,gnpis_pui:holding-921_taxon-4898_accession-49356,DI05019,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,"141,5",,"76,2",
EM04329itkt,2807865,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49271,gnpis_pui:holding-921_taxon-4898_accession-49271,EM04329,VIRTUAL_TRIAL,,,,,,,,treated,2005,76,,"147,5",,"73,3",
DI05016itkt,2807851,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48795,gnpis_pui:holding-921_taxon-4898_accession-48795,DI05016,VIRTUAL_TRIAL,,,,,,,,treated,2005,"82,5",,147,,75,
RE04044itkt,2807863,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49479,gnpis_pui:holding-921_taxon-4898_accession-49479,RE04044,VIRTUAL_TRIAL,,,,,,,,treated,2005,"84,5",,"140,5",,"78,3",
Apacheitkt,2807856,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2005,"78,5",,"141,5",,"78,4",
AO05002itkt,2807847,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,49364,https://doi.org/10.15454/DWZO1B,AO05002,VIRTUAL_TRIAL,,,,,,,,treated,2005,85,,140,,77,
AO05004itkt,2807844,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,48941,https://doi.org/10.15454/YPYOQJ,AO05004,VIRTUAL_TRIAL,,,,,,,,treated,2005,"87,5",,143,,"78,1",
Chargeritkt,2807860,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,treated,2005,77,,144,,"72,6",
Caphornitkt,2807858,BTH_Dijon_2005_SetB2,BTH_Dijon_2005_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2005,80,,141,,"75,85",
