observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI05020,2808706,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,62005,https://doi.org/10.15454/Q0EAS8,DI05020,VIRTUAL_TRIAL,,,,,,,,2005,8,,6,,NA,,5,,3,,3,
DI05014,2808685,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,26985,https://doi.org/10.15454/TKJCUM,DI05014,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,6,,NA,,5,,3,,4,
Hendrix,2808669,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,26833,https://doi.org/10.15454/PYUIEM,HENDRIX,VIRTUAL_TRIAL,,,,,,,,2005,"2,75",,3,,NA,,2,,1,,3,
RE04022,2808676,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,2005,6,,6,,NA,,2,,4,,1,
CF04184,2808705,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,26896,https://doi.org/10.15454/PBJIBN,CF04184,VIRTUAL_TRIAL,,,,,,,,2005,"3,25",,4,,NA,,5,,4,,6,
DI05018,2808681,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,48575,gnpis_pui:holding-921_taxon-4898_accession-48575,DI05018,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,8,,NA,,5,,3,,3,
EM04343,2808693,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,48611,gnpis_pui:holding-921_taxon-4898_accession-48611,EM04343,VIRTUAL_TRIAL,,,,,,,,2005,"6,25",,3,,NA,,2,,3,,3,
DI05012,2808690,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,48954,gnpis_pui:holding-921_taxon-4898_accession-48954,DI05012,VIRTUAL_TRIAL,,,,,,,,2005,"5,25",,6,,NA,,5,,5,,5,
EM04334,2808673,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49302,gnpis_pui:holding-921_taxon-4898_accession-49302,EM04334,VIRTUAL_TRIAL,,,,,,,,2005,4,,6,,NA,,5,,6,,1,
DI05015,2808686,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49357,gnpis_pui:holding-921_taxon-4898_accession-49357,DI05015,VIRTUAL_TRIAL,,,,,,,,2005,"6,75",,6,,NA,,5,,3,,3,
RE04020,2808675,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49413,gnpis_pui:holding-921_taxon-4898_accession-49413,RE04020,VIRTUAL_TRIAL,,,,,,,,2005,7,,4,,NA,,5,,1,,1,
RE04071,2808698,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49565,gnpis_pui:holding-921_taxon-4898_accession-49565,RE04071,VIRTUAL_TRIAL,,,,,,,,2005,"7,5",,4,,NA,,5,,3,,3,
DI05017,2808688,BTH_Rennes_2005_SetB2_PIETIN-VERSE,BTH_Rennes_2005_SetB2_PIETIN-VERSE,49658,gnpis_pui:holding-921_taxon-4898_accession-49658,DI05017,VIRTUAL_TRIAL,,,,,,,,2005,"3,5",,3,,NA,,5,,2,,8,
