observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI05020-2itkt,2813934,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,treated,2006,80,,"144,5",,"69,4",,"115,3",,"100,9",,,
DI05020-2itknt,2813933,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,48490,https://doi.org/10.15454/FGXHZP,DI05020-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,144,,"71,2",,"129,6",,"84,9",,4,
RE04022itknt,2813905,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,26831,https://doi.org/10.15454/CK12PW,RE04022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,88,,148,,"68,1",,"107,5",,"70,4",,8,
DI05001itknt,2813957,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,75,,"150,5",,"64,4",,"108,8",,"71,2",,5,
EM04145itkt,2813912,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,27041,https://doi.org/10.15454/VQLTLY,EM04145,VIRTUAL_TRIAL,,,,,,,,treated,2006,72,,"146,5",,"69,4",,"105,3",,"92,2",,,
DI05022itkt,2813954,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,treated,2006,82,,"145,5",,67,,110,,"96,3",,,
DI05022itknt,2813953,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,26979,https://doi.org/10.15454/BHQTEW,DI05022,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,85,,"145,5",,"69,4",,"130,1",,"85,2",,5,
Farandoleitknt,2813929,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,143,,"64,8",,"115,8",,"75,9",,6,
DI05001itkt,2813958,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,49480,gnpis_pui:holding-921_taxon-4898_accession-49480,DI05001,VIRTUAL_TRIAL,,,,,,,,treated,2006,72,,148,,"67,8",,"106,1",,"92,9",,,
DI05004itknt,2813895,BTH_Orgeval_2006_SetA2,BTH_Orgeval_2006_SetA2,49451,https://doi.org/10.15454/HTYOGZ,DI05004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2006,80,,148,,"66,2",,"105,9",,"69,3",,4,
