observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date
DI06007itkfi,2815248,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"137,5",,"75,8",,"107,3",,1,,"65,1",,1,
RE05009itkfi,2815215,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48566,https://doi.org/10.15454/PNQ6BX,RE05009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"134,5",,"72,4",,"104,1",,1,,"63,2",,1,
Orvantisitkfi,2815241,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,86,,135,,"77,7",,"109,6",,1,,"66,5",,3,
Chargeritkfi,2815234,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,76,,"138,5",,71,,"97,4",,1,,"59,1",,1,
RE05118itkfi,2815229,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49091,gnpis_pui:holding-921_taxon-4898_accession-49091,RE05118,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"134,5",,"79,8",,"103,8",,1,,63,,1,
EM05055itkfi,2815235,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26970,https://doi.org/10.15454/ASLJXK,EM05055,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,"135,5",,"74,6",,"106,3",,1,,"64,5",,1,
RE05073itkfi,2815240,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48629,gnpis_pui:holding-921_taxon-4898_accession-48629,RE05073,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"134,5",,"72,6",,"113,7",,1,,69,,1,
CF05091itkfi,2815233,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26973,https://doi.org/10.15454/GWNEQR,CF05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,76,,135,,"75,2",,"100,1",,2,,"60,7",,1,
Apacheitkfi,2815228,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,80,,"134,5",,"77,7",,"95,5",,1,,"57,9",,1,
DI06003itkfi,2815252,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48595,gnpis_pui:holding-921_taxon-4898_accession-48595,DI06003,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,86,,135,,"77,2",,"104,1",,1,,"63,2",,1,
RE05007itkfi,2815216,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26981,https://doi.org/10.15454/SU2MGF,RE05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,86,,"136,5",,"72,5",,"116,5",,1,,"70,7",,1,
Caphornitkfi,2815231,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,82,,"136,5",,"74,2",,"97,5",,1,,"59,2",,1,
AO05009itkfi,2815226,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48731,https://doi.org/10.15454/UU4VCF,AO05009,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,84,,"131,5",,"77,2",,108,,2,,"65,5",,1,
CF05017itkfi,2815243,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48654,gnpis_pui:holding-921_taxon-4898_accession-48654,CF05017,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,90,,132,,"75,2",,"114,5",,1,,"69,5",,2,
CF05162itkfi,2815225,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26968,https://doi.org/10.15454/3810GN,CF05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,85,,134,,"76,2",,"110,4",,1,,67,,1,
DI06004itkfi,2815249,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,49291,https://doi.org/10.15454/RCJVYZ,DI06004,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,84,,"138,5",,"71,6",,"103,6",,1,,"62,9",,1,
EM05162itkfi,2815217,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26971,https://doi.org/10.15454/IAEYHC,EM05162,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,87,,134,,"77,1",,"107,5",,1,,"65,2",,1,
AO06803itkfi,2815227,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48775,https://doi.org/10.15454/SUCAXZ,AO06803,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,98,,131,,"79,4",,"103,9",,1,,63,,1,
CF05007itkfi,2815224,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,48785,gnpis_pui:holding-921_taxon-4898_accession-48785,CF05007,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,88,,"136,5",,"75,8",,"100,8",,1,,"61,2",,1,
RE05091itkfi,2815245,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,27043,https://doi.org/10.15454/QCLAYU,RE05091,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,81,,"134,5",,"77,4",,"103,9",,1,,"63,1",,1,
RE05074itkfi,2815238,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,84,,135,,"72,9",,"106,6",,1,,"64,7",,1,
Flamenkoitkfi,2815236,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,86,,134,,"74,6",,"112,7",,1,,"68,4",,2,
Farandoleitkfi,2815232,BTH_Lusignan_2006_SetB1,BTH_Lusignan_2006_SetB1,25827,https://doi.org/10.15454/FYPHOO,FARANDOLE,VIRTUAL_TRIAL,,,,,,,,low inputs,2006,78,,135,,73,,101,,1,,"61,3",,1,
