observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,oid(CO_321:1000145),oid(CO_321:1000145).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
DI06024,2818251,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49274,https://doi.org/10.15454/WL2TYG,DI06024,VIRTUAL_TRIAL,,,,,,,,2006,6,,7,,5,,8,,1,
CF05173,2818241,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,2006,4,,4,,3,,4,,1,
Folklor,2818221,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,2006,3,,6,,2,,3,,1,
RE05041,2818224,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,27042,https://doi.org/10.15454/1NUEUQ,RE05041,VIRTUAL_TRIAL,,,,,,,,2006,"4,5",,6,,2,,2,,1,
CF05092,2818225,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48951,gnpis_pui:holding-921_taxon-4898_accession-48951,CF05092,VIRTUAL_TRIAL,,,,,,,,2006,3,,6,,2,,2,,4,
DI06020,2818253,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48984,gnpis_pui:holding-921_taxon-4898_accession-48984,DI06020,VIRTUAL_TRIAL,,,,,,,,2006,"7,5",,3,,5,,2,,1,
DI06017,2818233,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49500,gnpis_pui:holding-921_taxon-4898_accession-49500,DI06017,VIRTUAL_TRIAL,,,,,,,,2006,5,,3,,2,,2,,6,
RE05106,2818243,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48516,gnpis_pui:holding-921_taxon-4898_accession-48516,RE05106,VIRTUAL_TRIAL,,,,,,,,2006,"6,5",,1,,5,,2,,1,
RE05026,2818218,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48440,gnpis_pui:holding-921_taxon-4898_accession-48440,RE05026,VIRTUAL_TRIAL,,,,,,,,2006,4,,6,,2,,3,,3,
RE05067,2818222,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48796,gnpis_pui:holding-921_taxon-4898_accession-48796,RE05067,VIRTUAL_TRIAL,,,,,,,,2006,4,,3,,5,,3,,1,
DI06025,2818252,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48801,gnpis_pui:holding-921_taxon-4898_accession-48801,DI06025,VIRTUAL_TRIAL,,,,,,,,2006,6,,1,,2,,7,,4,
RE05082,2818223,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49436,gnpis_pui:holding-921_taxon-4898_accession-49436,RE05082,VIRTUAL_TRIAL,,,,,,,,2006,"5,5",,3,,5,,2,,1,
DI06023,2818256,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48871,gnpis_pui:holding-921_taxon-4898_accession-48871,DI06023,VIRTUAL_TRIAL,,,,,,,,2006,5,,3,,5,,7,,6,
Apache,2818234,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,2006,2,,6,,NA,,6,,1,
RE05140,2818245,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49743,gnpis_pui:holding-921_taxon-4898_accession-49743,RE05140,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,3,,2,,3,,3,
DI06022,2818255,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49273,gnpis_pui:holding-921_taxon-4898_accession-49273,DI06022,VIRTUAL_TRIAL,,,,,,,,2006,6,,1,,5,,6,,4,
AO05002,2818230,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49364,https://doi.org/10.15454/DWZO1B,AO05002,VIRTUAL_TRIAL,,,,,,,,2006,"2,5",,3,,3,,6,,2,
EM05312,2818220,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48450,https://doi.org/10.15454/XWZ3V6,EM05312,VIRTUAL_TRIAL,,,,,,,,2006,3,,4,,2,,3,,1,
Charger,2818239,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,25584,https://doi.org/10.15454/0ALDQA,CHARGER,VIRTUAL_TRIAL,,,,,,,,2006,7,,4,,NA,,7,,1,
Caphorn,2818236,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,2006,"4,5",,6,,NA,,3,,4,
CF04214,2818244,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49393,https://doi.org/10.15454/RBB8O2,CF04214,VIRTUAL_TRIAL,,,,,,,,2006,"3,5",,6,,2,,8,,1,
CF05070,2818250,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49098,https://doi.org/10.15454/YQH6B1,CF05070,VIRTUAL_TRIAL,,,,,,,,2006,3,,4,,2,,6,,3,
CF05138,2818248,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49473,https://doi.org/10.15454/MHX4J5,CF05138,VIRTUAL_TRIAL,,,,,,,,2006,6,,4,,5,,6,,3,
RE05108,2818247,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,26835,https://doi.org/10.15454/FXNO6G,RE05108,VIRTUAL_TRIAL,,,,,,,,2006,4,,1,,2,,2,,3,
DI06019,2818242,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49334,https://doi.org/10.15454/YSUZEH,DI06019,VIRTUAL_TRIAL,,,,,,,,2006,6,,4,,5,,3,,1,
RE05006,2818219,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48730,https://doi.org/10.15454/5F0PDE,RE05006,VIRTUAL_TRIAL,,,,,,,,2006,5,,1,,5,,1,,1,
CF04046,2818240,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,26983,https://doi.org/10.15454/Z7JXFB,CF04046,VIRTUAL_TRIAL,,,,,,,,2006,"7,5",,4,,2,,3,,5,
RE05042,2818227,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48619,gnpis_pui:holding-921_taxon-4898_accession-48619,RE05042,VIRTUAL_TRIAL,,,,,,,,2006,3,,2,,2,,3,,1,
AO06801,2818231,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,49266,gnpis_pui:holding-921_taxon-4898_accession-49266,AO06801,VIRTUAL_TRIAL,,,,,,,,2006,"1,5",,3,,5,,7,,1,
Orvantis,2818249,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,25737,https://doi.org/10.15454/CYMFDY,ORVANTIS,VIRTUAL_TRIAL,,,,,,,,2006,7,,6,,NA,,8,,6,
DI06021,2818254,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48840,gnpis_pui:holding-921_taxon-4898_accession-48840,DI06021,VIRTUAL_TRIAL,,,,,,,,2006,"6,5",,4,,5,,6,,1,
EM05347,2818232,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48655,gnpis_pui:holding-921_taxon-4898_accession-48655,EM05347,VIRTUAL_TRIAL,,,,,,,,2006,3,,7,,5,,3,,1,
RE05075,2818246,BTH_Rennes_2006_SetB3_PIETIN-VERSE,BTH_Rennes_2006_SetB3_PIETIN-VERSE,48989,gnpis_pui:holding-921_taxon-4898_accession-48989,RE05075,VIRTUAL_TRIAL,,,,,,,,2006,"5,5",,7,,5,,2,,1,
