observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
1,2821456,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"50,42",,"10,73",,"72,4",,"109,2",
2,2821437,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"65,9",,"47,99",
1,2821434,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,49341,https://doi.org/10.15454/RKQK2G,CF05086,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"34,4",,"10,29",,"63,1",,"55,76",
2,2821453,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"46,51",,"9,37",,"71,5",,"77,21",
1,2821546,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,1,,,,,,REPLICATION:1,treated,2007,"48,7",,"10,64",,"72,8",,"103,38",
2,2821543,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"41,2",,"9,77",,68,,"71,88",
2,2821547,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,2,,,,,,REPLICATION:2,treated,2007,"49,18",,"10,01",,"69,7",,"104,11",
1,2821542,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"43,54",,"9,26",,"64,1",,"77,84",
1,2821578,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26977,https://doi.org/10.15454/RGT6YF,DI06007,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"43,04",,"9,5",,"73,6",,"81,65",
1,2821544,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"65,6",,"84,99",
2,2821455,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26968,https://doi.org/10.15454/3810GN,CF05162,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"69,6",,"77,83",
2,2821545,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,49473,https://doi.org/10.15454/MHX4J5,CF05138,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"66,5",,"78,24",
2,2821423,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"46,01",,"8,7",,"68,7",,"78,64",
2,2821389,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,2,,,,,,REPLICATION:2,"untreated, no fungicide",2007,,,,,"64,5",,"88,86",
2,2821387,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2007,"49,09",,"10,11",,"67,3",,"84,45",
1,2821386,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"47,84",,"10,65",,"66,9",,"86,28",
1,2821422,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26982,https://doi.org/10.15454/FCNCUR,AO06407,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2007,"45,11",,"8,59",,69,,"76,15",
1,2821388,BTH_Le_Moulon_2007_SetA2,BTH_Le_Moulon_2007_SetA2,26898,https://doi.org/10.15454/JQW74U,RE05005,REPLICATION,1,,,,,,REPLICATION:1,"untreated, no fungicide",2007,,,,,"61,1",,"95,2",
