observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Mendelitkfi,2823232,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,124,,"9,96",,"65,2",,"99,2",,"3,5",,"72,3",,1,,1,
Koreliitkt,2823221,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,"130,5",,"10,5",,"74,4",,"93,4",,,,"96,7",,,,1,
RE06055itkt,2823247,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,133,,"11,39",,"65,8",,101,,,,"104,6",,,,1,
RE06055itkfi,2823246,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"131,5",,"10,44",,"67,4",,"112,8",,1,,"82,2",,1,,1,
RE06023itkfi,2823256,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,85,,"127,5",,"10,06",,"71,6",,"109,2",,1,,"79,6",,1,,1,
RE06023itkt,2823257,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,treated,2007,90,,"129,5",,"10,98",,"72,8",,"105,5",,,,"109,2",,,,1,
RE06050itkfi,2823216,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"82,5",,"123,5",,"9,75",,"68,9",,"114,4",,2,,"83,3",,1,,1,
RE06050itkt,2823217,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"124,5",,"11,46",,"71,2",,101,,,,"104,5",,,,1,
CF06136itkfi,2823274,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,80,,123,,"9,02",,"69,1",,"111,4",,"3,5",,"81,2",,"2,5",,1,
CF06136itkt,2823275,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,123,,"10,67",,"70,4",,"103,5",,,,"107,1",,,,1,
CF06016itkfi,2823258,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"87,5",,"131,5",,"9,59",,"70,9",,"113,4",,1,,"82,6",,1,,1,
CF06016itkt,2823259,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27782,https://doi.org/10.15454/96DRU4,CF06016,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,"131,5",,"11,12",,"69,3",,"96,2",,,,"99,6",,,,1,
AO07210itkt,2823265,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,treated,2007,"77,5",,"120,5",,"11,54",,"68,8",,"105,1",,,,"108,8",,,,1,
AO07210itkfi,2823264,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27757,https://doi.org/10.15454/YPTSA5,AO07210,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,122,,"10,26",,"66,6",,"106,4",,3,,"77,5",,1,,"1,5",
RE06060itkt,2823263,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,treated,2007,"82,5",,"122,5",,"11,94",,"69,1",,"99,9",,,,"103,5",,,,1,
RE06060itkfi,2823262,BTH_Le_Moulon_2007_SetB1,BTH_Le_Moulon_2007_SetB1,27265,https://doi.org/10.15454/OLKQ99,RE06060,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"77,5",,122,,"9,94",,"67,3",,"111,6",,"2,5",,"81,3",,1,,1,
