observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE06055itkfi,2823833,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27829,https://doi.org/10.15454/NLT35T,RE06055,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"129,5",,"109,2",,2,,"73,2",,1,,1,
DI07004itkfi,2823813,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48946,gnpis_pui:holding-921_taxon-4898_accession-48946,DI07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"127,5",,"86,2",,3,,"57,8",,1,,1,
RE06023itkfi,2823838,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27827,https://doi.org/10.15454/B5PA3I,RE06023,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"127,5",,"112,7",,"1,5",,"75,5",,1,,4,
EM06029itkfi,2823827,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,49047,gnpis_pui:holding-921_taxon-4898_accession-49047,EM06029,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"127,5",,"107,1",,"3,5",,"71,8",,1,,1,
RE06048itkfi,2823806,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27264,https://doi.org/10.15454/ILREHV,RE06048,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,"123,5",,"121,9",,3,,"81,7",,1,,1,
RE06050itkfi,2823818,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27828,https://doi.org/10.15454/PRTXZC,RE06050,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,122,,"138,1",,"3,5",,"92,6",,1,,1,
CF06107itkfi,2823817,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27066,https://doi.org/10.15454/PVLGW3,CF06107,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,130,,"106,6",,2,,"71,5",,1,,1,
AO07127itkfi,2823824,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27756,https://doi.org/10.15454/PILE9C,AO07127,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,"118,5",,"126,2",,6,,"84,6",,1,,1,
CF06136itkfi,2823847,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,105,,119,,"111,4",,5,,"74,6",,1,,1,
EM06021itkfi,2823822,BTH_Rennes_2007_SetB1,BTH_Rennes_2007_SetB1,48827,gnpis_pui:holding-921_taxon-4898_accession-48827,EM06021,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"125,5",,"97,4",,8,,"65,2",,1,,1,
