observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2824366,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,131,,"11,89",,"73,6",,"105,9",,3,,"62,6",,1,,4,,"4,5",
Koreliitkt,2824367,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,"133,5",,"11,96",,75,,"104,3",,1,,"78,2",,,,4,,"5,5",
RE06068itkt,2824405,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,"135,5",,"11,42",,"70,4",,"97,8",,1,,"73,3",,,,"3,5",,6,
DI07010itkt,2824389,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49542,gnpis_pui:holding-921_taxon-4898_accession-49542,DI07010,VIRTUAL_TRIAL,,,,,,,,treated,2007,80,,133,,"13,25",,"67,5",,"86,6",,1,,"64,9",,,,4,,2,
CF06193itkt,2824393,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,treated,2007,"97,5",,135,,"12,7",,"72,2",,"94,4",,1,,"70,8",,,,3,,7,
RE06061itkt,2824415,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,treated,2007,95,,136,,"11,81",,69,,"103,4",,1,,"77,6",,,,3,,7,
RE06068itkfi,2824404,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49628,gnpis_pui:holding-921_taxon-4898_accession-49628,RE06068,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,"92,5",,"132,5",,"10,68",,"72,8",,"109,2",,1,,"64,5",,"5,5",,3,,"4,5",
CF06193itkfi,2824392,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27067,https://doi.org/10.15454/739FBM,CF06193,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,131,,"12,46",,"71,6",,"104,4",,1,,"61,6",,3,,4,,4,
CF06194itkfi,2824394,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49708,gnpis_pui:holding-921_taxon-4898_accession-49708,CF06194,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,"134,5",,"12,9",,66,,"86,1",,6,,"50,8",,1,,4,,5,
RE06061itkfi,2824414,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27831,https://doi.org/10.15454/BPSJCE,RE06061,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,100,,135,,"11,65",,67,,"111,6",,4,,"65,9",,1,,4,,"5,5",
CF06200itkt,2824379,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,48479,gnpis_pui:holding-921_taxon-4898_accession-48479,CF06200,VIRTUAL_TRIAL,,,,,,,,treated,2007,85,,128,,"14,49",,"70,8",,"99,2",,1,,"74,4",,,,3,,7,
EM06089itkt,2824363,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,27815,https://doi.org/10.15454/UZYTX5,EM06089,VIRTUAL_TRIAL,,,,,,,,treated,2007,"92,5",,131,,"12,36",,"72,8",,"101,6",,1,,"76,2",,,,3,,7,
RE06065itkfi,2824332,BTH_Estrées-Mons_2007_SetB2,BTH_Estrées-Mons_2007_SetB2,49641,gnpis_pui:holding-921_taxon-4898_accession-49641,RE06065,VIRTUAL_TRIAL,,,,,,,,low inputs,2007,95,,131,,"10,52",,"72,5",,"100,2",,1,,"59,2",,9,,1,,5,
