observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI06007itkfi,2828465,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,88,,"42,7",,142,,10,,"73,6",,"118,9",,1,,"94,6",,1,,1,,1,
Flamenkoitknt,2828418,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,90,,,,,,,,"75,6",,"112,6",,1,,"92,9",,1,,3,,1,
DI06007itknt,2828466,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,90,,,,,,,,NA,,"119,4",,1,,"98,5",,1,,1,,1,
AO07102itkt,2828389,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,27754,https://doi.org/10.15454/7MX1DM,AO07102,VIRTUAL_TRIAL,,,,,,,,treated,2008,100,,"44,6",,141,,"9,9",,"79,4",,"102,4",,,,"119,1",,,,,,5,
DI06007itkt,2828467,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,26977,https://doi.org/10.15454/RGT6YF,DI06007,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,"41,5",,143,,"11,32",,"77,4",,"97,1",,,,"112,9",,,,,,1,
AO07302itknt,2828373,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,90,,,,,,,,"74,9",,"105,8",,1,,"87,3",,1,,2,,1,
RE05074itknt,2828427,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,85,,,,,,,,"67,8",,109,,1,,"89,9",,1,,"3,5",,"1,5",
Koreliitknt,2828382,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2008,95,,,,,,,,"80,4",,"111,3",,"1,5",,"91,8",,1,,2,,"2,5",
RE05039itkt,2828395,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,27825,https://doi.org/10.15454/FYAJT8,RE05039,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,"55,3",,140,,"11,36",,"74,5",,"80,4",,,,"93,4",,,,,,9,
AO07302itkfi,2828372,BTH_Le_Moulon_2008_SetA1,BTH_Le_Moulon_2008_SetA1,27759,https://doi.org/10.15454/VOAXIV,AO07302,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,"47,6",,140,,"9,74",,"72,4",,"117,4",,1,,"93,4",,2,,"1,5",,1,
