observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
1,2828578,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27826,https://doi.org/10.15454/UVZHWO,RE05074,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,99",,"59,96",,4,,1,
2,2828549,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,7",,"81,15",,,,6,
1,2828548,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"14,66",,"71,85",,,,3,
2,2828547,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"13,09",,"67,54",,3,,1,
1,2828546,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"14,86",,"55,57",,3,,1,
2,2828483,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,28",,"71,42",,2,,1,
1,2828482,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,39",,"67,33",,2,,1,
2,2828485,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,88",,"94,88",,,,2,
1,2828484,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,93",,"91,76",,,,1,
2,2828569,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,63",,"90,34",,,,"4,5",
1,2828568,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,57",,"96,23",,,,1,
1,2828566,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,83",,"68,18",,"2,5",,1,
2,2828567,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,94",,"67,98",,5,,2,
1,2828524,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,64",,"92,7",,,,1,
2,2828523,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,87",,"78,46",,2,,1,
1,2828522,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,64",,"74,06",,2,,1,
2,2828525,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26974,https://doi.org/10.15454/BQTYVO,CF05161,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,85",,"82,41",,,,"3,5",
1,2828628,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,07",,"84,69",,,,1,
2,2828629,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,06",,"90,72",,,,2,
2,2828627,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"11,84",,"65,87",,"3,5",,1,
1,2828626,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,26988,https://doi.org/10.15454/FV0GUM,EM05230,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,85",,"64,7",,"2,5",,1,
1,2828614,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"11,82",,"60,02",,3,,1,
2,2828617,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"10,88",,"90,88",,,,4,
2,2828615,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2008,"12,74",,"63,16",,"5,5",,1,
1,2828616,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,27739,https://doi.org/10.15454/LFFVPX,KARILLON,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"11,8",,"88,44",,,,2,
1,2828570,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2008,"12,21",,"57,32",,"3,5",,1,
2,2828573,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,2,,,,,,REPLICATION:2,treated,2008,"12,79",,"75,03",,,,6,
1,2828572,BTH_Lusignan_2008_SetA1,BTH_Lusignan_2008_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,REPLICATION,1,,,,,,REPLICATION:1,treated,2008,"12,3",,"80,67",,,,"1,5",
