observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
RE07004itkt,2831755,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,96,,138,,"77,6",,"90,6",,"75,8",,"2,5",
CF07037itkt,2831763,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49370,gnpis_pui:holding-921_taxon-4898_accession-49370,CF07037,VIRTUAL_TRIAL,,,,,,,,treated,2008,95,,142,,"75,2",,"106,8",,"89,4",,1,
DI08006itkt,2831773,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49329,gnpis_pui:holding-921_taxon-4898_accession-49329,DI08006,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,144,,"78,3",,"103,1",,"86,4",,6,
Caphornitkt,2831767,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2008,86,,141,,"76,2",,"98,6",,"82,5",,"1,5",
RE07025itkt,2831775,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,142,,"77,8",,"87,7",,"73,4",,"2,5",
CF07008itkt,2831783,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,141,,"78,1",,"98,5",,"82,5",,1,
DI08004itkt,2831771,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48504,gnpis_pui:holding-921_taxon-4898_accession-48504,DI08004,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,148,,"77,7",,"98,7",,"82,7",,"2,5",
AO08202itkt,2831779,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49578,gnpis_pui:holding-921_taxon-4898_accession-49578,AO08202,VIRTUAL_TRIAL,,,,,,,,treated,2008,80,,137,,"72,7",,"103,5",,"86,7",,1,
RE07002itkt,2831778,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48879,gnpis_pui:holding-921_taxon-4898_accession-48879,RE07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,141,,"79,1",,"95,3",,"79,8",,3,
DI08001itkt,2831768,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49581,gnpis_pui:holding-921_taxon-4898_accession-49581,DI08001,VIRTUAL_TRIAL,,,,,,,,treated,2008,89,,140,,"76,4",,"84,2",,"70,5",,4,
AO08112itkt,2831760,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,141,,"76,4",,"103,9",,87,,4,
CF07002itkt,2831782,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,142,,"78,4",,"101,4",,"84,9",,3,
DI08005itkt,2831772,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49067,gnpis_pui:holding-921_taxon-4898_accession-49067,DI08005,VIRTUAL_TRIAL,,,,,,,,treated,2008,93,,144,,"79,5",,"98,6",,"82,5",,4,
EM07186itkt,2831748,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48691,gnpis_pui:holding-921_taxon-4898_accession-48691,EM07186,VIRTUAL_TRIAL,,,,,,,,treated,2008,82,,138,,"79,6",,"93,1",,78,,"1,5",
RE07005itkt,2831746,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48692,gnpis_pui:holding-921_taxon-4898_accession-48692,RE07005,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,139,,"77,4",,92,,77,,"3,5",
EM07085itkt,2831750,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49461,gnpis_pui:holding-921_taxon-4898_accession-49461,EM07085,VIRTUAL_TRIAL,,,,,,,,treated,2008,91,,140,,"76,8",,"85,4",,"71,5",,1,
CF07021itkt,2831780,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27789,https://doi.org/10.15454/BTYEVM,CF07021,VIRTUAL_TRIAL,,,,,,,,treated,2008,98,,143,,"77,4",,"98,6",,"82,5",,"1,5",
CF07057itkt,2831765,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48970,gnpis_pui:holding-921_taxon-4898_accession-48970,CF07057,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,140,,"78,4",,"94,2",,"78,9",,2,
DI08002itkt,2831769,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49435,gnpis_pui:holding-921_taxon-4898_accession-49435,DI08002,VIRTUAL_TRIAL,,,,,,,,treated,2008,100,,140,,"80,6",,"103,3",,"86,5",,5,
AO08107itkt,2831777,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27768,https://doi.org/10.15454/BQBT4V,AO08107,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,141,,"74,4",,"105,2",,88,,"1,5",
CF07018itkt,2831764,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27788,https://doi.org/10.15454/72PHHY,CF07018,VIRTUAL_TRIAL,,,,,,,,treated,2008,94,,146,,"77,5",,"111,4",,"93,2",,4,
Sankaraitkt,2831766,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,145,,"76,4",,"96,5",,"80,8",,4,
DI08003itkt,2831770,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48341,gnpis_pui:holding-921_taxon-4898_accession-48341,DI08003,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,141,,"80,1",,"97,8",,"81,9",,"2,5",
RE07015itkt,2831754,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48361,gnpis_pui:holding-921_taxon-4898_accession-48361,RE07015,VIRTUAL_TRIAL,,,,,,,,treated,2008,74,,144,,"70,8",,"66,4",,"55,5",,1,
Toisondoritkt,2831759,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2008,78,,144,,"77,6",,"106,5",,"89,2",,1,
RE07019itkt,2831757,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2008,89,,142,,"80,2",,"101,5",,"84,9",,5,
RE07017itkt,2831756,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,49619,gnpis_pui:holding-921_taxon-4898_accession-49619,RE07017,VIRTUAL_TRIAL,,,,,,,,treated,2008,90,,141,,78,,"86,5",,"72,4",,6,
RE07006itkt,2831776,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,48418,gnpis_pui:holding-921_taxon-4898_accession-48418,RE07006,VIRTUAL_TRIAL,,,,,,,,treated,2008,92,,139,,"79,2",,"89,4",,"74,8",,5,
RE07012itkt,2831752,BTH_Dijon_2008_SetB1,BTH_Dijon_2008_SetB1,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2008,88,,140,,"76,4",,"81,8",,"68,5",,8,
