observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08011itkfi,2833916,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,90,,1,,134,,"114,8",,1,,"74,2",,1,,1,
DI08014itkfi,2833918,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49513,gnpis_pui:holding-921_taxon-4898_accession-49513,DI08014,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,80,,1,,140,,"83,9",,1,,"54,3",,1,,1,
Koreliitkfi,2833926,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,105,,1,,140,,"123,3",,1,,"79,7",,1,,1,
CF07098itkfi,2833922,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49624,gnpis_pui:holding-921_taxon-4898_accession-49624,CF07098,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,105,,1,,135,,"126,7",,1,,"81,9",,1,,1,
CF07143itkfi,2833939,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,110,,1,,135,,"114,9",,1,,"74,3",,1,,1,
RE07083itkfi,2833946,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,1,,128,,"114,6",,1,,"74,1",,1,,2,
RE07075itkfi,2833945,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49516,gnpis_pui:holding-921_taxon-4898_accession-49516,RE07075,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,6,,131,,"102,1",,1,,66,,1,,1,
RE07071itkfi,2833914,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49005,gnpis_pui:holding-921_taxon-4898_accession-49005,RE07071,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,1,,132,,"122,2",,1,,79,,1,,1,
CF07097itkfi,2833925,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,1,,138,,"125,4",,1,,"81,1",,1,,1,
CF07193itkfi,2833924,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,27793,https://doi.org/10.15454/0F480I,CF07193,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,98,,1,,140,,"111,6",,1,,"72,1",,1,,1,
DI08009itkfi,2833937,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48494,gnpis_pui:holding-921_taxon-4898_accession-48494,DI08009,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,1,,135,,"112,3",,1,,"72,6",,1,,1,
Apacheitkfi,2833928,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,1,,131,,"88,7",,3,,"57,4",,1,,1,
AO08337itkfi,2833919,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,49535,gnpis_pui:holding-921_taxon-4898_accession-49535,AO08337,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,4,,126,,"87,8",,"3,5",,"56,8",,1,,1,
RE07040itkfi,2833920,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,1,,137,,"136,6",,1,,"88,4",,1,,1,
RE07045itkfi,2833942,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48757,gnpis_pui:holding-921_taxon-4898_accession-48757,RE07045,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,100,,2,,140,,"107,7",,1,,"69,6",,1,,1,
Premioitkfi,2833912,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,4,,131,,114,,1,,"73,8",,1,,1,
EM07246itkfi,2833913,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48496,gnpis_pui:holding-921_taxon-4898_accession-48496,EM07246,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,85,,4,,130,,"100,4",,1,,"64,9",,1,,1,
RE07028itkfi,2833935,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48952,gnpis_pui:holding-921_taxon-4898_accession-48952,RE07028,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,4,,132,,"83,3",,1,,"53,9",,1,,1,
CF07080itkfi,2833944,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48671,gnpis_pui:holding-921_taxon-4898_accession-48671,CF07080,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,92,,1,,135,,"113,1",,1,,"73,1",,1,,1,
AO08511itkfi,2833934,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,48515,gnpis_pui:holding-921_taxon-4898_accession-48515,AO08511,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,80,,1,,129,,"68,9",,1,,"44,6",,4,,1,
Sankaraitkfi,2833932,BTH_Rennes_2008_SetB2,BTH_Rennes_2008_SetB2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,95,,1,,140,,"105,8",,2,,"68,4",,1,,1,
