observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Koreliitkfi,2834394,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,"97,5",,"145,5",,"10,32",,"105,8",,83,,2,,"2,5",,1,
CF07267itkt,2834437,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,144,,"10,14",,"91,7",,"93,9",,,,,,1,
Sankaraitkt,2834417,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,86,,"146,5",,"11,27",,"95,2",,"97,6",,,,,,1,
Sankaraitkfi,2834416,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,2,,86,,"146,5",,"11,26",,"93,4",,"73,3",,3,,3,,1,
Mendelitkfi,2834404,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"3,5",,85,,140,,"10,38",,101,,"79,2",,4,,4,,1,
Mendelitkt,2834405,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,26120,https://doi.org/10.15454/TNI3IW,MENDEL,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"82,5",,140,,"10,91",,103,,"105,6",,,,,,1,
CF07208itkt,2834435,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,49017,gnpis_pui:holding-921_taxon-4898_accession-49017,CF07208,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,144,,"10,71",,"97,6",,100,,,,,,1,
RE07113itkt,2834389,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48963,gnpis_pui:holding-921_taxon-4898_accession-48963,RE07113,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,84,,"146,5",,"10,52",,"90,3",,"92,6",,,,,,1,
RE07114itkfi,2834380,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,low inputs,2008,"2,5",,91,,"144,5",,11,,105,,"82,4",,2,,"2,5",,1,
CF07259itkt,2834401,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,48398,gnpis_pui:holding-921_taxon-4898_accession-48398,CF07259,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"83,5",,144,,"10,14",,"89,5",,"91,7",,,,,,1,
RE07114itkt,2834381,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27270,https://doi.org/10.15454/JKW4SM,RE07114,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"87,5",,144,,"11,12",,"90,7",,"92,9",,,,,,1,
RE07093itkt,2834409,BTH_Estrées-Mons_2008_SetB3,BTH_Estrées-Mons_2008_SetB3,27307,https://doi.org/10.15454/CSESMY,RE07093,VIRTUAL_TRIAL,,,,,,,,treated,2008,,,"83,5",,141,,"10,62",,"94,9",,"97,3",,,,,,1,
