observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,volL(CO_321:1000245),volL(CO_321:1000245).date,vp(CO_321:1000225),vp(CO_321:1000225).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08011itkt,2835318,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"33,5",,NA,,"92,5",,NA,,226,,NA,,NA,,NA,,67,,325,,"11,7",,"81,5",,NA,,1400,,"2,54",,NA,
HadmF276itkt,2835278,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2008,"15,4",,48,,100,,NA,,48,,NA,,84,,NA,,232,,NA,,100,,"2,08",,185,,65,,342,,"11,3",,NA,,1610,,NA,,"1,96",,36,
RE07004itkt,2835306,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,97,,NA,,35,,NA,,"86,63",,NA,,"218,63",,NA,,NA,,NA,,65,,404,,"13,5",,"80,8",,NA,,1500,,"1,99",,NA,
Barokitkt,2835276,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,5",,85,,91,,NA,,42,,NA,,79,,NA,,212,,NA,,71,,"0,84",,170,,"78,5",,399,,"11,5",,"80,9",,1483,,NA,,"2,17",,58,
RE07083itkt,2835326,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"45,75",,NA,,91,,NA,,"236,75",,NA,,NA,,NA,,22,,340,,11,,"79,5",,NA,,1350,,"2,13",,NA,
RE07025itkt,2835307,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27835,https://doi.org/10.15454/GZMJBE,RE07025,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,54,,NA,,"79,63",,NA,,"233,63",,NA,,NA,,NA,,72,,307,,"12,4",,"80,9",,NA,,1400,,"1,54",,NA,
CF07097itkt,2835293,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27791,https://doi.org/10.15454/VCEDFU,CF07097,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"48,75",,NA,,"85,5",,NA,,"234,25",,NA,,NA,,NA,,20,,310,,"11,3",,"80,4",,NA,,1450,,"2,54",,NA,
CF05173itkt,2835311,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,26980,https://doi.org/10.15454/RUE1SF,CF05173,VIRTUAL_TRIAL,,,,,,,,treated,2008,"20,3",,84,,97,,NA,,32,,NA,,95,,NA,,224,,NA,,77,,"0,93",,231,,"23,5",,331,,"12,2",,NA,,1503,,NA,,"2,74",,34,
CF05079itkt,2835304,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,26976,https://doi.org/10.15454/YDUNWW,CF05079,VIRTUAL_TRIAL,,,,,,,,treated,2008,19,,73,,97,,NA,,81,,NA,,81,,NA,,259,,NA,,113,,"1,55",,304,,75,,337,,"11,55",,NA,,1913,,NA,,"2,49",,44,
CF07008itkt,2835330,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27787,https://doi.org/10.15454/SLLTW8,CF07008,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"26,6",,NA,,"75,38",,NA,,"201,98",,NA,,NA,,NA,,38,,304,,"12,1",,"81,6",,NA,,1220,,"2,73",,NA,
AO08112itkt,2835291,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27769,https://doi.org/10.15454/IR0FDN,AO08112,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,94,,NA,,"28,25",,NA,,"83,25",,NA,,"205,5",,NA,,NA,,NA,,70,,255,,"9,8",,"78,3",,NA,,1090,,"2,56",,NA,
CF06136itkt,2835329,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27783,https://doi.org/10.15454/S3WW0P,CF06136,VIRTUAL_TRIAL,,,,,,,,treated,2008,"17,2",,60,,94,,NA,,44,,NA,,55,,NA,,193,,NA,,83,,"1,38",,167,,"68,5",,199,,"11,05",,NA,,1525,,NA,,"3,26",,32,
CF07002itkt,2835325,BTH_Estrées-Mons_2008_TECH,BTH_Estrées-Mons_2008_TECH,27786,https://doi.org/10.15454/I30U5V,CF07002,VIRTUAL_TRIAL,,,,,,,,treated,2008,NA,,NA,,NA,,100,,NA,,"57,75",,NA,,"88,5",,NA,,"246,25",,NA,,NA,,NA,,70,,327,,"11,5",,82,,NA,,1600,,"2,14",,NA,
