observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkfi,2837196,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,78,,48,,142,,"8,04",,"70,9",,"121,8",,"73,2",
DI08019-2itkt,2837198,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"47,6",,142,,"8,64",,"76,4",,"106,6",,"99,7",
Caphornitknt,2837239,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,84,,,,141,,,,"69,9",,103,,"82,8",
Toisondoritkt,2837186,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,72,,"43,5",,144,,"8,52",,"72,8",,"96,4",,"90,2",
DI08019-2itknt,2837197,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,142,,,,"72,9",,"124,4",,100,
Toisondoritkfi,2837184,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,65,,"43,1",,144,,"8,04",,70,,"105,7",,"63,5",
Folkloritkt,2837189,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2009,92,,"49,8",,144,,"9,39",,74,,106,,"99,2",
HadmF276itknt,2837230,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,82,,,,142,,,,"73,9",,"111,2",,"89,4",
HadmF276itkt,2837231,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,"52,4",,142,,"9,09",,"76,4",,"99,5",,"93,1",
Folkloritknt,2837188,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,95,,,,144,,,,"70,8",,"117,9",,"94,8",
EM06110itkfi,2837289,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27817,https://doi.org/10.15454/KG1VPB,EM06110,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"51,1",,140,,"8,86",,"71,4",,98,,"58,8",
Folkloritkfi,2837187,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,85,,"51,8",,146,,"8,15",,"70,1",,"119,6",,"71,9",
HadmF276itkfi,2837229,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,75,,"53,7",,142,,"8,5",,"71,3",,"109,8",,"65,9",
DI07001-2itknt,2837215,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,48645,gnpis_pui:holding-921_taxon-4898_accession-48645,DI07001-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,80,,,,140,,,,"71,9",,"98,8",,"79,4",
EM06229itkt,2837225,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,27818,https://doi.org/10.15454/VSKKHS,EM06229,VIRTUAL_TRIAL,,,,,,,,treated,2009,80,,48,,139,,"9,82",,"75,3",,"91,1",,"85,2",
Koreliitkt,2837222,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2009,88,,"49,2",,144,,"9,37",,"78,2",,"92,8",,"86,9",
Koreliitknt,2837221,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,90,,,,144,,,,"76,4",,"106,6",,"85,7",
Koreliitkfi,2837220,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,82,,"51,2",,146,,"9,54",,"77,5",,109,,"65,5",
Flamenkoitkt,2837249,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2009,90,,"48,6",,140,,"9,06",,"74,7",,"104,4",,"97,7",
Flamenkoitknt,2837248,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,88,,,,140,,,,"74,2",,"112,8",,"90,7",
Flamenkoitkfi,2837247,BTH_Le_Moulon_2009_SetA1,BTH_Le_Moulon_2009_SetA1,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,80,,"52,8",,140,,"8,34",,"73,5",,"115,7",,"69,5",
