observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08011itkt,2838406,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"10,98",,"76,4",,97,,,,"96,1",
DI08011itkfi,2838405,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,142,,"10,42",,"76,7",,"99,6",,2,,"88,1",
Sankaraitkt,2838388,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"10,84",,"72,5",,"94,8",,,,"93,8",
CF07143itkt,2838392,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"11,06",,"80,4",,"101,2",,,,"100,2",
AO09003itkfi,2838353,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,138,,"10,91",,"74,4",,"89,5",,2,,"79,2",
RE07012itkt,2838352,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,"12,08",,"78,4",,"95,8",,,,"94,8",
RE07004itkt,2838400,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2009,141,,"12,44",,"77,5",,"82,7",,,,"81,9",
AO09006itkfi,2838359,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27775,https://doi.org/10.15454/WU0VNG,AO09006,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,140,,"10,8",,"76,7",,"87,5",,2,,"77,4",
RE07004itkfi,2838399,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,140,,"12,16",,"76,7",,"86,1",,1,,"76,1",
Sankaraitkfi,2838387,BTH_Clermont-Ferrand_2009_SetA2,BTH_Clermont-Ferrand_2009_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,146,,"10,78",,"72,4",,"96,7",,1,,"85,6",
