observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08011itkt,2839039,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2009,"13,52",,"101,4",,"116,9",
DI08011itkfi,2839037,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,14",,"100,2",,"83,4",
DI08011itknt,2839038,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"95,5",,"89,7",
AO09006itknt,2838969,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27775,https://doi.org/10.15454/WU0VNG,AO09006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"90,4",,"84,9",
RE07089itknt,2839047,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,48646,https://doi.org/10.15454/TXCHAY,RE07089,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"102,2",,"95,9",
RE07012itknt,2838957,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27269,https://doi.org/10.15454/N0JGJL,RE07012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"101,5",,"95,3",
CF07311itkt,2838994,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,2",,"87,5",,101,
RE07004itknt,2839029,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"98,1",,"92,1",
RE07004itkfi,2839028,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"15,66",,"98,7",,"82,2",
AO09003itkt,2838961,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,66",,93,,"107,3",
RE07004itkt,2839030,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27843,https://doi.org/10.15454/KB5WU7,RE07004,VIRTUAL_TRIAL,,,,,,,,treated,2009,"15,47",,"87,5",,"100,9",
CF07311itknt,2838993,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"103,2",,"96,9",
RE07040itknt,2839041,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"103,7",,"97,4",
Sankaraitkt,2839012,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,26123,https://doi.org/10.15454/R5VJW6,SANKARA,VIRTUAL_TRIAL,,,,,,,,treated,2009,"13,64",,"100,8",,"116,2",
RE07083itkt,2839057,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,treated,2009,"14,1",,"98,8",,"113,9",
AO09003itknt,2838960,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"94,5",,"88,7",
AO09003itkfi,2838959,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27772,https://doi.org/10.15454/OARDBZ,AO09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,28",,"99,1",,"82,5",
CF07311itkfi,2838992,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27837,https://doi.org/10.15454/CYACZC,CF07311,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,86",,"103,6",,"86,3",
RE07083itkfi,2839055,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,low inputs,2009,"13,14",,"107,7",,"89,7",
CF07267itkt,2839045,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27794,https://doi.org/10.15454/LNBBQV,CF07267,VIRTUAL_TRIAL,,,,,,,,treated,2009,"13,59",,99,,"114,2",
RE07083itknt,2839056,BTH_Estrées-Mons_2009_SetA2,BTH_Estrées-Mons_2009_SetA2,27836,https://doi.org/10.15454/RTDUJV,RE07083,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2009,,,"96,3",,"90,4",
