observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
CF07261itkt,2841623,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61122,https://doi.org/10.15454/BSBAJR,CF07261,VIRTUAL_TRIAL,,,,,,,,treated,2009,142,,80,,"104,3",,"102,4",
RE08038itkt,2841605,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61373,https://doi.org/10.15454/EQRWYJ,RE08038,VIRTUAL_TRIAL,,,,,,,,treated,2009,147,,"74,4",,"79,8",,"78,4",
RE08029itkt,2841622,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61199,https://doi.org/10.15454/FKXNNO,RE08029,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,81,,"84,7",,"83,1",
Premioitkt,2841598,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"78,5",,"104,3",,"102,4",
CF08084itkt,2841615,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27798,https://doi.org/10.15454/XZ94CU,CF08084,VIRTUAL_TRIAL,,,,,,,,treated,2009,149,,"70,4",,"103,2",,"101,3",
CF08066itkt,2841602,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61240,https://doi.org/10.15454/I7RHV6,CF08066,VIRTUAL_TRIAL,,,,,,,,treated,2009,146,,"75,8",,"85,4",,"83,8",
AO09019itkt,2841613,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27901,https://doi.org/10.15454/S65MX6,AO09019,VIRTUAL_TRIAL,,,,,,,,treated,2009,141,,"77,8",,"90,4",,"88,7",
Caphornitkt,2841609,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2009,143,,"75,3",,"99,3",,"97,5",
DI09013itkt,2841627,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,61647,https://doi.org/10.15454/VYSZ9T,DI09013,VIRTUAL_TRIAL,,,,,,,,treated,2009,148,,"76,5",,"90,2",,"88,6",
CF08109itkt,2841620,BTH_Clermont-Ferrand_2009_SetB2,BTH_Clermont-Ferrand_2009_SetB2,27799,https://doi.org/10.15454/G9QV0Y,CF08109,VIRTUAL_TRIAL,,,,,,,,treated,2009,145,,"73,2",,"107,1",,"105,2",
