observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
DI08019-2itkfi,2844705,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,142,,"8,75",,"80,6",,"106,4",,,,"90,7",
DI08019-2itkt,2844706,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,141,,"9,22",,81,,"103,6",,1,,"101,1",
AO10003itkfi,2844735,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,48956,https://doi.org/10.15454/IJIMQX,AO10003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,142,,"8,97",,83,,"100,1",,,,"85,3",
Folkloritkt,2844700,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,142,,"10,04",,"78,8",,"110,8",,1,,"108,2",
AO10004itkt,2844742,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,144,,"10,09",,"84,4",,"99,8",,5,,"97,4",
HadmF11383itkfi,2844715,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,140,,"8,66",,"78,6",,"98,5",,,,"83,9",
AO10004itkfi,2844741,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,48616,https://doi.org/10.15454/HDFKTU,AO10004,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,145,,"9,15",,"84,2",,"98,7",,,,"84,1",
HadmF11383itkt,2844716,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,142,,"10,72",,"79,1",,"103,2",,1,,"100,8",
Folkloritkfi,2844699,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,142,,"9,12",,"78,4",,107,,,,"91,2",
DI08011itkt,2844704,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,136,,"11,48",,"77,1",,"94,6",,1,,"92,4",
DI08011itkfi,2844703,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27807,https://doi.org/10.15454/E8FP9Y,DI08011,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,136,,"10,07",,"76,2",,"94,5",,,,"80,5",
RE07040itkt,2844758,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,142,,"11,1",,"80,6",,"90,6",,1,,"88,4",
Bermudeitkt,2844708,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2010,3,,141,,"9,78",,"79,2",,"103,3",,5,,"100,9",
Musikitkt,2844712,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,136,,"10,76",,"76,5",,"95,5",,1,,"93,2",
Soissonsitkfi,2844761,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,132,,"10,4",,"82,8",,"94,6",,,,"80,6",
Soissonsitkt,2844762,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,132,,"11,58",,"83,8",,91,,5,,"88,8",
Hadm01221-04itkt,2844694,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2010,4,,143,,"9,78",,"74,8",,"98,4",,1,,96,
RE07040itkfi,2844757,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27306,https://doi.org/10.15454/LF7SKR,RE07040,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,1,,141,,"10,32",,"80,7",,"83,3",,,,71,
Premioitkfi,2844697,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,3,,139,,"9,56",,"79,3",,"99,9",,,,"85,2",
CF07143itkt,2844750,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27792,https://doi.org/10.15454/NZODZY,CF07143,VIRTUAL_TRIAL,,,,,,,,treated,2010,1,,142,,"11,16",,"81,2",,97,,1,,"94,7",
Hadm01221-04itkfi,2844693,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,4,,142,,"9,26",,"76,4",,"98,6",,,,84,
Musikitkfi,2844711,BTH_Clermont-Ferrand_2010_SetA1,BTH_Clermont-Ferrand_2010_SetA1,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,2,,136,,"10,62",,"76,3",,"97,3",,,,"82,9",
