observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Attlassitkfi,2849539,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,1,,148,,"9,2",,"80,6",,"97,8",,1,,"99,7",,"4,5",
EM09015itkt,2849496,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,64,,,,145,,"10,14",,"81,5",,"96,7",,,,"107,8",,1,
EM09015itkfi,2849495,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,82,,"1,5",,145,,"9,66",,"79,2",,"88,8",,"2,5",,"90,5",,1,
Koreliitkfi,2849507,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,150,,"10,37",,"83,6",,"100,7",,"1,5",,"102,6",,1,
Koreliitkt,2849508,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"9,99",,"84,4",,"97,5",,,,"108,7",,"2,5",
CF09117itkfi,2849503,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,90,,"1,5",,144,,"11,14",,79,,"96,3",,"1,5",,"98,2",,"2,5",
CF09117itkt,2849504,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,145,,"11,45",,"80,8",,"93,8",,,,"104,6",,1,
RE09002itkt,2849518,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,VIRTUAL_TRIAL,,,,,,,,treated,2010,82,,,,150,,"11,06",,"79,8",,"89,1",,,,"99,4",,1,
RE09002itkfi,2849517,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49618,https://doi.org/10.15454/L6UK54,RE09002,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,92,,1,,147,,"10,68",,"79,6",,"89,7",,1,,"91,4",,"4,5",
RE09010itkfi,2849491,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,94,,"1,5",,150,,"10,3",,"73,4",,"93,2",,"1,5",,95,,1,
RE09010itkt,2849492,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48540,https://doi.org/10.15454/82RKSJ,RE09010,VIRTUAL_TRIAL,,,,,,,,treated,2010,84,,,,150,,"10,6",,"73,8",,"93,6",,,,"104,4",,2,
Premioitkfi,2849485,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,77,,1,,144,,"9,77",,"80,4",,"100,3",,1,,"102,2",,"4,5",
Premioitkt,2849486,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,treated,2010,74,,,,144,,"10,58",,"80,9",,101,,,,"112,6",,1,
RE09009itkfi,2849521,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,86,,1,,149,,"9,66",,"77,8",,93,,1,,"94,8",,"1,5",
RE09009itkt,2849522,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,150,,"11,55",,"77,2",,92,,,,"102,6",,1,
EM09003itkfi,2849489,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,88,,1,,145,,"9,29",,"79,9",,"95,9",,"2,5",,"97,8",,1,
EM09003itkt,2849490,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2010,78,,,,148,,"9,8",,"81,2",,"102,1",,,,"113,8",,1,
EM09021itkt,2849484,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,VIRTUAL_TRIAL,,,,,,,,treated,2010,76,,,,139,,"10,64",,"81,1",,"96,4",,,,"107,5",,1,
EM09021itkfi,2849483,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,48576,gnpis_pui:holding-921_taxon-4898_accession-48576,EM09021,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,84,,"1,5",,139,,"9,16",,"81,2",,99,,4,,"100,9",,"1,5",
CF09077itkt,2849516,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,VIRTUAL_TRIAL,,,,,,,,treated,2010,70,,,,144,,"11,13",,"82,6",,"93,5",,,,"104,2",,1,
CF09077itkfi,2849515,BTH_Le_Moulon_2010_SetB1,BTH_Le_Moulon_2010_SetB1,49152,gnpis_pui:holding-921_taxon-4898_accession-49152,CF09077,VIRTUAL_TRIAL,,,,,,,,low inputs,2010,80,,"1,5",,144,,"10,84",,"82,2",,91,,"1,5",,"92,8",,1,
