observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2852719,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
EM09015itkt,2852748,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,4",,76,,88,,61,,76,,225,,95,,"1,25",,209,,90,,NA,,"11,6",,"83,3",,1690,,NA,
HadmF11383itkt,2852724,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,treated,2010,"13,4",,36,,94,,73,,78,,245,,110,,"3,06",,167,,90,,400,,"12,3",,NA,,1713,,"33,5",
DI10006itkt,2852739,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,8",,79,,94,,64,,81,,239,,67,,"0,85",,163,,103,,NA,,"11,3",,"80,4",,1828,,NA,
DI10007itkt,2852772,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2010,13,,34,,88,,48,,76,,212,,124,,"3,65",,181,,94,,NA,,"11,4",,83,,1420,,NA,
DI10015itkt,2852718,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,6",,112,,88,,49,,75,,212,,48,,"0,43",,148,,17,,NA,,11,,"78,7",,1675,,NA,
RE09055itkt,2852745,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2010,"21,2",,91,,88,,55,,84,,227,,54,,"0,59",,153,,33,,NA,,"11,1",,"76,9",,1690,,NA,
Hadm01221-04itkt,2852736,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
HadmF276itkt,2852710,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,1",,40,,100,,"78,4",,83,,"261,4",,107,,"2,67",,179,,80,,400,,"11,7",,NA,,1669,,33,
Barokitkt,2852706,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,treated,2010,20,,81,,100,,"68,4",,72,,"240,4",,92,,"1,14",,232,,63,,426,,"12,2",,NA,,1755,,40,
CF09182itkt,2852731,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48586,https://doi.org/10.15454/TEBGJY,CF09182,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,5",,69,,94,,79,,94,,267,,85,,"1,23",,208,,79,,NA,,"11,3",,"81,1",,1818,,NA,
CF09117itkt,2852767,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2010,"25,2",,128,,97,,58,,78,,233,,90,,"0,7",,382,,83,,NA,,"12,9",,"81,7",,1885,,NA,
CF09225itkt,2852761,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48451,https://doi.org/10.15454/L5GF1L,CF09225,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,4",,76,,94,,80,,80,,254,,88,,"1,16",,241,,100,,NA,,"11,4",,83,,1678,,NA,
CF09227itkt,2852773,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,1",,66,,85,,61,,81,,227,,107,,"1,62",,264,,98,,NA,,"11,2",,"82,6",,1615,,NA,
CF09176itkt,2852751,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49359,https://doi.org/10.15454/HRZCLT,CF09176,VIRTUAL_TRIAL,,,,,,,,treated,2010,20,,81,,88,,79,,81,,248,,88,,"1,09",,247,,94,,NA,,"11,7",,"79,5",,1820,,NA,
CF09276itkt,2852730,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48805,https://doi.org/10.15454/XQX8MF,CF09276,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,1",,74,,94,,79,,83,,256,,115,,"1,55",,309,,95,,NA,,"12,2",,"79,3",,1938,,NA,
EM08231itkt,2852717,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49158,https://doi.org/10.15454/UFYMWM,EM08231,VIRTUAL_TRIAL,,,,,,,,treated,2010,"20,5",,85,,94,,59,,62,,215,,44,,"0,52",,101,,35,,NA,,"11,1",,"79,8",,1833,,NA,
DI09006itkt,2852737,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27810,https://doi.org/10.15454/ADDONA,DI09006,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,3",,76,,88,,40,,55,,183,,46,,"0,61",,101,,21,,375,,"10,7",,NA,,1685,,15,
RE07019itkt,2852720,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27305,https://doi.org/10.15454/OPZZGX,RE07019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,4",,48,,79,,9,,47,,135,,107,,"2,23",,220,,"76,5",,403,,"11,9",,NA,,1160,,30,
Folkloritkt,2852716,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"13,5",,37,,97,,"59,3",,84,,"240,3",,118,,"3,19",,186,,91,,408,,"12,2",,NA,,1543,,32,
RE09063itkt,2852732,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48542,https://doi.org/10.15454/XWSV3O,RE09063,VIRTUAL_TRIAL,,,,,,,,treated,2010,19,,73,,94,,76,,94,,264,,67,,"0,92",,166,,97,,NA,,"11,2",,"79,6",,1695,,NA,
RE09079itkt,2852713,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49050,https://doi.org/10.15454/6F6EN3,RE09079,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,5",,55,,94,,58,,69,,221,,70,,"1,27",,132,,79,,NA,,"11,1",,"77,1",,1630,,NA,
RE09009itkt,2852743,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49096,https://doi.org/10.15454/PSFHWC,RE09009,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,8",,79,,94,,63,,91,,248,,79,,1,,218,,39,,NA,,"12,1",,"79,4",,1693,,NA,
EM09003itkt,2852715,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49087,https://doi.org/10.15454/53EBXZ,EM09003,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,5",,77,,88,,70,,85,,243,,102,,"1,32",,253,,98,,NA,,"12,1",,"81,8",,1495,,NA,
RE09073itkt,2852740,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49428,https://doi.org/10.15454/MX3ENS,RE09073,VIRTUAL_TRIAL,,,,,,,,treated,2010,"23,2",,109,,94,,82,,93,,269,,61,,"0,56",,206,,47,,NA,,"11,7",,"77,4",,1835,,NA,
EM08019itkt,2852754,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,49300,https://doi.org/10.15454/TFJQEJ,EM08019,VIRTUAL_TRIAL,,,,,,,,treated,2010,"15,4",,48,,85,,43,,78,,206,,98,,"2,04",,175,,"69,5",,382,,"11,7",,NA,,1450,,26,
DI10001itkt,2852749,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,48633,gnpis_pui:holding-921_taxon-4898_accession-48633,DI10001,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,5",,69,,94,,80,,80,,254,,116,,"1,68",,308,,81,,NA,,"12,2",,"81,9",,1723,,NA,
Apacheitkt,2852734,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Toisondoritkt,2852726,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,26124,https://doi.org/10.15454/S7WZIM,TOISONDOR,VIRTUAL_TRIAL,,,,,,,,treated,2010,"13,5",,37,,73,,19,,52,,144,,87,,"2,35",,143,,"79,5",,397,,"12,1",,NA,,1065,,"28,5",
Flamenkoitkt,2852747,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Lyrikitkt,2852771,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"18,4",,69,,100,,"79,1",,99,,"278,1",,102,,"1,5",,256,,"57,5",,387,,"11,2",,NA,,1681,,39,
Musikitkt,2852722,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27738,https://doi.org/10.15454/JP9LCI,MUSIK,VIRTUAL_TRIAL,,,,,,,,treated,2010,"19,5",,77,,97,,"69,8",,93,,"259,8",,108,,"1,4",,283,,"58,5",,432,,"12,5",,NA,,1615,,44,
Karillonitkt,2852764,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27739,https://doi.org/10.15454/LFFVPX,KARILLON,VIRTUAL_TRIAL,,,,,,,,treated,2010,"14,3",,41,,88,,"47,9",,80,,"215,9",,108,,"2,63",,170,,80,,387,,"11,3",,NA,,1518,,30,
Ghaytaitkt,2852760,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
CF08027itkt,2852774,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2010,"16,8",,57,,100,,72,,92,,264,,94,,"1,65",,204,,"76,5",,400,,"11,5",,NA,,1544,,"29,5",
Granamaxitkt,2852756,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2010,17,,59,,94,,73,,91,,258,,108,,"1,86",,224,,"81,5",,348,,"11,5",,NA,,1703,,33,
Gallixeitkt,2852763,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2010,25,,126,,91,,54,,76,,221,,43,,"0,34",,143,,17,,NA,,"10,9",,"79,8",,1603,,NA,
Caphornitkt,2852741,BTH_Dijon_2010_TECH,BTH_Dijon_2010_TECH,25913,https://doi.org/10.15454/IH4I8R,CAPHORN,VIRTUAL_TRIAL,,,,,,,,treated,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
