observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieG(CO_321:1000238),NmieG(CO_321:1000238).date,NpainG(CO_321:1000237),NpainG(CO_321:1000237).date,NpateG(CO_321:1000236),NpateG(CO_321:1000236).date,NtotG(CO_321:1000239),NtotG(CO_321:1000239).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,prot(CO_321:1000070),prot(CO_321:1000070).date,volG(CO_321:1000240),volG(CO_321:1000240).date,zel(CO_321:1000222),zel(CO_321:1000222).date
DI08019-2itkt,2853064,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,2010,"20,4",,84,,97,,"74,6",,89,,"260,6",,68,,"0,81",,187,,47,,385,,"10,4",,1718,,34,
EM09015itkt,2853093,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
HadmF11383itkt,2853069,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,60806,https://doi.org/10.15454/MBOJSS,HadmF11383,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI10006itkt,2853084,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI10007itkt,2853117,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
DI10015itkt,2853063,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
RE09055itkt,2853090,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,2010,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,,NA,
Hadm01221-04itkt,2853081,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,60753,https://doi.org/10.15454/SQDBPR,Hadm01221-04,VIRTUAL_TRIAL,,,,,,,,2010,"18,8",,72,,94,,"45,7",,75,,"214,7",,74,,"1,04",,166,,62,,412,,"10,6",,1678,,32,
HadmF276itkt,2853055,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,60837,https://doi.org/10.15454/9DIH2Q,HadmF276,VIRTUAL_TRIAL,,,,,,,,2010,"16,4",,55,,100,,"57,6",,76,,"233,6",,80,,"1,48",,161,,73,,399,,11,,1531,,"28,5",
Barokitkt,2853051,BTH_Orgeval_2010_TECH,BTH_Orgeval_2010_TECH,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2010,"24,3",,120,,91,,"56,2",,62,,"209,2",,41,,"0,34",,127,,60,,398,,11,,1685,,27,
