observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Apacheitkt,2856582,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2011,62,,,,132,,"9,2",,"72,9",,97,,,,81,,,,,,,
EM09015itknt,2856593,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,82,,3,,140,,,,"74,6",,"83,1",,"3,5",,"74,5",,1,,"2,5",,1,
EM09015itkfi,2856592,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,49594,https://doi.org/10.15454/UY7D21,EM09015,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,70,,"1,5",,136,,"9,06",,77,,"91,5",,"2,5",,"72,7",,,,"2,5",,1,
DI10006itkt,2856621,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,treated,2011,72,,,,140,,"10,02",,"76,1",,"103,8",,,,"86,7",,,,,,,
DI10006itknt,2856620,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,82,,"3,5",,141,,,,"76,4",,"99,8",,4,,"89,5",,1,,2,,1,
DI10006itkfi,2856619,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48901,https://doi.org/10.15454/QECZYG,DI10006,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,85,,3,,139,,"9,55",,"78,3",,"108,2",,1,,"85,9",,,,"1,5",,1,
DI10007itknt,2856617,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,"1,5",,134,,,,"75,9",,"97,6",,2,,"87,5",,1,,2,,1,
DI10007itkt,2856618,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,treated,2011,68,,,,138,,"10,31",,"75,7",,"102,1",,,,"85,3",,,,,,,
DI10007itkfi,2856616,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48917,https://doi.org/10.15454/SFOD7H,DI10007,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,78,,2,,136,,"9,72",,"77,7",,"102,8",,1,,"81,7",,,,2,,1,
DI10015itkt,2856546,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,treated,2011,62,,,,134,,"9,5",,"72,9",,"103,3",,,,"86,3",,,,,,,
DI10015itkfi,2856544,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,72,,2,,133,,"9,41",,"75,3",,"112,2",,"1,5",,"89,1",,,,2,,1,
DI10015itknt,2856545,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,48814,https://doi.org/10.15454/QM62JM,DI10015,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,80,,"1,5",,138,,,,"72,9",,"101,4",,"2,5",,"90,9",,1,,2,,2,
RE09055itkt,2856651,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2011,70,,,,132,,"8,96",,"70,7",,"105,1",,,,"87,8",,,,,,,
RE09055itknt,2856650,BTH_Estrées-Mons_2011_SetA2,BTH_Estrées-Mons_2011_SetA2,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2011,85,,"1,5",,135,,,,73,,112,,"1,5",,"100,5",,1,,2,,2,
