observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,oid(CO_321:1000145),oid(CO_321:1000145).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO11010itkfi,2860437,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61350,https://doi.org/10.15454/U7J4EQ,AO11010,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,2,,132,,"75,9",,"86,9",,4,,"80,9",,"2,5",,1,
CF10064itkfi,2860426,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,102,,2,,130,,"74,6",,"103,1",,"1,5",,96,,1,,1,
AO11012itkfi,2860419,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,2,,131,,"76,2",,"95,5",,3,,"88,9",,"1,5",,1,
CF10082itkfi,2860431,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61957,https://doi.org/10.15454/M4RPQP,CF10082,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,100,,"3,5",,135,,"75,4",,"91,6",,"1,5",,"85,4",,"1,5",,1,
RE10080itkfi,2860454,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61959,https://doi.org/10.15454/9SDYX3,RE10080,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,108,,1,,128,,"75,9",,"92,5",,"1,5",,"86,1",,1,,1,
EM10306itkfi,2860443,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61526,https://doi.org/10.15454/MRWRT2,EM10306,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,98,,"2,5",,130,,"73,8",,"93,9",,"1,5",,"87,5",,1,,1,
AO11009itkfi,2860439,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61334,https://doi.org/10.15454/FHFPK2,AO11009,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,105,,1,,128,,"76,6",,"96,1",,"2,5",,"89,5",,"1,5",,1,
Koreliitkfi,2860433,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,100,,"2,5",,132,,"79,8",,99,,3,,"92,2",,"1,5",,1,
DI11012itkfi,2860451,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,48928,https://doi.org/10.15454/G34RHP,DI11012,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,100,,5,,130,,"77,2",,"93,8",,1,,"87,4",,1,,1,
AO11013itkfi,2860420,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,2,,128,,"75,8",,"112,3",,"1,5",,"104,6",,1,,1,
EM10304itkfi,2860444,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61512,https://doi.org/10.15454/4AWA2B,EM10304,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,102,,1,,127,,"73,2",,"102,3",,"1,5",,"95,3",,1,,1,
RE10072itkfi,2860428,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,49343,https://doi.org/10.15454/4TBCLY,RE10072,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,105,,1,,132,,"76,4",,"106,9",,1,,"99,6",,1,,1,
DI11013itkfi,2860450,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,49232,https://doi.org/10.15454/8YNF2B,DI11013,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,100,,"4,5",,132,,"78,1",,"98,9",,1,,"92,1",,1,,1,
EM10322itkfi,2860442,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61572,https://doi.org/10.15454/DD34MP,EM10322,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,98,,3,,130,,"71,6",,"80,2",,3,,"74,7",,1,,2,
CF10108itkfi,2860421,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61973,https://doi.org/10.15454/I6GJS6,CF10108,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,3,,130,,"75,4",,"90,2",,1,,84,,1,,1,
DI11008itkfi,2860434,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,60898,https://doi.org/10.15454/RMGL42,DI11008,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,3,,134,,"74,5",,"92,1",,1,,"85,8",,1,,1,
Bermudeitkfi,2860427,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,92,,3,,130,,"73,4",,"96,4",,2,,"89,8",,1,,1,
Premioitkfi,2860418,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,90,,"3,5",,121,,74,,"108,1",,"1,5",,"100,7",,1,,1,
CF10185itkfi,2860457,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,102,,1,,133,,"76,4",,"105,7",,1,,"98,4",,1,,1,
CF10125itkfi,2860429,BTH_Rennes_2011_SetB2,BTH_Rennes_2011_SetB2,61989,https://doi.org/10.15454/IBHUHA,CF10125,VIRTUAL_TRIAL,,,,,,,,low inputs,2011,95,,2,,128,,"73,2",,"91,9",,"1,5",,"85,6",,"2,5",,1,
