observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
DI08019-2itkt,2862972,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"78,8",,"101,3",,,,"97,7",,,,1,
Apacheitkt,2862988,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,136,,78,,"104,7",,,,101,,,,1,
DI08019-2itknt,2862971,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,61702,https://doi.org/10.15454/ZL8W4U,DI08019-2,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,86,,,,"77,1",,"111,2",,1,,"75,95",,2,,1,
Soissonsitkt,2863024,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,135,,"78,9",,"88,1",,,,"84,9",,,,1,
AO11002itkt,2863002,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48844,https://doi.org/10.15454/IYISPL,AO11002,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,139,,"76,8",,"91,7",,,,"88,4",,,,1,
AO11012itknt,2862959,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,85,,,,"68,9",,"86,7",,3,,"59,21",,6,,1,
RE09055itknt,2863025,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,89,,,,70,,"99,7",,2,,"68,1",,5,,1,
RE09055itkt,2863026,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,61677,https://doi.org/10.15454/RWYMIR,RE09055,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"72,6",,"97,7",,,,"94,1",,,,1,
EM07117itknt,2862975,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,27820,https://doi.org/10.15454/3AQJN1,EM07117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,103,,,,"76,7",,"112,4",,1,,"76,8",,2,,1,
Koreliitknt,2862983,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,105,,,,"80,4",,121,,1,,"82,63",,2,,1,
Lyrikitknt,2863027,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,90,,,,"75,7",,"120,7",,1,,"82,48",,2,,1,
Lyrikitkt,2863028,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,27737,https://doi.org/10.15454/7VD1UN,LYRIK,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,141,,"77,2",,105,,,,"101,2",,,,1,
AO11012itkt,2862960,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48904,https://doi.org/10.15454/QDMSRL,AO11012,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,141,,"77,9",,"104,7",,,,"100,9",,,,1,
Ghaytaitknt,2863015,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,93,,,,"74,8",,"104,3",,2,,"71,24",,4,,1,
Koreliitkt,2862984,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,26891,https://doi.org/10.15454/6PDHWM,KORELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"81,2",,"105,7",,,,"101,8",,,,1,
EM09222itkt,2863012,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48955,https://doi.org/10.15454/A78B2Q,EM09222,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"74,7",,"96,1",,,,"92,6",,,,4,
CF09169itknt,2862981,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,104,,,,"74,9",,"101,6",,4,,"69,4",,3,,1,
CF09169itkt,2862982,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48637,https://doi.org/10.15454/PVGZIK,CF09169,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"77,6",,"100,5",,,,"96,9",,,,2,
CF09117itkt,2863022,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"77,1",,91,,,,"87,7",,,,2,
CF09117itknt,2863021,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48349,https://doi.org/10.15454/DXR4XS,CF09117,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,103,,,,"75,8",,"108,9",,1,,"74,36",,3,,1,
Ghaytaitkt,2863016,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,27784,https://doi.org/10.15454/BYBWWN,GHAYTA,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,141,,"77,8",,"95,9",,,,"92,5",,,,1,
CF09227itknt,2863029,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,103,,,,"71,7",,"101,8",,3,,"69,56",,4,,4,
Grapeliitknt,2862977,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,99,,,,"76,1",,"104,2",,1,,"71,15",,2,,1,
AO11013itknt,2862961,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,49347,https://doi.org/10.15454/K3JAUB,AO11013,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,91,,,,"69,8",,"106,8",,3,,"72,98",,3,,1,
Grapeliitkt,2862978,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,27821,https://doi.org/10.15454/4TFKM0,GRAPELI,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,141,,"77,4",,"92,8",,,,"89,4",,,,1,
CF09227itkt,2863030,BTH_Epi-centre_2012_SetA1,BTH_Epi-centre_2012_SetA1,48700,https://doi.org/10.15454/C60S9I,CF09227,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"76,2",,"100,9",,,,"97,3",,,,3,
