observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF10299itkt,2865522,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,88,,148,,"11,09",,"99,6",,,,"86,6",,1,,2,,6,
AO12007itkfi,2865484,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49256,https://doi.org/10.15454/W3CJOS,AO12007,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,82,,151,,"9,93",,"102,2",,3,,"67,7",,"3,5",,"2,5",,1,
DI11014itkfi,2865547,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,48652,https://doi.org/10.15454/GG9CKW,DI11014,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,1,,92,,150,,"11,3",,"107,9",,"1,5",,"71,4",,2,,3,,1,
CF10299itkfi,2865520,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,2,,85,,151,,"11,13",,"77,1",,1,,"51,1",,7,,1,,2,
RE10099itkt,2865501,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49222,https://doi.org/10.15454/YP9ZYW,RE10099,VIRTUAL_TRIAL,,,,,,,,treated,2012,1,,95,,152,,"12,57",,"103,3",,,,"89,8",,1,,2,,"2,5",
CF10299itknt,2865521,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,88,,150,,,,"76,1",,1,,"52,7",,7,,"3,5",,4,
RE10040itknt,2865515,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,"3,5",,95,,154,,,,"75,5",,4,,"52,3",,8,,1,,"2,5",
RE10040itkfi,2865514,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,49526,https://doi.org/10.15454/U0AWKP,RE10040,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"2,5",,92,,154,,"11,14",,"69,3",,1,,"45,9",,8,,2,,2,
Attlassitkfi,2865523,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,"3,5",,90,,152,,"11,5",,"111,9",,"1,5",,"74,1",,1,,2,,1,
Attlassitkt,2865525,BTH_Estrées-Mons_2012_SetA2,BTH_Estrées-Mons_2012_SetA2,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2012,"1,5",,90,,150,,"12,16",,"98,5",,,,"85,6",,1,,2,,"2,5",
