observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,pva(CO_321:1000252),pva(CO_321:1000252).date,pvp(CO_321:1000251),pvp(CO_321:1000251).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rj(CO_321:1000162),rj(CO_321:1000162).date
CF10299,2866422,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,61198,https://doi.org/10.15454/BXUMII,CF10299,VIRTUAL_TRIAL,,,,,,,,2012,5,,"5,8",,3,,2,,1,
EM10126,2866413,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,"7,3",,5,,1,,1,
AO12004,2866407,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,61747,https://doi.org/10.15454/0HGHAW,AO12004,VIRTUAL_TRIAL,,,,,,,,2012,5,,"5,5",,3,,4,,6,
CF10185,2866432,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,2012,"6,5",,"4,5",,5,,4,,1,
CF10140,2866405,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,62004,https://doi.org/10.15454/WDXEQE,CF10140,VIRTUAL_TRIAL,,,,,,,,2012,"5,5",,"2,6",,2,,3,,1,
AO12005,2866408,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,61912,https://doi.org/10.15454/HZ6TJM,AO12005,VIRTUAL_TRIAL,,,,,,,,2012,"8,5",,"4,8",,2,,6,,1,
CF10042,2866401,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,61896,https://doi.org/10.15454/RC9XEF,CF10042,VIRTUAL_TRIAL,,,,,,,,2012,3,,"7,5",,5,,3,,2,
CF10064,2866418,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,2012,"4,5",,"4,5",,2,,2,,1,
AO12006,2866409,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,62084,https://doi.org/10.15454/V2OSCE,AO12006,VIRTUAL_TRIAL,,,,,,,,2012,6,,"5,2",,2,,3,,1,
AO12010,2866426,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,60765,https://doi.org/10.15454/FM5TGM,AO12010,VIRTUAL_TRIAL,,,,,,,,2012,8,,"5,3",,2,,4,,4,
AO12022,2866397,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,60975,https://doi.org/10.15454/IP96RA,AO12022,VIRTUAL_TRIAL,,,,,,,,2012,"3,5",,"6,9",,3,,4,,1,
AO12023,2866398,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,60989,https://doi.org/10.15454/PXKPXU,AO12023,VIRTUAL_TRIAL,,,,,,,,2012,4,,"5,9",,5,,3,,1,
Barok,2866393,BTH_Rennes_2012_SetA2_PIETIN-VERSE,BTH_Rennes_2012_SetA2_PIETIN-VERSE,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,2012,4,,NA,,5,,2,,1,
