observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Bermudeitknt,2866887,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,5,,,,1,,,
Attlassitkt,2866938,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,82,,"97,5",,,,"96,8",,,,1,
CF11079itknt,2866873,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61349,https://doi.org/10.15454/78QONX,CF11079,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,5,,,,,,,,7,,,,1,,,
CF11079itkt,2866874,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61349,https://doi.org/10.15454/78QONX,CF11079,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,140,,"77,4",,99,,,,"98,3",,,,4,
Attlassitknt,2866937,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,26823,https://doi.org/10.15454/4BHB0N,ATTLASS,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,1,,,,1,,,
EM11366itkt,2866936,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,49409,https://doi.org/10.15454/9ZJTGU,EM11366,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,137,,"79,8",,"100,7",,,,"99,9",,,,7,
CF11041itknt,2866931,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61302,https://doi.org/10.15454/YCKCWW,CF11041,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,3,,,,,,,,4,,,,1,,,
CF11041itkt,2866932,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61302,https://doi.org/10.15454/YCKCWW,CF11041,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"82,5",,"99,4",,,,"98,6",,,,2,
CF11029itkt,2866918,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,144,,79,,"104,5",,,,"103,7",,,,"4,5",
CF11029itknt,2866917,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,48631,https://doi.org/10.15454/LPOUIM,CF11029,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,2,,,,7,,,
CF11075itknt,2866883,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61332,https://doi.org/10.15454/BH8LXP,CF11075,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2012,2,,,,,,,,3,,,,1,,,
CF11075itkt,2866884,BTH_Clermont-Ferrand_2012_SetB1,BTH_Clermont-Ferrand_2012_SetB1,61332,https://doi.org/10.15454/BH8LXP,CF11075,VIRTUAL_TRIAL,,,,,,,,treated,2012,,,138,,"80,2",,"94,1",,,,"93,4",,,,1,
