observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF11228itkfi,2870340,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61645,https://doi.org/10.15454/IO4TVO,CF11228,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,141,,"73,4",,"103,4",,1,,"62,5",,1,,"3,5",,1,
RE11098itkfi,2870320,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,49149,https://doi.org/10.15454/AXKGHH,RE11098,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,101,,140,,"80,8",,"128,4",,1,,"77,7",,1,,"2,5",,1,
CF11211itkfi,2870322,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61558,https://doi.org/10.15454/RW7KHN,CF11211,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,136,,"73,6",,"90,2",,1,,"54,6",,1,,"4,2",,1,
CF11227itkfi,2870345,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61631,https://doi.org/10.15454/XHXQYM,CF11227,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,141,,"75,6",,"80,8",,1,,"48,9",,1,,"4,5",,1,
CF11224itkfi,2870344,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61615,https://doi.org/10.15454/RSLCQO,CF11224,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,86,,138,,"73,6",,"102,6",,1,,"62,1",,1,,"4,5",,1,
EM11604itkfi,2870334,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,49309,https://doi.org/10.15454/RKL8AU,EM11604,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,135,,"78,4",,"125,5",,1,,"75,9",,1,,2,,1,
EM11602itkfi,2870336,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,60719,https://doi.org/10.15454/13FZZX,EM11602,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,138,,"73,4",,"105,8",,1,,64,,1,,"2,5",,1,
CF11279itkfi,2870325,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61660,https://doi.org/10.15454/I4EDVN,CF11279,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,130,,"77,1",,"95,2",,1,,"57,6",,1,,6,,1,
Premioitkfi,2870318,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,26914,https://doi.org/10.15454/5YB44K,PREMIO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,85,,138,,"75,2",,"110,6",,1,,"66,9",,1,,3,,1,
C32itkfi,2870326,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,48728,gnpis_pui:holding-921_taxon-4898_accession-48728,C32,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,84,,140,,73,,"88,9",,1,,"53,8",,1,,"4,2",,1,
Altigoitkfi,2870339,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,99,,134,,"75,9",,"106,3",,1,,"64,3",,2,,3,,1,
Fr498/10itkfi,2870342,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,49729,gnpis_pui:holding-921_taxon-4898_accession-49729,Fr498/10,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,104,,144,,"80,4",,"111,6",,1,,"67,5",,1,,3,,1,
CF11289itkfi,2870330,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61675,https://doi.org/10.15454/2RSAHH,CF11289,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,91,,131,,"75,1",,"99,1",,1,,"59,9",,1,,"4,5",,1,
RE11113itkfi,2870343,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,48537,https://doi.org/10.15454/OVF7NV,RE11113,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,112,,144,,"80,6",,"127,2",,1,,"76,9",,1,,2,,1,
EM11622itkfi,2870329,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,60769,https://doi.org/10.15454/NH9QD9,EM11622,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,78,,138,,"68,9",,87,,1,,"52,6",,1,,"4,8",,1,
DI12014itkfi,2870348,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61954,https://doi.org/10.15454/YP2UOF,DI12014,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,140,,"70,6",,"103,5",,1,,"62,6",,1,,3,,1,
EM11678itkfi,2870317,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,60805,https://doi.org/10.15454/JZDA89,EM11678,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,97,,140,,"70,3",,"92,2",,1,,"55,7",,1,,"3,5",,1,
DI12018itkfi,2870346,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,62018,https://doi.org/10.15454/LSENI4,DI12018,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,90,,142,,"74,3",,"109,2",,1,,66,,1,,3,,1,
CFQUE/013itkfi,2870332,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,48552,gnpis_pui:holding-921_taxon-4898_accession-48552,CFQUE/013,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,96,,142,,"73,1",,"96,8",,1,,"58,5",,1,,"3,8",,1,
Apacheitkfi,2870333,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,25612,https://doi.org/10.15454/V8WRHY,APACHE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,88,,137,,74,,"81,8",,2,,"49,5",,1,,"4,5",,1,
DI12019itkfi,2870347,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,62033,https://doi.org/10.15454/LXXI3T,DI12019,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,142,,"74,2",,111,,1,,"67,2",,1,,"4,2",,1,
RE11116itkfi,2870327,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,48613,https://doi.org/10.15454/12BULQ,RE11116,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,102,,140,,"76,3",,"122,7",,1,,"74,2",,1,,3,,1,
DI12016itkfi,2870350,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61986,https://doi.org/10.15454/JOTB0W,DI12016,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,94,,140,,"77,6",,"118,1",,1,,"71,4",,1,,"3,2",,1,
CF11216itkfi,2870316,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61600,https://doi.org/10.15454/KE0AWJ,CF11216,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,91,,142,,"76,7",,"109,1",,1,,66,,1,,"3,5",,1,
DI12015itkfi,2870349,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,61970,https://doi.org/10.15454/G4JD19,DI12015,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,141,,"70,5",,"106,6",,1,,"64,5",,1,,"3,2",,1,
EM11623itkfi,2870328,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,49528,gnpis_pui:holding-921_taxon-4898_accession-49528,EM11623,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,84,,138,,77,,"96,9",,1,,"58,6",,1,,"3,5",,1,
Barokitkfi,2870314,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,138,,"77,6",,"132,6",,1,,"80,2",,1,,2,,1,
F43itkfi,2870315,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,48503,gnpis_pui:holding-921_taxon-4898_accession-48503,F43,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,93,,141,,79,,"105,6",,1,,"63,9",,1,,4,,1,
Flamenkoitkfi,2870341,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,26969,https://doi.org/10.15454/WDD3QQ,FLAMENKO,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,135,,"75,6",,"130,5",,1,,79,,1,,3,,1,
E42itkfi,2870337,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,49733,gnpis_pui:holding-921_taxon-4898_accession-49733,E42,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,92,,139,,"78,6",,"100,6",,1,,"60,9",,1,,4,,1,
RE11091itkfi,2870331,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,49027,https://doi.org/10.15454/HZ1HSQ,RE11091,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,101,,140,,"77,3",,"117,2",,1,,"70,9",,1,,2,,1,
RE11094itkfi,2870324,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,48366,https://doi.org/10.15454/ZSJORF,RE11094,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,105,,140,,"76,9",,127,,1,,"76,8",,1,,2,,1,
Bermudeitkfi,2870321,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,89,,140,,"76,1",,"101,4",,1,,"61,3",,1,,3,,1,
PER102/181itkfi,2870338,BTH_Lusignan_2012_SetB3,BTH_Lusignan_2012_SetB3,49536,gnpis_pui:holding-921_taxon-4898_accession-49536,PER102/181,VIRTUAL_TRIAL,,,,,,,,low inputs,2012,106,,141,,"78,2",,"88,3",,1,,"53,4",,6,,"1,5",,1,
