observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,fusa(CO_321:1000101),fusa(CO_321:1000101).date,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO12002itkt,2872149,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,98,,145,,"73,2",,"108,4",,"111,2",
RE10042itknt,2872170,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48716,https://doi.org/10.15454/5APOHC,RE10042,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"76,5",,"154,2",,"99,04",
AO12002itknt,2872148,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61415,https://doi.org/10.15454/J8DODQ,AO12002,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,5,,,,,,70,,"122,9",,"78,91",
Bermudeitkt,2872139,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,90,,148,,"77,6",,"104,5",,"107,2",
CF08027itkt,2872199,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,103,,153,,"76,2",,"102,8",,"105,5",
CF08027itknt,2872198,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,27795,https://doi.org/10.15454/8X7KGE,CF08027,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"75,8",,"147,7",,"94,85",
EM10126itkt,2872159,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,100,,146,,"71,6",,"99,5",,"102,1",
Altigoitkt,2872167,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,97,,142,,"75,3",,"101,5",,"104,1",
EM10126itknt,2872158,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61446,https://doi.org/10.15454/MPTXJP,EM10126,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"70,4",,"130,2",,"83,65",
AO13009itkt,2872141,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49308,https://doi.org/10.15454/X9GHDQ,AO13009,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,102,,147,,"74,9",,"109,3",,"112,2",
Gallixeitknt,2872188,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"69,1",,"127,7",,"82,04",
CF10185itknt,2872202,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"73,5",,"132,7",,"85,25",
CF10185itkt,2872203,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,104,,153,,"75,3",,100,,"102,6",
Granamaxitkt,2872161,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,98,,148,,"73,2",,"105,3",,108,
AO12014itknt,2872142,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,49318,https://doi.org/10.15454/WXGPLG,AO12014,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,75,,"105,1",,"67,49",
EM09320itknt,2872126,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,3,,,,,,"70,4",,"133,7",,"85,9",
Granamaxitknt,2872160,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,59657,https://doi.org/10.15454/R2A6FC,GRANAMAX,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,5,,,,,,"71,1",,"145,4",,"93,39",
Gallixeitkt,2872189,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,86,,146,,"71,3",,"96,9",,"99,5",
AO13007itknt,2872134,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"72,2",,"130,3",,"83,68",
AO12021itknt,2872132,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,1,,,,,,"71,6",,"140,1",,"89,97",
AO13007itkt,2872135,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,62117,https://doi.org/10.15454/BNPE3B,AO13007,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,94,,149,,"74,3",,"103,4",,106,
AO11011itknt,2872164,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"72,6",,131,,"84,12",
AO12021itkt,2872133,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,60961,https://doi.org/10.15454/0ZFI4A,AO12021,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,103,,146,,73,,"107,7",,"110,5",
AO13001itknt,2872130,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2013,2,,,,,,"71,5",,"129,4",,"83,13",
Croustyitkt,2872173,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,25599,https://doi.org/10.15454/OGNUYF,CROUSTY,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,108,,149,,"77,3",,89,,"91,3",
EM09320itkt,2872127,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48354,https://doi.org/10.15454/V82MUD,EM09320,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,100,,144,,"73,2",,"104,5",,"107,2",
AO13001itkt,2872131,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,61109,https://doi.org/10.15454/UKVZTI,AO13001,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,96,,149,,"74,7",,"101,5",,"104,1",
AO11011itkt,2872165,BTH_Epi-centre_2013_SetA1,BTH_Epi-centre_2013_SetA1,48486,https://doi.org/10.15454/PE1NKZ,AO11011,VIRTUAL_TRIAL,,,,,,,,treated,2013,,,92,,152,,"73,9",,"99,2",,"101,7",
