observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
AO13016itkt,2877727,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60850,https://doi.org/10.15454/R4ROYJ,AO13016,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,156,,"10,3",,"74,8",,102,,"109,1",,,,1,
AO13025itkfi,2877678,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,156,,"10,4",,"74,3",,"99,7",,"83,2",,5,,1,
AO13025itkt,2877679,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61004,https://doi.org/10.15454/0TKQE8,AO13025,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,157,,"10,8",,"78,3",,"93,8",,"100,3",,,,1,
AO13026itkfi,2877682,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,154,,"10,9",,"76,2",,"96,9",,"80,8",,5,,1,
AO13026itkt,2877683,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61020,https://doi.org/10.15454/NT4S5Q,AO13026,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,156,,"11,4",,"76,7",,"97,4",,"104,1",,,,1,
RE12053itkfi,2877712,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,79,,156,,"10,9",,"69,5",,"108,8",,"90,8",,"2,5",,1,
RE12053itkt,2877713,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61448,https://doi.org/10.15454/BEMSDR,RE12053,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"12,1",,"69,9",,"97,1",,"103,9",,,,1,
RE12057itkt,2877721,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,156,,"11,7",,70,,94,,"100,6",,,,1,
RE12057itkfi,2877720,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61483,https://doi.org/10.15454/9QIAHU,RE12057,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,78,,156,,"10,1",,"68,3",,"101,3",,"84,5",,"3,5",,1,
RE12062itkfi,2877666,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61498,https://doi.org/10.15454/PGNWR0,RE12062,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,154,,"11,2",,"66,7",,"99,6",,"83,1",,"3,8",,1,
RE12062itkt,2877667,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61498,https://doi.org/10.15454/PGNWR0,RE12062,VIRTUAL_TRIAL,,,,,,,,treated,2013,79,,156,,12,,"67,9",,"94,8",,"101,4",,,,1,
RE12056itkfi,2877718,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61466,https://doi.org/10.15454/BR3V9R,RE12056,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,76,,156,,"10,7",,"65,8",,"106,9",,"89,2",,"3,8",,1,
RE12056itkt,2877719,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61466,https://doi.org/10.15454/BR3V9R,RE12056,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,156,,"11,5",,"71,2",,"94,4",,101,,,,1,
RE12064itkt,2877669,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61513,https://doi.org/10.15454/PJQ3Q5,RE12064,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,156,,"10,8",,72,,92,,"98,3",,,,1,
RE12064itkfi,2877668,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61513,https://doi.org/10.15454/PJQ3Q5,RE12064,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,156,,"10,4",,"69,1",,"103,4",,"86,3",,"5,5",,1,
CF12176itkfi,2877708,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61510,https://doi.org/10.15454/KWBER9,CF12176,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,"10,6",,"72,5",,"100,5",,"83,8",,"4,5",,1,
CF12176itkt,2877709,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61510,https://doi.org/10.15454/KWBER9,CF12176,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"11,2",,"77,8",,"98,1",,"104,9",,,,1,
CF12265itkfi,2877674,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61601,https://doi.org/10.15454/RDBYFX,CF12265,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,88,,154,,"10,2",,"72,7",,"91,2",,76,,7,,2,
CF12265itkt,2877675,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61601,https://doi.org/10.15454/RDBYFX,CF12265,VIRTUAL_TRIAL,,,,,,,,treated,2013,96,,154,,"11,2",,"75,9",,"92,5",,"98,9",,,,3,
CF12271itkfi,2877724,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61616,https://doi.org/10.15454/L4H0GP,CF12271,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,84,,156,,"10,3",,69,,"103,8",,"86,6",,"3,5",,1,
CF12271itkt,2877725,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61616,https://doi.org/10.15454/L4H0GP,CF12271,VIRTUAL_TRIAL,,,,,,,,treated,2013,88,,156,,"11,5",,"73,7",,"98,1",,"104,9",,,,1,
EM12147itkt,2877711,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61939,https://doi.org/10.15454/UMYYUP,EM12147,VIRTUAL_TRIAL,,,,,,,,treated,2013,74,,154,,"11,6",,"76,8",,93,,"99,5",,,,1,
EM12147itkfi,2877710,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61939,https://doi.org/10.15454/UMYYUP,EM12147,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,71,,154,,"10,9",,"69,6",,"101,6",,"84,8",,4,,1,
CF12232itkfi,2877738,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61583,https://doi.org/10.15454/Y57CZL,CF12232,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,82,,154,,"10,4",,"72,5",,"100,1",,"83,5",,"5,5",,1,
CF12232itkt,2877739,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,61583,https://doi.org/10.15454/Y57CZL,CF12232,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,154,,"10,9",,"75,1",,100,,107,,,,1,
AO13018itkt,2877731,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60885,https://doi.org/10.15454/CK80DP,AO13018,VIRTUAL_TRIAL,,,,,,,,treated,2013,89,,154,,"11,3",,"80,8",,"93,7",,"100,2",,,,1,
AO13018itkfi,2877730,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,60885,https://doi.org/10.15454/CK80DP,AO13018,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,154,,"11,4",,74,,"92,1",,"76,8",,"8,5",,1,
RE12042itkfi,2877672,BTH_Le_Moulon_2013_SetB2,BTH_Le_Moulon_2013_SetB2,49556,https://doi.org/10.15454/GYCEHY,RE12042,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,86,,155,,"10,6",,"73,6",,"107,8",,"89,9",,"3,8",,1,
