observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date
AO13044itkt,2878479,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,156,,"81,3",,"87,1",,"69,2",
CF12352itkt,2878493,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,61703,https://doi.org/10.15454/NAJGZ1,CF12352,VIRTUAL_TRIAL,,,,,,,,treated,2013,82,,150,,"80,3",,"91,3",,"72,5",
RE12073itkt,2878489,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,49588,https://doi.org/10.15454/8XOG9B,RE12073,VIRTUAL_TRIAL,,,,,,,,treated,2013,94,,153,,"79,2",,"87,8",,"69,7",
AO13029itkt,2878468,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,treated,2013,81,,153,,"81,2",,"94,4",,75,
AO13031itkt,2878495,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,150,,"82,7",,"107,8",,"85,6",
AO13030itkt,2878472,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,48837,https://doi.org/10.15454/AFDIUY,AO13030,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,154,,"78,9",,"97,7",,"77,6",
CF12372itkt,2878497,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,61717,https://doi.org/10.15454/ONKOGJ,CF12372,VIRTUAL_TRIAL,,,,,,,,treated,2013,96,,152,,"81,1",,"85,5",,"67,9",
RE12100itkt,2878464,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,treated,2013,86,,153,,"81,9",,"91,9",,"72,9",
AO13041itkt,2878483,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,61254,https://doi.org/10.15454/TWWXEK,AO13041,VIRTUAL_TRIAL,,,,,,,,treated,2013,78,,154,,"78,7",,"87,9",,"69,7",
DI13006itkt,2878474,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,49207,https://doi.org/10.15454/DM26Q1,DI13006,VIRTUAL_TRIAL,,,,,,,,treated,2013,80,,154,,"80,8",,"98,7",,"78,3",
AO13042itkt,2878481,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,61269,https://doi.org/10.15454/CHX9GO,AO13042,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,154,,"80,8",,"107,6",,"85,4",
Bermudeitkt,2878470,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,treated,2013,84,,156,,"82,5",,"96,4",,"76,5",
EM12273itkt,2878488,BTH_Dijon_2013_SetB3,BTH_Dijon_2013_SetB3,62019,https://doi.org/10.15454/HJW1L8,EM12273,VIRTUAL_TRIAL,,,,,,,,treated,2013,89,,150,,"80,3",,"87,7",,"69,6",
