observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,rdt(CO_321:1000074),rdt(CO_321:1000074).date
2,2765472,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48376,gnpis_pui:holding-921_taxon-4898_accession-48376,EM00013,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,82,
1,2765517,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26859,https://doi.org/10.15454/KODDU6,DI00016,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"120,4",
1,2765509,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26106,https://doi.org/10.15454/MAUZZM,DI00010,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"114,6",
2,2765510,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26106,https://doi.org/10.15454/MAUZZM,DI00010,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"114,4",
1,2765507,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26106,https://doi.org/10.15454/MAUZZM,DI00010,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"59,5",
2,2765508,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26106,https://doi.org/10.15454/MAUZZM,DI00010,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"90,2",
2,2765486,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26875,https://doi.org/10.15454/WJONCW,RE99123,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"111,7",
1,2765485,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26875,https://doi.org/10.15454/WJONCW,RE99123,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"114,4",
2,2765484,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26875,https://doi.org/10.15454/WJONCW,RE99123,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"83,2",
1,2765483,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,26875,https://doi.org/10.15454/WJONCW,RE99123,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,90,
2,2765406,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49567,gnpis_pui:holding-921_taxon-4898_accession-49567,EM00009,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"107,4",
1,2765405,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49567,gnpis_pui:holding-921_taxon-4898_accession-49567,EM00009,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"104,4",
1,2765403,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49567,gnpis_pui:holding-921_taxon-4898_accession-49567,EM00009,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"71,6",
2,2765404,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,49567,gnpis_pui:holding-921_taxon-4898_accession-49567,EM00009,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"76,9",
2,2765396,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48961,gnpis_pui:holding-921_taxon-4898_accession-48961,CF99175,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,"71,6",
1,2765395,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48961,gnpis_pui:holding-921_taxon-4898_accession-48961,CF99175,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"79,9",
2,2765398,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48961,gnpis_pui:holding-921_taxon-4898_accession-48961,CF99175,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"87,1",
1,2765397,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,48961,gnpis_pui:holding-921_taxon-4898_accession-48961,CF99175,REPLICATION,1,,,,,,REPLICATION:1,treated,2000,"92,5",
2,2765530,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,treated,2000,"107,5",
2,2765528,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,2,,,,,,REPLICATION:2,low inputs,2000,63,
1,2765527,BTH_Le_Moulon_2000_SetB2,BTH_Le_Moulon_2000_SetB2,24328,https://doi.org/10.15454/ZRMNO2,SOISSONS,REPLICATION,1,,,,,,REPLICATION:1,low inputs,2000,"63,1",
