observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
AO13044itkfi,2879429,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61303,https://doi.org/10.15454/O5PDFN,AO13044,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,152,,"77,4",,"94,7",,"3,5",,"76,9",,1,
EM12340itkfi,2879450,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,48377,https://doi.org/10.15454/KP9UFC,EM12340,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,80,,150,,"76,8",,"100,5",,"1,5",,"81,6",,1,
CF12352itkfi,2879443,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61703,https://doi.org/10.15454/NAJGZ1,CF12352,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,145,,"78,1",,"99,3",,1,,"80,6",,1,
AO13029itkfi,2879418,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61078,https://doi.org/10.15454/7M8X2M,AO13029,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,144,,"77,8",,"109,5",,1,,"88,9",,1,
CF12372itkfi,2879447,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61717,https://doi.org/10.15454/ONKOGJ,CF12372,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,147,,74,,"85,1",,1,,"69,1",,5,
Altigoitkfi,2879442,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,26906,https://doi.org/10.15454/6CYBGM,ALTIGO,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,98,,142,,"76,9",,"102,1",,1,,"82,9",,"2,5",
AO13031itkfi,2879445,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61106,https://doi.org/10.15454/3H61CU,AO13031,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,90,,144,,"79,4",,"111,3",,4,,"90,3",,1,
RE12100itkfi,2879414,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,49484,https://doi.org/10.15454/GT4HPR,RE12100,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,100,,145,,"80,1",,"106,1",,"1,5",,"86,1",,1,
AO13041itkfi,2879433,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,61254,https://doi.org/10.15454/TWWXEK,AO13041,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,85,,150,,"76,1",,"98,3",,"2,5",,"79,8",,1,
Bermudeitkfi,2879420,BTH_Rennes_2013_SetB3,BTH_Rennes_2013_SetB3,26912,https://doi.org/10.15454/W1NSZX,BERMUDE,VIRTUAL_TRIAL,,,,,,,,low inputs,2013,92,,148,,"79,7",,"97,2",,1,,"78,9",,1,
