observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
Gallixeitkfi,2882375,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60702,https://doi.org/10.15454/BKJEDG,GALLIXE,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,138,,"10,1",,"75,4",,"113,6",,"93,7",,2,,,,,
CF10185itknt,2882403,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,102,,143,,,,"79,6",,"94,3",,76,,1,,"3,5",,1,
CF10185itkt,2882404,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,62036,https://doi.org/10.15454/BSSAED,CF10185,VIRTUAL_TRIAL,,,,,,,,treated,2014,100,,144,,"9,6",,"81,3",,"95,9",,"91,5",,,,,,,
CF10064itkt,2882305,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,treated,2014,95,,140,,"9,6",,"80,5",,"107,7",,"102,8",,,,,,,
CF10064itknt,2882304,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,98,,139,,,,"77,2",,"106,8",,"86,1",,"2,5",,3,,1,
CF10064itkfi,2882303,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,61942,https://doi.org/10.15454/W1DFLD,CF10064,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,100,,139,,"10,8",,"76,9",,"102,8",,"84,8",,4,,,,,
EM11537itkt,2882290,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,treated,2014,90,,143,,"9,3",,"80,5",,103,,"98,3",,,,,,,
EM11537itknt,2882289,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,"untreated, no fungicide",2014,92,,143,,,,"79,2",,"93,7",,"75,5",,1,,"3,5",,1,
EM11537itkfi,2882288,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,49307,https://doi.org/10.15454/S10U8Z,EM11537,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,142,,"10,4",,"79,5",,"97,2",,"80,1",,1,,,,,
AO13013itkfi,2882384,BTH_Rennes_2014_SetA1,BTH_Rennes_2014_SetA1,60800,https://doi.org/10.15454/Z0VQYE,AO13013,VIRTUAL_TRIAL,,,,,,,,low inputs,2014,90,,138,,"10,6",,"75,6",,"110,3",,91,,"1,5",,,,,
