observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF13016itkt,2885584,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,60991,https://doi.org/10.15454/ODX7BB,CF13016,VIRTUAL_TRIAL,,,,,,,,treated,2014,135,,73,,"90,1",,1,,"90,2",,1,,3,
AO14011itkt,2885594,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61971,https://doi.org/10.15454/O3PVS1,AO14011,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,78,,"101,7",,3,,"101,8",,1,,1,
CF13042itkt,2885606,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61005,https://doi.org/10.15454/ONQVGT,CF13042,VIRTUAL_TRIAL,,,,,,,,treated,2014,136,,74,,"94,7",,1,,"94,7",,1,,1,
CF13057itkt,2885588,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,74,,"99,2",,1,,"99,2",,1,,2,
DI14003itkt,2885585,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61289,https://doi.org/10.15454/SINHNW,DI14003,VIRTUAL_TRIAL,,,,,,,,treated,2014,139,,80,,"105,3",,1,,"105,3",,3,,1,
EM13073itkt,2885613,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,treated,2014,136,,"76,5",,"97,4",,2,,"97,5",,1,,1,
EM12595itkt,2885583,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61370,https://doi.org/10.15454/IO8K98,EM12595,VIRTUAL_TRIAL,,,,,,,,treated,2014,135,,"72,5",,"98,3",,1,,"98,4",,1,,1,
RE13093itkt,2885590,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,treated,2014,135,,"78,5",,98,,1,,"98,1",,1,,1,
RE13094itkt,2885592,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,treated,2014,125,,79,,"101,2",,1,,"101,3",,1,,3,
RE13095itkt,2885591,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61691,https://doi.org/10.15454/MEO27U,RE13095,VIRTUAL_TRIAL,,,,,,,,treated,2014,133,,"78,5",,"101,5",,3,,"101,6",,1,,1,
AO14010itkt,2885595,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,61955,https://doi.org/10.15454/FQDNVS,AO14010,VIRTUAL_TRIAL,,,,,,,,treated,2014,138,,"77,5",,"100,6",,4,,"100,7",,3,,2,
AO14013itkt,2885596,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,treated,2014,137,,78,,"103,1",,3,,"103,2",,3,,2,
AO14014itkt,2885599,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,treated,2014,137,,"77,5",,"103,5",,1,,"103,6",,1,,1,
AO14018itkt,2885603,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,62112,https://doi.org/10.15454/CYS1KY,AO14018,VIRTUAL_TRIAL,,,,,,,,treated,2014,134,,80,,"103,6",,3,,"103,6",,1,,1,
AO14017itkt,2885600,BTH_Clermont-Ferrand_2014_SetB2,BTH_Clermont-Ferrand_2014_SetB2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,treated,2014,132,,80,,91,,1,,"91,1",,1,,1,
