observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date
RE13014itkfi,2970868,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,9.4,,78,,92.6,,3,,71.8,,1,
CF13057itkfi,2970856,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,134,,9.6,,75.5,,107.1,,1,,83.1,,1,
CF13131itkfi,2970844,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,132,,9.6,,78,,109.2,,1,,84.7,,1,
CF13131itkt,2970845,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,traite,2015,131,,9.9,,77.5,,110.1,,,,97.8,,,
CF13085itkt,2970847,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,traite,2015,130,,10.2,,79,,96.6,,,,85.8,,,
CF13085itkfi,2970846,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,131,,9.6,,80,,105.3,,2,,81.7,,1,
CF13187itkt,2970895,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,traite,2015,136,,10.1,,78,,95.5,,,,84.8,,,
CF13187itkfi,2970894,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,136,,9.3,,76.5,,112.6,,1,,87.3,,1,
EM13073itkfi,2970886,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,137,,9.6,,78.5,,92.6,,3,,71.8,,1,
EM13073itkt,2970887,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,traite,2015,137,,10.6,,77,,85.2,,,,75.7,,,
EM13249itkt,2970897,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,traite,2015,134,,10.1,,79,,105.7,,,,93.9,,,
EM13249itkfi,2970896,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,136,,9.3,,77,,113.1,,1,,87.7,,1,
EM13243itkt,2970853,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,10.1,,81.5,,104.8,,,,93.1,,,
EM13243itkfi,2970852,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,9.9,,79.5,,104.3,,1,,80.9,,1,
RE13006itkt,2970909,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,9.8,,79.5,,98.8,,,,87.8,,,
RE13006itkfi,2970908,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,133,,9.4,,78,,107.8,,1,,83.6,,1,
RE13007itkt,2970911,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,10.3,,79,,101.1,,,,89.8,,,
RE13007itkfi,2970910,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,132,,9.6,,77.5,,108.1,,2,,83.8,,1,
RE13093itkt,2970861,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,traite,2015,134,,10.1,,80,,96.2,,,,85.5,,,
RE13093itkfi,2970860,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,9.4,,78.5,,106.2,,1,,82.4,,1,
RE13094itkt,2970865,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,traite,2015,128,,10.3,,81.5,,100.3,,,,89.1,,,
RE13094itkfi,2970864,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61678,https://doi.org/10.15454/GQP9HA,RE13094,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,130,,9.9,,80,,97.9,,2,,76,,1,
AO14026itkt,2970901,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,traite,2015,141,,9.6,,78.5,,102.7,,,,91.3,,,
AO14026itkfi,2970900,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61704,https://doi.org/10.15454/ZZZLIR,AO14026,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,142,,8.3,,77,,112.2,,1,,87,,1,
AO14013itkt,2970859,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,10,,80,,104.2,,,,92.6,,,
AO14013itkfi,2970858,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62003,https://doi.org/10.15454/UIHLJL,AO14013,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,136,,9.5,,77.5,,101.5,,3,,78.8,,1,
AO14014itkt,2970875,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,traite,2015,137,,10.2,,79.5,,107.4,,,,95.4,,,
AO14014itkfi,2970874,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62034,https://doi.org/10.15454/RWXBD7,AO14014,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,137,,9.6,,77,,105.4,,1,,81.8,,1,
AO14017itkt,2970855,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,10.8,,84,,103,,,,91.5,,,
AO14017itkfi,2970854,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62096,https://doi.org/10.15454/JY3UZ7,AO14017,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,10.1,,81,,97.8,,1,,75.9,,1,
AO14020itkt,2970903,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,11,,80.5,,103.3,,,,91.7,,,
AO14020itkfi,2970902,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62141,https://doi.org/10.15454/0STI9A,AO14020,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,9.9,,78,,93.9,,3,,72.9,,1,
EM13147itkfi,2970906,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,132,,9.5,,75,,101.7,,1,,78.9,,1,
EM13147itkt,2970907,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61412,https://doi.org/10.15454/J7IR6N,EM13147,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,10.1,,80,,93.5,,,,83.1,,,
CF13158itkt,2970849,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,9.9,,79.5,,92.4,,,,82.1,,,
CF13158itkfi,2970848,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61152,https://doi.org/10.15454/BOXBBY,CF13158,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,9.7,,75.5,,100.6,,1,,78,,1,
RE13116itkt,2970867,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,traite,2015,130,,9.5,,79.5,,114.5,,,,101.7,,,
RE13116itkfi,2970866,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61763,https://doi.org/10.15454/N7NCR1,RE13116,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,130,,9.3,,78,,107.7,,1,,83.6,,1,
EM12040itkt,2970871,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,traite,2015,128,,12,,81.5,,78.9,,,,70.1,,,
EM12040itkfi,2970870,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61883,https://doi.org/10.15454/ZJTOW0,EM12040,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,130,,12.2,,79.5,,84.4,,1,,65.4,,1,
AO14041itkfi,2970890,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,132,,9.4,,75,,108.5,,1,,84.1,,1,
AO14041itkt,2970891,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,60915,https://doi.org/10.15454/BHRDHY,AO14041,VIRTUAL_TRIAL,,,,,,,,traite,2015,130,,10.3,,77,,96.3,,,,85.6,,,
CF13080itkfi,2970884,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,131,,9.6,,78,,111.6,,3,,86.6,,1,
CF13080itkt,2970885,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61079,https://doi.org/10.15454/SAGJTL,CF13080,VIRTUAL_TRIAL,,,,,,,,traite,2015,131,,10.4,,79,,103.5,,,,92,,,
RE13003itkfi,2970918,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,136,,9.6,,80,,100.9,,1,,78.3,,1,
RE13003itkt,2970919,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61467,https://doi.org/10.15454/J5JFPN,RE13003,VIRTUAL_TRIAL,,,,,,,,traite,2015,135,,10.1,,81,,87.8,,,,78,,,
AO14008itkfi,2970878,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,10.2,,77.5,,99.6,,1,,77.2,,1,
AO14008itkt,2970879,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61924,https://doi.org/10.15454/7FN5V4,AO14008,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,9.8,,83,,102.9,,,,91.4,,,
AO14028itkt,2970893,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,traite,2015,134,,10,,81,,102.1,,,,90.8,,,
AO14028itkfi,2970892,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,62039,https://doi.org/10.15454/FMXV4A,AO14028,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,135,,8.8,,77,,104.6,,4,,81.2,,1,
CF13057itkt,2970857,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,10.2,,80,,106.3,,,,94.4,,,
RE13014itkt,2970869,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,48609,https://doi.org/10.15454/QLBPQK,RE13014,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,9.8,,82,,91.6,,,,81.4,,,
RE13084itkt,2970877,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,traite,2015,133,,10,,79,,92.6,,,,82.3,,,
RE13084itkfi,2970876,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,49120,https://doi.org/10.15454/P3TGLP,RE13084,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,133,,10.1,,79,,104.4,,1,,81,,1,
RE13086itkt,2970883,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,traite,2015,132,,10.9,,80,,98.1,,,,87.1,,,
RE13086itkfi,2970882,BTH_Clermont-Ferrand_2015_SetA2,BTH_Clermont-Ferrand_2015_SetA2,49433,https://doi.org/10.15454/XA7QW4,RE13086,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,133,,10.2,,81,,103.5,,1,,80.3,,1,
