observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,r(CO_321:1000217),r(CO_321:1000217).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,sept(CO_321:1000109),sept(CO_321:1000109).date,vr(CO_321:1000099),vr(CO_321:1000099).date
CF14070itkfiRep0,2973592,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76119,https://doi.org/10.15454/FNZIU2,CF14070,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,102,,133,,94,,66.26,,4.5,,1,
RE14060itkfiRep0,2973574,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76103,https://doi.org/10.15454/NBUIYF,RE14060,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,96,,132,,91.1,,64.18,,1,,1,
AO15029itkfiRep0,2973566,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76095,https://doi.org/10.15454/UMMQMT,AO15029,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,132,,115,,81.05,,1,,1,
RE14058itkfiRep0,2973593,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76120,https://doi.org/10.15454/PW2ZJ9,RE14058,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,114,,134,,120.6,,84.95,,1,,1,
FolkloritkfiRep0,2973564,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,27263,https://doi.org/10.15454/PGQV8C,FOLKLOR,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,92,,132,,113.6,,80.04,,1,,1,
RE14041itkfiRep0,2973575,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76104,https://doi.org/10.15454/INFBCK,RE14041,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,100,,133,,109.8,,77.34,,3,,6.5,
CF14015itkfiRep0,2973595,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76121,https://doi.org/10.15454/FATXJB,CF14015,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,90,,132,,72.5,,51.09,,1,,1,
CF14072itkfiRep0,2973590,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76118,https://doi.org/10.15454/ZGXAAA,CF14072,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,98,,132,,86.8,,61.17,,1,,1,
EM14001itkfiRep0,2973576,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76105,https://doi.org/10.15454/7VKWOF,EM14001,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,116,,135,,105.3,,74.21,,1,,1,
RE14085itkfiRep0,2973596,BTH_Lusignan_2015_SetB1,BTH_Lusignan_2015_SetB1,76122,https://doi.org/10.15454/0GYEB2,RE14085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2015,95,,128,,103.3,,72.8,,1,,1,
