observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,ht(CO_321:1000218),ht(CO_321:1000218).date,prec(CO_321:1000219),prec(CO_321:1000219).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,r(CO_321:1000217),r(CO_321:1000217).date,rb(CO_321:1000221),rb(CO_321:1000221).date,rdt(CO_321:1000074),rdt(CO_321:1000074).date,rj(CO_321:1000162),rj(CO_321:1000162).date,sept(CO_321:1000109),sept(CO_321:1000109).date
Barokitkt,2975002,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,26978,https://doi.org/10.15454/Z3MNYF,BAROK,VIRTUAL_TRIAL,,,,,,,,traite,2015,85,,146,,10.8,,76.1,,103.8,,,,86.6,,,,,
DI15007itknt,2975003,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76126,https://doi.org/10.15454/MP2YBX,DI15007,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,104.1,,5,,78.4,,1,,2.5,
RE14108itkt,2975006,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76127,https://doi.org/10.15454/AD8RLH,RE14108,VIRTUAL_TRIAL,,,,,,,,traite,2015,92,,148,,11,,71.7,,92.7,,,,77.3,,,,,
RE14108itknt,2975005,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76127,https://doi.org/10.15454/AD8RLH,RE14108,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,105.5,,1,,79.5,,1,,1.5,
DI15008itknt,2975007,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76128,https://doi.org/10.15454/2GXQKU,DI15008,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,98.5,,4,,74.2,,1,,2,
DI15008itkt,2975008,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76128,https://doi.org/10.15454/2GXQKU,DI15008,VIRTUAL_TRIAL,,,,,,,,traite,2015,75,,147,,11.1,,67.5,,99.7,,,,83.2,,,,,
EM14076itkt,2975010,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76129,https://doi.org/10.15454/SEPVQZ,EM14076,VIRTUAL_TRIAL,,,,,,,,traite,2015,82,,148,,10.8,,72.1,,98,,,,81.8,,,,,
EM14076itknt,2975009,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76129,https://doi.org/10.15454/SEPVQZ,EM14076,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,104.2,,1.5,,78.6,,1,,2,
EM14073itknt,2975011,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76130,https://doi.org/10.15454/HCRZO8,EM14073,VIRTUAL_TRIAL,,,,,,,,non traite fongicides,2015,,,,,,,,,99.3,,3.5,,74.9,,1,,2.5,
EM14073itkt,2975012,BTH_Orgeval_2015_SetB2,BTH_Orgeval_2015_SetB2,76130,https://doi.org/10.15454/HCRZO8,EM14073,VIRTUAL_TRIAL,,,,,,,,traite,2015,88,,148,,10.4,,71.6,,97.1,,,,81.1,,,,,
