observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,itk,season,G(CO_321:1000230),G(CO_321:1000230).date,L(CO_321:1000228),L(CO_321:1000228).date,NmieD(CO_321:1000255),NmieD(CO_321:1000255).date,NmieL(CO_321:1000243),NmieL(CO_321:1000243).date,NpainD(CO_321:1000254),NpainD(CO_321:1000254).date,NpainL(CO_321:1000242),NpainL(CO_321:1000242).date,NpateD(CO_321:1000253),NpateD(CO_321:1000253).date,NpateL(CO_321:1000241),NpateL(CO_321:1000241).date,NtotD(CO_321:1000256),NtotD(CO_321:1000256).date,NtotL(CO_321:1000244),NtotL(CO_321:1000244).date,P(CO_321:1000227),P(CO_321:1000227).date,P/L(CO_321:1000229),P/L(CO_321:1000229).date,W(CO_321:1000226),W(CO_321:1000226).date,dur(CO_321:1000216),dur(CO_321:1000216).date,hag(CO_321:1000231),hag(CO_321:1000231).date,pmg(CO_321:1000177),pmg(CO_321:1000177).date,prot(CO_321:1000070),prot(CO_321:1000070).date,ps(CO_321:1000220),ps(CO_321:1000220).date,volD(CO_321:1000257),volD(CO_321:1000257).date,zel(CO_321:1000222),zel(CO_321:1000222).date
CF13057itkfi,2976791,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61065,https://doi.org/10.15454/IEJHD9,CF13057,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.1,,99,,,,100,,,,76.6,,,,92.63,,,,269.23,,61,,0.61,,195,,61,,344,,49.7,,9.9,,76.9,,,,,
CF13131itkfi,2976798,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61136,https://doi.org/10.15454/JQLJOT,CF13131,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,23.5,,112,,,,100,,,,56.55,,,,98.5,,,,255.05,,58,,0.52,,195,,65,,325,,50.8,,10.2,,78.8,,,,,
CF13085itkfi,2976803,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61107,https://doi.org/10.15454/18C6AU,CF13085,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,23.2,,109,,,,100,,,,74.5,,,,89.63,,,,264.13,,58,,0.53,,166,,17,,339,,42.9,,10,,77.7,,,,,
CF13187itkfi,2976809,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61181,https://doi.org/10.15454/RVUPRG,CF13187,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,24.4,,121,,,,100,,,,77.2,,,,100,,,,277.2,,53,,0.44,,166,,62,,356,,43.8,,9.6,,75.3,,,,,
EM13073itkfi,2976786,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61398,https://doi.org/10.15454/HEUAIP,EM13073,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,25.2,,129,,,,100,,,,60.15,,,,100,,,,260.15,,59,,0.46,,190,,76,,323,,49.2,,9.6,,79.1,,,,,
EM13249itkfi,2976788,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61447,https://doi.org/10.15454/NTKRK8,EM13249,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,22.9,,106,,,,100,,,,71.8,,,,98.5,,,,270.3,,46,,0.43,,126,,34,,332,,45.9,,10,,77.2,,,,,
EM13243itkfi,2976790,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61431,https://doi.org/10.15454/QSZ1IX,EM13243,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,18.1,,66,,,,100,,,,70.3,,,,88,,,,258.3,,87,,1.31,,177,,59,,213,,46.8,,9.3,,79.6,,,,,
RE13006itkfi,2976817,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61514,https://doi.org/10.15454/KLQZHB,RE13006,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,17.5,,62,,,,100,,,,47.85,,,,87,,,,234.85,,77,,1.24,,175,,64,,310,,49.7,,9.8,,81.2,,,,,
RE13007itkfi,2976808,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61527,https://doi.org/10.15454/JN5VML,RE13007,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,18.2,,67,,,,100,,,,51.6,,,,90,,,,241.6,,78,,1.15,,181,,75,,292,,52.5,,10.1,,80.5,,,,,
RE13093itkfi,2976792,BTH_Rennes_2014_TECH,BTH_Rennes_2014_TECH,61664,https://doi.org/10.15454/OYADUC,RE13093,VIRTUAL_TRIAL,,,,,,,,faible intrant,2014,24.2,,119,,,,100,,,,51.3,,,,91.13,,,,242.43,,46,,0.39,,159,,21,,362,,46.5,,9.8,,81.3,,,,,
