observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,AwnLength(WIPO:0000273),AwnLength(WIPO:0000273).date,ColdTolerance(CO_321:1000271),ColdTolerance(CO_321:1000271).date,FruitingEfficiency(WIPO:0000277),FruitingEfficiency(WIPO:0000277).date,GrainWeight(CO_321:1000177),GrainWeight(CO_321:1000177).date,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,PlotGrainWeight(CO_321:1000073),PlotGrainWeight(CO_321:1000073).date,SpikeLength(CO_321:1000079),SpikeLength(CO_321:1000079).date
ww-111Block7Plot52,3032462,WW3,Wheat_Winter_MTA,97775,https://doi.org/10.15454/1.514284688310937E12,TRI 10327,VIRTUAL_TRIAL,,,,,28,5,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,654822335",,"32,9923273657",,224,2015-06-01T02:00:00Z,143,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,364,2015-07-17T02:00:00Z,13,
ww-476Block8Plot63,3032411,WW3,Wheat_Winter_MTA,63070,https://doi.org/10.15454/LQCE0R,CHINESE SPRING,VIRTUAL_TRIAL,,,,,25,13,,2015,0,2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,722972973",,"25,7831325301",,205,2015-05-13T02:00:00Z,103,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,476,2015-07-17T02:00:00Z,7,
ww-290Block1Plot1,3031930,WW3,Wheat_Winter_MTA,22268,https://doi.org/10.15454/3SROVI,114/62,VIRTUAL_TRIAL,,,,,1,1,,2015,"6,1",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7268041237",,"45,1923076923",,209,2015-05-17T02:00:00Z,91,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,408,2015-07-17T02:00:00Z,"9,2",
ww-248Block7Plot40,3032422,WW3,Wheat_Winter_MTA,48312,https://doi.org/10.15454/3PANTZ,AE 525,VIRTUAL_TRIAL,,,,,26,4,,2015,"1,8",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,210,2015-05-18T02:00:00Z,58,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,58,2015-07-17T02:00:00Z,,
ww-250Block1Plot24,3031991,WW3,Wheat_Winter_MTA,48314,https://doi.org/10.15454/MOHZLS,ID393 EP048-1,VIRTUAL_TRIAL,,,,,4,3,,2015,"3,5",2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,215,2015-05-23T02:00:00Z,69,2015-06-12T02:00:00Z,1,2014-12-01T01:00:00Z,12,2015-07-17T02:00:00Z,,
ww-230Block8Plot19,3032331,WW3,Wheat_Winter_MTA,48288,https://doi.org/10.15454/QCAGV4,TR17 TP061-TP063,VIRTUAL_TRIAL,,,,,21,9,,2015,7,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,207,2015-05-15T02:00:00Z,97,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,70,2015-07-17T02:00:00Z,,
ww-232Block6Plot55,3032288,WW3,Wheat_Winter_MTA,48290,https://doi.org/10.15454/PKEGRP,TR51 TP065-1,VIRTUAL_TRIAL,,,,,19,6,,2015,10,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,,,,,210,2015-05-18T02:00:00Z,87,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,57,2015-07-17T02:00:00Z,,
ww-394Block2Plot26,3031958,WW3,Wheat_Winter_MTA,23590,https://doi.org/10.15454/JJN2EK,MOCHO DE ESPIGA BIANCA,VIRTUAL_TRIAL,,,,,2,10,,2015,0,2015-06-15T02:00:00Z,1,2015-03-10T01:00:00Z,"0,7134146341",,"41,4893617021",,207,2015-05-15T02:00:00Z,89,2015-06-12T02:00:00Z,2,2014-12-01T01:00:00Z,218,2015-07-17T02:00:00Z,"8,3",
ww-274Block5Plot12,3032156,WW3,Wheat_Winter_MTA,48334,https://doi.org/10.15454/XYDY1I,SPE 351-2-1,VIRTUAL_TRIAL,,,,,12,9,,2015,7,2015-06-15T02:00:00Z,,,,,,,225,2015-06-02T02:00:00Z,78,2015-06-12T02:00:00Z,0,2014-12-01T01:00:00Z,4,2015-07-17T02:00:00Z,,
ww-065Block6Plot45,3032287,WW3,Wheat_Winter_MTA,60704,https://doi.org/10.15454/GLFQ8J,JANETSKIS PROBAT,VIRTUAL_TRIAL,,,,,19,5,,2015,0,2015-06-15T02:00:00Z,0,2015-03-10T01:00:00Z,"0,7029288703",,"34,6391752577",,218,2015-05-26T02:00:00Z,111,2015-06-12T02:00:00Z,3,2014-12-01T01:00:00Z,742,2015-07-17T02:00:00Z,11,
