observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,Drought,season,AwnLength(WIPO:0000273),AwnLength(WIPO:0000273).date,AwnRoughness(WIPO:0000274),AwnRoughness(WIPO:0000274).date,FruitingEfficiency(WIPO:0000277),FruitingEfficiency(WIPO:0000277).date,GrainWeight(CO_321:1000177),GrainWeight(CO_321:1000177).date,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PeduncleLength(WIPO:0000278),PeduncleLength(WIPO:0000278).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,SpikeLength(CO_321:1000079),SpikeLength(CO_321:1000079).date
ww-111BLOCK3PLOT17,3032811,WW5,Wheat_Winter_TUR,97775,https://doi.org/10.15454/1.514284688310937E12,TRI 10327,VIRTUAL_TRIAL,,,,,2,22,,Rainfed,2015,,,,,"0,6295585413",,"26,24",,42158,2015-06-05T02:00:00Z,88,,30,,2,2014-11-12T01:00:00Z,"9,1",
ww-111BLOCK5PLOT20,3033186,WW5,Wheat_Winter_TUR,97775,https://doi.org/10.15454/1.514284688310937E12,TRI 10327,VIRTUAL_TRIAL,,,,,13,3,,Irrigated,2015,"3,25",,"2,3",,"0,7639257294",,"40,8510638298",,200,2015-05-31T02:00:00Z,"124,5",,56,,2,,"10,8",
ww-476BLOCK3PLOT57,3032886,WW5,Wheat_Winter_TUR,63070,https://doi.org/10.15454/LQCE0R,CHINESE SPRING,VIRTUAL_TRIAL,,,,,7,27,,Rainfed,2015,,,,,"0,7378854626",,"26,171875",,42148,2015-05-24T02:00:00Z,"88,5",,22,,2,2014-11-12T01:00:00Z,"5,6",
ww-476BLOCK8PLOT43,3033631,WW5,Wheat_Winter_TUR,63070,https://doi.org/10.15454/LQCE0R,CHINESE SPRING,VIRTUAL_TRIAL,,,,,10,35,,Irrigated,2015,,,,,"0,7325327511",,"26,626984127",,192,2015-05-23T02:00:00Z,"88,5",,"21,5",,1,,"6,5",
ww-290BLOCK1PLOT30,3032573,WW5,Wheat_Winter_TUR,22268,https://doi.org/10.15454/3SROVI,114/62,VIRTUAL_TRIAL,,,,,2,5,,Rainfed,2015,"3,5625",,"2,3",,"0,7142857143",,"38,9204545455",,198,2015-05-29T02:00:00Z,"86,5",,29,,2,2014-11-12T01:00:00Z,"8,75",
ww-290BLOCK2PLOT9,3033290,WW5,Wheat_Winter_TUR,22268,https://doi.org/10.15454/3SROVI,114/62,VIRTUAL_TRIAL,,,,,5,11,,Irrigated,2015,"3,4",,"2,3",,"0,6443076923",,"34,4407894737",,194,2015-05-25T02:00:00Z,"80,5",,26,,1,,"10,9",
ww-248BLOCK8PLOT46,3033004,WW5,Wheat_Winter_TUR,48312,https://doi.org/10.15454/3PANTZ,AE 525,VIRTUAL_TRIAL,,,,,13,35,,Rainfed,2015,,,,,,,,,,,69,,5,,1,2014-11-12T01:00:00Z,,
ww-248BLOCK3PLOT65,3033543,WW5,Wheat_Winter_TUR,48312,https://doi.org/10.15454/3PANTZ,AE 525,VIRTUAL_TRIAL,,,,,6,29,,Irrigated,2015,,,,,,,,,,,,,,,0,,,
ww-250BLOCK4PLOT39,3032983,WW5,Wheat_Winter_TUR,48314,https://doi.org/10.15454/MOHZLS,ID393 EP048-1,VIRTUAL_TRIAL,,,,,6,34,,Rainfed,2015,,,,,,,,,42164,2015-06-10T02:00:00Z,"86,5",,26,,2,2014-11-12T01:00:00Z,,
ww-250BLOCK2PLOT20,3033315,WW5,Wheat_Winter_TUR,48314,https://doi.org/10.15454/MOHZLS,ID393 EP048-1,VIRTUAL_TRIAL,,,,,2,13,,Irrigated,2015,,,,,,,,,193,2015-05-24T02:00:00Z,"88,5",,27,,1,,,
ww-230BLOCK7PLOT17,3032818,WW5,Wheat_Winter_TUR,48288,https://doi.org/10.15454/QCAGV4,TR17 TP061-TP063,VIRTUAL_TRIAL,,,,,9,22,,Rainfed,2015,,,,,,,,,42148,2015-05-26T02:00:00Z,"79,5",,22,,2,2014-11-12T01:00:00Z,,
ww-230BLOCK5PLOT56,3033257,WW5,Wheat_Winter_TUR,48288,https://doi.org/10.15454/QCAGV4,TR17 TP061-TP063,VIRTUAL_TRIAL,,,,,14,8,,Irrigated,2015,,,,,,,,,186,2015-05-17T02:00:00Z,77,,"37,5",,2,,,
ww-232BLOCK2PLOT61,3032769,WW5,Wheat_Winter_TUR,48290,https://doi.org/10.15454/PKEGRP,TR51 TP065-1,VIRTUAL_TRIAL,,,,,2,19,,Rainfed,2015,,,,,,,,,42163,2015-06-10T02:00:00Z,"90,5",,25,,2,2014-11-12T01:00:00Z,,
ww-232BLOCK3PLOT1,3033398,WW5,Wheat_Winter_TUR,48290,https://doi.org/10.15454/PKEGRP,TR51 TP065-1,VIRTUAL_TRIAL,,,,,1,19,,Irrigated,2015,,,,,,,,,194,2015-05-25T02:00:00Z,88,,28,,1,,,
ww-394BLOCK8PLOT54,3033019,WW5,Wheat_Winter_TUR,23590,https://doi.org/10.15454/JJN2EK,MOCHO DE ESPIGA BIANCA,VIRTUAL_TRIAL,,,,,14,36,,Rainfed,2015,,,"1,2",,"0,6115288221",,"42,8070175439",,42146,2015-05-24T02:00:00Z,"79,5",,28,,1,2014-11-12T01:00:00Z,"7,3",
ww-394BLOCK7PLOT51,3033517,WW5,Wheat_Winter_TUR,23590,https://doi.org/10.15454/JJN2EK,MOCHO DE ESPIGA BIANCA,VIRTUAL_TRIAL,,,,,8,27,,Irrigated,2015,,,"1,2",,"0,75256917",,"47,8391959799",,197,2015-05-28T02:00:00Z,"92,5",,28,,1,,9,
ww-274BLOCK4PLOT1,3032908,WW5,Wheat_Winter_TUR,48334,https://doi.org/10.15454/XYDY1I,SPE 351-2-1,VIRTUAL_TRIAL,,,,,1,29,,Rainfed,2015,,,,,,,,,,,,,  -,,2,2014-11-12T01:00:00Z,,
ww-274BLOCK5PLOT43,3033237,WW5,Wheat_Winter_TUR,48334,https://doi.org/10.15454/XYDY1I,SPE 351-2-1,VIRTUAL_TRIAL,,,,,8,7,,Irrigated,2015,,,,,,,,,196,2015-05-27T02:00:00Z,125,,48,,1,,,
ww-065BLOCK10PLOT18,3033084,WW5,Wheat_Winter_TUR,60704,https://doi.org/10.15454/GLFQ8J,JANETSKIS PROBAT,VIRTUAL_TRIAL,,,,,9,41,,Rainfed,2015,,,,,"0,6277915633",,"36,4028776978",,42152,2015-05-30T02:00:00Z,115,,32,,2,2014-11-12T01:00:00Z,"9,4",
ww-065BLOCK7PLOT3,3032790,WW5,Wheat_Winter_TUR,60704,https://doi.org/10.15454/GLFQ8J,JANETSKIS PROBAT,VIRTUAL_TRIAL,,,,,9,20,,Rainfed,2015,,,,,"0,7523041475",,"38,869047619",,42155,2015-06-02T02:00:00Z,"108,5",,36,,2,2014-11-12T01:00:00Z,"10,4",
ww-065BLOCK8PLOT20,3033587,WW5,Wheat_Winter_TUR,60704,https://doi.org/10.15454/GLFQ8J,JANETSKIS PROBAT,VIRTUAL_TRIAL,,,,,8,32,,Irrigated,2015,,,,,"0,7493261456",,"34,8953974895",,193,2015-05-24T02:00:00Z,105,,"32,5",,1,,"8,9",
