observationunitname,observationunitdbid,studydbid,studyname,germplasmdbid,germplasmpui,germplasmname,observationlevel,replicate,block,plot,plant,x,y,observationlevels,season,Heading(CO_321:1000036),Heading(CO_321:1000036).date,Height(CO_321:1000218),Height(CO_321:1000218).date,PlantEstablishment(WIPO:0000272),PlantEstablishment(WIPO:0000272).date,SeedArea(CO_321:1000144),SeedArea(CO_321:1000144).date,SeedLength(CO_321:1000146),SeedLength(CO_321:1000146).date,SeedWidth(CO_321:1000147),SeedWidth(CO_321:1000147).date
25,3292397,BS3,Barley_Spring_MTA,48104,https://doi.org/10.15454/VAQ3SZ,TUNISIE 4A,BLOCK>PLOT,,,,,22,3,"BLOCK>PLOT:25,BLOCK:7",2015,65,2015-05-15T02:00:00Z,80,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24.3,2015-11-02T01:00:00Z,9,2015-11-02T01:00:00Z,3.6,2015-11-02T01:00:00Z
42,3291993,BS3,Barley_Spring_MTA,63290,https://doi.org/10.15454/AEXOWW,HOR261,BLOCK>PLOT,,,,,2,5,"BLOCK>PLOT:42,BLOCK:1",2015,76,2015-05-26T02:00:00Z,92,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,25.3,2015-11-04T01:00:00Z,8.6,2015-11-04T01:00:00Z,4,2015-11-04T01:00:00Z
61,3292271,BS3,Barley_Spring_MTA,63298,https://doi.org/10.15454/LMKF5A,HOR1873,BLOCK>PLOT,,,,,15,20,"BLOCK>PLOT:61,BLOCK:4",2015,69,2015-05-19T02:00:00Z,63,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,31.7,2015-11-03T01:00:00Z,13.7,2015-11-03T01:00:00Z,2.9,2015-11-03T01:00:00Z
53,3292536,BS3,Barley_Spring_MTA,63300,https://doi.org/10.15454/OA0FKW,HOR2591,BLOCK>PLOT,,,,,29,5,"BLOCK>PLOT:53,BLOCK:7",2015,70,2015-05-20T02:00:00Z,69,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,25.3,2015-10-28T01:00:00Z,9.3,2015-10-28T01:00:00Z,3.7,2015-10-28T01:00:00Z
44,3292086,BS3,Barley_Spring_MTA,63307,https://doi.org/10.15454/NVO9HE,HOR3988,BLOCK>PLOT,,,,,6,18,"BLOCK>PLOT:44,BLOCK:3",2015,68,2015-05-18T02:00:00Z,56,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23,2015-11-03T01:00:00Z,8.5,2015-11-03T01:00:00Z,3.6,2015-11-03T01:00:00Z
41,3291971,BS3,Barley_Spring_MTA,63314,https://doi.org/10.15454/BJLXE4,HOR5865,BLOCK>PLOT,,,,,1,5,"BLOCK>PLOT:41,BLOCK:1",2015,76,2015-05-26T02:00:00Z,86,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23.9,2015-11-03T01:00:00Z,8.8,2015-11-03T01:00:00Z,3.7,2015-11-03T01:00:00Z
41,3292309,BS3,Barley_Spring_MTA,63249,https://doi.org/10.15454/B7BZRT,Igri,BLOCK>PLOT,,,,,17,18,"BLOCK>PLOT:41,BLOCK:4",2015,79,2015-05-29T02:00:00Z,64,2015-06-16T02:00:00Z,1,2015-04-26T02:00:00Z,27.2,2015-10-26T01:00:00Z,10.4,2015-10-26T01:00:00Z,3.5,2015-10-26T01:00:00Z
20,3292361,BS3,Barley_Spring_MTA,63250,https://doi.org/10.15454/NTJEXN,KW Cassia,BLOCK>PLOT,,,,,20,9,"BLOCK>PLOT:20,BLOCK:5",2015,83,2015-06-02T02:00:00Z,53,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,18.8,2015-10-28T01:00:00Z,7.3,2015-10-28T01:00:00Z,3.3,2015-10-28T01:00:00Z
66,3292002,BS3,Barley_Spring_MTA,63251,https://doi.org/10.15454/HGL1IZ,KW Glacier,BLOCK>PLOT,,,,,2,14,"BLOCK>PLOT:66,BLOCK:2",2015,80,2015-05-30T02:00:00Z,63,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,25.2,2015-11-19T01:00:00Z,10.2,2015-11-19T01:00:00Z,3.4,2015-11-19T01:00:00Z
33,3292464,BS3,Barley_Spring_MTA,63252,https://doi.org/10.15454/5GXEGH,KW Tower,BLOCK>PLOT,,,,,25,10,"BLOCK>PLOT:33,BLOCK:8",2015,84,2015-06-03T02:00:00Z,56,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,27.1,2015-10-28T01:00:00Z,9.9,2015-10-28T01:00:00Z,3.9,2015-10-28T01:00:00Z
61,3292101,BS3,Barley_Spring_MTA,63731,https://doi.org/10.15454/DGSXRD,HID114,BLOCK>PLOT,,,,,7,13,"BLOCK>PLOT:61,BLOCK:2",2015,78,2015-05-28T02:00:00Z,86,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,24.6,2015-11-19T01:00:00Z,9.7,2015-11-19T01:00:00Z,3.5,2015-11-19T01:00:00Z
8,3292319,BS3,Barley_Spring_MTA,63722,https://doi.org/10.15454/NTU3ED,HID55,BLOCK>PLOT,,,,,18,8,"BLOCK>PLOT:8,BLOCK:5",2015,70,2015-05-20T02:00:00Z,68,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,23.1,2015-10-27T01:00:00Z,9,2015-10-27T01:00:00Z,3.5,2015-10-27T01:00:00Z
63,3292088,BS3,Barley_Spring_MTA,63724,https://doi.org/10.15454/RLAHJB,HID65,BLOCK>PLOT,,,,,6,20,"BLOCK>PLOT:63,BLOCK:3",2015,72,2015-05-22T02:00:00Z,78,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,26.2,2015-11-19T01:00:00Z,10.7,2015-11-19T01:00:00Z,3.4,2015-11-19T01:00:00Z
44,3292316,BS3,Barley_Spring_MTA,63726,https://doi.org/10.15454/WIZNP7,HID80,BLOCK>PLOT,,,,,18,5,"BLOCK>PLOT:44,BLOCK:6",2015,74,2015-05-24T02:00:00Z,61,2015-06-16T02:00:00Z,1,2015-04-26T02:00:00Z,29.4,2015-10-28T01:00:00Z,9.9,2015-10-28T01:00:00Z,3.9,2015-10-28T01:00:00Z
17,3292456,BS3,Barley_Spring_MTA,63727,https://doi.org/10.15454/8KOSGZ,HID99,BLOCK>PLOT,,,,,25,2,"BLOCK>PLOT:17,BLOCK:7",2015,65,2015-05-15T02:00:00Z,63,2015-06-16T02:00:00Z,1,2015-04-26T02:00:00Z,27.6,2015-11-03T01:00:00Z,13.1,2015-11-03T01:00:00Z,2.5,2015-11-03T01:00:00Z
59,3292386,BS3,Barley_Spring_MTA,63728,https://doi.org/10.15454/7WMH7J,HID101,BLOCK>PLOT,,,,,21,13,"BLOCK>PLOT:59,BLOCK:8",2015,70,2015-05-20T02:00:00Z,80,2015-06-16T02:00:00Z,3,2015-04-26T02:00:00Z,29.2,2015-10-28T01:00:00Z,10.3,2015-10-28T01:00:00Z,3.9,2015-10-28T01:00:00Z
