"doc_id","section_name","entity_id","entity_type","start_offset","end_offset","surface_form","reference","label"
"27593460","articletitle","172DF03FB3B5D6B4E4D4A21BA597FF415F812BAC","taxon","27","43","wild emmer wheat","ncbi:85692","Triticum dicoccoides"
"27593460","articletitle","AC298D38362A2C912176C90ACB766795163E15A0","phenotype","52","63","grain yield","ID:0000038","crop yield"
"27593460","articletitle","DA8553AE4D5528161418EF6AAADB5427B58C1D45","taxon","123","128","wheat","ncbi:4565","Triticum aestivum"
"27593460","abstracttext","BB58D5FC67BEA54DAC592EC4AF9959D05BD62473","taxon","0","16","Wild emmer wheat","ncbi:85692","Triticum dicoccoides"
"27593460","abstracttext","A74A9ABD00031585DC86EBF2DF2DC676A71F5E6F","taxon","18","35","Triticum turgidum","ncbi:4571","Triticum turgidum"
"27593460","abstracttext","1BE5268E889CD5FFC1C89A954BE36EAF1FFE9EF0","phenotype","101","119","drought resistance","ID:0000010","drought tolerance"
"27593460","abstracttext","65FD6DA9CE322E5EA0EF2423C05E086594A62C19","taxon","136","141","wheat","ncbi:4565","Triticum aestivum"
"27593460","abstracttext","B48BA8CFB83EFB0785981DC8AC9240C65969114C","taxon","200","205","wheat","ncbi:4565","Triticum aestivum"
"27593460","abstracttext","6CFF7891EED3A50978ABC980FE5D04C29364EDB5","gene","296","299","B-2","pretend-gene:DC66C220FE675FF0993513B052B921A888434EA6","B-2"
"27593460","abstracttext","D4A7FE9BF9C942085C08EEE52DD094E060436816","taxon","346","362","wild emmer wheat","ncbi:85692","Triticum dicoccoides"
"27593460","abstracttext","657BA1C4BBFAB851958E946BE9C7C20AB9DB7E61","taxon","407","418","bread wheat","ncbi:4565","Triticum aestivum"
"27593460","abstracttext","173C3CD04F882AB35D6A97967D0C01B3B4A11DBD","gene","651","654","B-2","pretend-gene:DC66C220FE675FF0993513B052B921A888434EA6","B-2"
"27593460","abstracttext","42D8CADF0FD60847B1855EC2FF224418BB71D028","phenotype","693","704","grain yield","ID:0000038","crop yield"
"27593460","abstracttext","DA50A04ABD606116CA43702EFE76EEBA2D39735D","gene","956","959","B-2","pretend-gene:DC66C220FE675FF0993513B052B921A888434EA6","B-2"
"27593460","abstracttext","0FC9170146A82CD032FB62C3146F08D2B2F71978","gene","1018","1021","B-2","pretend-gene:DC66C220FE675FF0993513B052B921A888434EA6","B-2"
"27593460","abstracttext","FC2EA3F9527D53319836F1CBFE6D271C2CF1EB23","phenotype","1239","1250","grain yield","ID:0000038","crop yield"
"27593460","abstracttext","A469B782EF52ED01B22DFB95FAA2751D5F20B5A1","taxon","1310","1315","wheat","ncbi:4565","Triticum aestivum"
"27593460","abstracttext","CF4FD1A040127587C0F601A5158D7FCA5E88612E","phenotype","1414","1432","drought resistance","ID:0000010","drought tolerance"
"30141064","articletitle","0A85C9E1760481826E6EB572EDD02F7C34D4A2C3","taxon","33","38","wheat","ncbi:4565","Triticum aestivum"
"30141064","abstracttext_key message","E4737A40F4B24FD6278D69A7A8E6957A0B5768A4","taxon","34","50","wild emmer wheat","ncbi:85692","Triticum dicoccoides"
"30141064","abstracttext_key message","E350EC91E9DA7FEEC333EE8EF3192B8CF8081EEF","taxon","55","72","Aegilops tauschii","ncbi:37682","Aegilops tauschii"
"30141064","abstracttext_key message","1E658748B734DF85B817568D8DEB87CEC9CE6F82","taxon","130","135","wheat","ncbi:4565","Triticum aestivum"
"30141064","abstracttext_key message","89AA4C94C3299971C82C9717DDE0681406489ADE","taxon","193","198","wheat","ncbi:4565","Triticum aestivum"
"30141064","abstracttext_key message","8FA99F22FF57A4411A8D53DB638A49E356A30AC1","taxon","316","321","wheat","ncbi:4565","Triticum aestivum"
"30141064","abstracttext_key message","F471FD96464FA437461260BC2F450A049F08FC80","taxon","395","400","wheat","ncbi:4565","Triticum aestivum"
"30141064","abstracttext_key message","398030B4A407C253EC8A773057AC12063B3E7C4D","taxon","576","592","wild emmer wheat","ncbi:85692","Triticum dicoccoides"
"30141064","abstracttext_key message","97CE628175A9A240E7540F54930F3FAE1396E5C2","taxon","594","611","Triticum turgidum","ncbi:4571","Triticum turgidum"
"30141064","abstracttext_key message","5513D9C013F95B250C8FCFCC204A1FEB0843B3B7","taxon","659","676","Aegilops tauschii","ncbi:37682","Aegilops tauschii"
"31218178","articletitle","F905B5B14C0D0DF4274DB1C41FA2E009F736ACCA","taxon","72","91","Aegilops longissima","ncbi:4486","Aegilops longissima"
"31218178","articletitle","84C94DBD8299E54970769A99AA26BF3F0643B521","taxon","119","124","wheat","ncbi:4565","Triticum aestivum"
"31218178","abstracttext","26DA0D113107D5E6839F3CE0917D7FB8C0786816","taxon","54","59","wheat","ncbi:4565","Triticum aestivum"
"31218178","abstracttext","F80DD4A725CA7F358CBB91BC7DC117370864AC71","taxon","140","145","wheat","ncbi:4565","Triticum aestivum"
"31218178","abstracttext","BC5B2070B8DEC4221CBB03BF0925BECD5ED9872A","taxon","377","396","Aegilops longissima","ncbi:4486","Aegilops longissima"
"31218178","abstracttext","294E84BECE2128E9E07A2137355023DB764F9237","taxon","911","923","common wheat","ncbi:4565","Triticum aestivum"
"31218178","abstracttext","6037EC976FAF1166BABB4BC180909CE5D346A5BD","taxon","1363","1368","wheat","ncbi:4565","Triticum aestivum"
"31218178","abstracttext","A6F0B4E4F2DB336B87B826FCFBBFB117E1CC05FF","taxon","1498","1509","bread wheat","ncbi:4565","Triticum aestivum"
"31218178","abstracttext","653289C2055A2ABBC8EB9A72B9259420231CE512","taxon","1537","1545","Triticum","ncbi:4564","Triticum"
"31218178","abstracttext","B7478A5B5A27D2110C2394360DD44E28DCD301A9","taxon","1734","1739","wheat","ncbi:4565","Triticum aestivum"
"23688397","abstracttext_background","8ADD4A1B24573EF113873196C116D965826D7CCA","taxon","688","694","plants","ncbi:3193","Embryophyta"
"23688397","abstracttext_description","B1AD405431D1B7EF0EF5D396E4060BF376D91348","taxon","85","105","Arabidopsis thaliana","ncbi:3702","Arabidopsis thaliana"
"23688397","abstracttext_description","4410458FEB4D7710DB269D51D4A76F7D9F03FFE2","taxon","107","118","Glycine max","ncbi:3847","Glycine max"
"23688397","abstracttext_description","20135E6F512363976BC6D92D457B02ADC717E976","taxon","120","135","Hordeum vulgare","ncbi:4513","Hordeum vulgare"
"23688397","abstracttext_description","6D702850A33A8C0D266A4EC056DA6FCAFA8837C4","taxon","137","149","Oryza sativa","ncbi:4530","Oryza sativa"
"23688397","abstracttext_description","1058D7058BC2A6C56D8E1457ADECD6867F4C2E12","taxon","151","171","Solanum lycopersicum","ncbi:4081","Solanum lycopersicum"
"23688397","abstracttext_description","C859CCC2D04D6B4EBB70205D85E0FBA022F6DF63","taxon","173","190","Triticum aestivum","ncbi:4565","Triticum aestivum"
"23688397","abstracttext_description","9C02280BC7F63A9DE60C4394DE3513246A775E85","taxon","192","206","Vitis vinifera","ncbi:29760","Vitis vinifera"
"23688397","abstracttext_description","55EB5785456A422563208DE790D1DA1CB62CD8E4","taxon","211","219","Zea mays","ncbi:4577","Zea mays"
"23688397","abstracttext_description","1B5D55FE4C8D22781642B6930D4B2A68178C0D0B","taxon","451","455","test","ncbi:1176726","test for taxonomy notification"
"23688397","abstracttext_conclusion","BB647692E161DD7CFEE03A47379AE8EEADBCED93","taxon","94","98","test","ncbi:1176726","test for taxonomy notification"
"17629796","articletitle","7E768FB9A09AEE53BD449010797BCC5C87AA2912","taxon","122","127","wheat","ncbi:4565","Triticum aestivum"
"17629796","abstracttext","D39D24B4B639C588D0A57AD4164FCE5862691DEB","taxon","15","20","wheat","ncbi:4565","Triticum aestivum"
"17629796","abstracttext","9A7633BB81619473CD4781D332EC4D8D439B309A","taxon","80","85","wheat","ncbi:4565","Triticum aestivum"
"17629796","abstracttext","CDE345BA2B872347544997CF4560AF42155169BF","taxon","293","298","wheat","ncbi:4565","Triticum aestivum"
"17629796","abstracttext","282289F7CCC373BC7F585D97F8CF2051D6CDB461","taxon","308","325","Triticum turgidum","ncbi:4571","Triticum turgidum"
"17629796","abstracttext","2CE712C9F8D66E0FE600E82C1F41C54699496ABB","taxon","1026","1031","wheat","ncbi:4565","Triticum aestivum"
"19851796","articletitle","FD69A3312028E3B276ED6D349A4025F2F6592049","gene","81","86","Eps-1","pretend-gene:021BB732868D9119FA349DD0BC7363C878EBE85D","Eps-1"
"19851796","articletitle","847D34CA4EE8A24B8356F597747FDB52AACC8E07","taxon","97","102","wheat","ncbi:4565","Triticum aestivum"
"19851796","articletitle","E61CA5FC336BB00C2E0347C8AD47F873A2A0FEE1","taxon","104","108","rice","ncbi:4530","Oryza sativa"
"19851796","articletitle","425F711F3ABD32B39EF94C9987CF11347B64A137","taxon","114","126","Brachypodium","ncbi:15367","Brachypodium"
"19851796","abstracttext","7C92F318D624675101AC72BDF4F2D0992826A8E7","gene","26","29","Eps","pretend-gene:FE3F7B035B3E5A13F073F4250B22F619CE8F5D5A","Eps"
"19851796","abstracttext","464B2EF3E606C2DE873A57BA7D846146633B04CD","taxon","53","58","wheat","ncbi:4565","Triticum aestivum"
"19851796","abstracttext","CAFC4EE9F92C1555C0E051A8679F1479C527B397","taxon","59","78","Triticum monococcum","ncbi:4568","Triticum monococcum"
"19851796","abstracttext","CCE596582AA7DEEF460A61B44C763925B28495F1","phenotype","124","139","spikelet number","ID:0000365","spikelet number"
"19851796","abstracttext","DBECEE39A4A34666E71D77F1B17419088E20994D","gene","160","164","Eps1","pretend-gene:E6C77BF9A8173C5B8ABDD005461B5500DFA892A5","Eps1"
"19851796","abstracttext","6704E645A94FB5ABDB9AB2D4D9FA746BF757800F","taxon","190","194","rice","ncbi:4530","Oryza sativa"
"19851796","abstracttext","CBA7FCA386FC6FE139C22F293F386394B2B7691B","taxon","196","213","Aegilops tauschii","ncbi:37682","Aegilops tauschii"
"19851796","abstracttext","5B0739FE0F0915D0C7F9C2D12ADBDA66774FD7AC","taxon","219","242","Brachypodium distachyon","ncbi:15368","Brachypodium distachyon"
"19851796","abstracttext","6D277EE9618313FAD438C30BE2F962FB712454E9","taxon","313","325","Brachypodium","ncbi:15367","Brachypodium"
"19851796","abstracttext","85A272B0F54587EE1622ACBFBEC4C0C86B2DFCD8","gene","348","351","Eps","pretend-gene:FE3F7B035B3E5A13F073F4250B22F619CE8F5D5A","Eps"
"19851796","abstracttext","101337435728DF2CE26F05FBD1E8476AA83C3A45","taxon","400","411","A. tauschii","ncbi:37682","Aegilops tauschii"
"19851796","abstracttext","7F9905640A698F56DA7E84EC8DC42A6F5F815BB1","taxon","444","456","Brachypodium","ncbi:15367","Brachypodium"
"19851796","abstracttext","7818704CF1B0E18E4808825D687E4692F5F6DED7","taxon","461","472","A. tauschii","ncbi:37682","Aegilops tauschii"
"19851796","abstracttext","C80962A0DB3B0DCDAF614F720AE48206E1AB192E","taxon","571","576","wheat","ncbi:4565","Triticum aestivum"
"19851796","abstracttext","F60B8EB6550CBED5FB32378B58E9FB01490AC064","taxon","581","593","Brachypodium","ncbi:15367","Brachypodium"
